,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
RPS24,7.40548874956582,9.35676093539506,8.7357128811975,8.60306556711324,7.59987242415524,4.83543462122546,6.6770746152965,8.61136221271652,7.46279167187903,9.19819318444003,9.75686015401313,8.85363777401799
PAPSS2,7.11420871715562,8.31038459257935,8.95407110208846,8.14256084784408,6.38155556518846,6.33252518786604,9.2979387692329,4.93321301121428,8.71518502484433,7.080232326548,6.03854039782932,6.44286023286679
HTRA1,0,0,2.22229384555422,0,6.59563421933638,0,5.91563094877779,0,0,0,4.95134981399727,0
CD151,8.0309992941542,7.83333818232731,8.20118209194599,7.42543767433393,8.73809293009927,6.79702918432339,8.00496151800036,7.94994258468787,9.0996704050579,8.95471996639016,8.36421651626557,7.94330667195055
CTSD,9.80111871633635,10.2735757697402,9.84170106934255,9.62243467549556,10.8193726405031,9.26268107133328,10.4909073856944,9.71811814142778,10.1151480159008,9.23225515741215,10.7294568902518,10.0042331943326
CD81,6.34688426036338,7.32582456391506,6.06596560183856,4.3562136315184,6.98327775593746,2.02188682632457,5.61782153311304,7.71312418163367,7.42737219921068,7.92824055208599,7.52887736642387,8.11772334926433
MRPL17,2.76802590390751,5.43542278527867,5.19955029763702,5.80480154494145,6.58388339741507,5.67238898846255,6.09914422905394,5.26427438843222,7.19438524540065,0,6.88664898252962,7.49902899818506
RPL27A,8.53156178585346,8.39045763645128,8.12743948709261,8.20450202499248,7.98204879315668,6.89922765968359,8.58805074311111,8.49012449479068,8.35411945947725,8.21774974176474,8.6753089568344,8.83814182674786
LMO2,3.65804051295115,0,0,0,0,0,0,4.22738912750537,0,0,0,0
TMEM258,7.48564466680103,7.43054414869793,7.28450668596759,7.41049734275865,7.99541647380823,7.6655890664802,7.45120865979471,6.24538227737095,7.84479462506926,7.27954442093692,7.97171735561316,7.98330288841889
FIBP,5.2771065104285,6.66176897147661,6.56211829065506,7.80829429371307,6.2686492802062,0,8.05579035099479,7.64375553196421,3.54791310330226,5.25127923153546,8.22289457988982,7.63437260067216
TENM4,0,0,0,0,0,0,0,1.57054010331741,0,0,0,5.86616582393135
FDX1,4.2043955376972,4.1626556138888,5.19955029763702,0,3.14491230150727,3.61166830142447,4.42428746124818,6.1283668335555,5.00079731066783,6.44634617407099,3.8018363395028,3.79179578567051
CRYAB,4.47960290840922,0,0,7.07371784760122,0,4.42005376997187,0,5.9094074945164,0,4.7582023568168,5.25630608356839,7.61267880047206
NNMT,6.20255288645341,0,0,5.87178141491859,8.52111302591392,0,0,0,0,0,0,0
TAGLN,0,0,0,0,4.30952095889268,0,0,0,1.04933488767123,0,0,0
THYN1,6.93166138323478,7.48991131774084,6.56211829065506,6.16671480109327,6.38155556518846,0,6.76115765578469,0,7.23592395693718,0,3.71560681042074,5.26907150835289
TUBA1A,9.69721655333122,9.57122371591396,9.75865310132055,8.91236928078349,10.2219148610804,7.71546989439692,9.09418392094744,9.51167119584464,9.03642640592209,11.8011027571809,9.26858940789905,9.16566040098271
