,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
TAGLN,0,0,5.715793942402,0,0,4.84274379167813,2.28916177518538,3.48267620502123,0
THYN1,3.77679268308096,0,5.715793942402,2.88148064607876,0,4.51505197721073,0,4.41665960727428,4.55536590162407
TUBA1A,2.7135004883149,0.90705921075679,1.11884864333125,3.39966198476817,2.7516620427869,0,0,0,3.77868666613505
KRT7,11.1095406124695,0,12.0070750528473,10.5495831817878,10.4554763828622,10.9579963950632,9.62371937552918,10.6330760622859,11.0399090444768
KRT86,0,0,4.53996409494537,0,0,0,0,0,0
PPM1H,3.50132002521678,1.85824263088808,0,0,0,0,0,0,0
AVPR1A,0,5.5928108442737,0,0,0,0,0,0,0
HSP90B1,8.85301720559021,3.28572646127337,9.42304335801892,8.19955835145217,8.06433346003237,7.6901968043361,6.59838165134284,8.85228571634479,7.35299400547046
VPS29,7.08753713094353,5.69384127087612,6.61844535650377,7.5368513444556,6.49011037917301,2.42571333789311,0,6.81973628568316,6.27327873302504
SDSL,2.7135004883149,0,4.38677712657543,0,0,0,0,0,0
ACADS,0,0,0,0,3.93897398056954,2.77201118331505,0,6.06112479892699,0
GJB2,0,0,0,0,1.95138744474997,5.43535560654455,0,0,0
GPR12,0,0,0,0,1.95138744474997,0,0,3.14237153267426,5.0992777575283
UCHL3,3.93497491848683,0,6.00615743648722,6.87978054880402,5.69093415152687,0,0,4.46860335515537,2.780912255517
LGALS3,9.82391026809588,0,9.85955776990751,9.64442785137778,10.3088152149824,11.5919160306359,10.3249139104764,10.3232383978466,9.89543080761922
NPC2,6.91788503633892,4.81412964080472,8.21080494873411,6.46014988869596,4.18624518566689,7.320879095961,7.04315405658924,6.23615895125491,6.83973433840871
TMED10,8.6988814462682,4.57020169182154,9.08305900081847,8.73336795250108,8.59675504707712,8.26942532820373,8.01617011269063,8.32749206132315,7.57659317739414
SIVA1,6.32940859564325,0,8.07321779740337,9.37830631151751,7.99034541083887,5.95933533333399,8.77813136817409,9.19060471867445,6.92355086343558
AHNAK2,4.67913798597168,0,7.93499444241565,0,0,0,0,0,0
CDCA4,1.37201470237603,4.81412964080472,5.02843071849316,6.65509337497891,7.43502656332633,0,4.94513275787901,7.25641651935166,0
SERF2,5.31881512905322,8.76813111403358,8.46635179018674,7.77920106056969,6.60789125713579,8.55311358324424,7.50089005046762,8.21794451627783,7.87010018972311
C15orf48,0,0,4.92093143555958,0,6.8778688502775,6.68699637345157,4.67932411407081,0,0
