,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
NSL1,6.02079712058997,4.65285771429078,5.57730599435298,0,1.74570729082727,0,5.49222781086722,0,5.34249408275004,0,5.16163991022087,7.45906517876651
SMYD2,4.34855158998419,6.94239937205849,6.47560937944856,0,6.11382915098662,4.78292905514699,7.06671992028105,6.08715308984738,8.02146458935393,5.78473939845641,4.2935665605813,0
LBR,0,0,0,0,5.05162271733292,0,0,0,0,0,0,0
PARP1,5.65534872918833,7.10312063248784,7.62983885936934,5.50064209752267,7.13592957347572,5.1157242819164,7.48457169014484,6.1283668335555,7.39106121296815,5.28875625699917,7.86560173112669,7.20251870300109
TAF5L,0,0,0.938539453487952,6.48462088142792,1.74570729082727,0,4.11906085042092,5.47065058574316,0,0,0,1.98744606600347
ARID4B,7.50115496508302,6.43888292169054,7.30973059208768,5.6607226580592,7.4395962570048,6.9236848436711,5.96374367304852,7.8301556092733,7.53944238384552,8.10146173220216,7.41720665005943,6.72486158244491
SMYD3,4.54091891343743,0,0,0,4.47133902707739,0,2.02523543121075,0,0,0,5.88897389991877,0
ZMYND11,5.53994635139648,6.17515715215473,4.63408561082746,7.33338283048219,6.16204418812357,0,7.06671992028105,6.31843172790617,7.16242700941523,0,6.17404727796199,7.49112430630452
SFMBT2,0,0,0,4.5863437956225,0,0,0,0,0,0,0,5.44305179398845
TAF3,5.86167985517506,5.79056516682841,3.88252609429898,4.63856561265205,4.0609652134321,0,5.55639093479989,4.06705964685785,5.34249408275004,0,6.29791217691757,0
SUV39H2,2.54674055750149,0,6.44558061365825,6.78026351394817,0,0,0,5.65116572042152,4.61651421755362,7.0586987820237,6.56776575413906,0
MLLT10,6.55440514927271,2.54381616925882,4.52344194986562,5.25516015526331,4.70625337322104,5.02820843509402,3.83853428356194,4.93321301121428,5.68004437124643,0,6.51768273163587,5.11300169954102
DNAJC1,6.02079712058997,6.15083927917178,6.81792517356288,6.52679590451186,7.03597689649585,6.07306668862568,5.84031269774557,5.70664466912252,7.07357325355337,4.81067432484844,6.05619131878901,6.72486158244491
BMI1,6.64096477996929,0,5.5208232790793,7.01566528614079,5.18205199324384,5.95937410622992,6.60305657552674,6.42150661898076,5.70983166908658,0,5.42882197271773,0
MASTL,6.08396106980693,5.07087175272999,5.63166042663752,8.52545164294492,7.25185573675553,5.45470368822046,4.67607915338005,5.86132534654727,8.01551372672329,6.28880033714617,6.94466008712825,5.53818457383375
