,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
CYP4B1,12.7038893630469,0,9.3906696438077,11.3028287477019,12.4016652972633,13.407961914506,12.3429065143888,12.9795319233099,12.135272593841
CDKN2C,2.87838610537646,0,0,4.72662639942142,0.967774308989832,0,0,5.78202137350265,5.55471570578438
TMEM59,8.89934274015972,6.89669066543492,9.09856021788227,8.35263310792794,8.87158632971368,8.49017527585609,8.10032771434069,8.50898357883492,8.73072590641588
MIER1,6.0119586493746,5.5928108442737,5.89692069590663,6.06207037401061,5.91315030326242,5.57424556775266,4.81834151982626,6.41888531813369,5.49334343659868
HS2ST1,6.08128301151423,5.23875646383544,5.95257270599829,4.40386013788609,6.12555004339148,0,5.22053856246496,2.86072345122316,5.0992777575283
ZNF644,5.62771449427975,6.37973532178671,6.76553075492061,2.06506563084475,6.50536967219064,4.51505197721073,0,0,7.95221972623392
CCDC18,0,1.45966154349926,3.79588063492644,4.08088364944794,0,3.66234102537749,5.11659670062274,5.56057699896791,0
FNBP1L,5.93913422144651,7.88529341370911,4.38677712657543,5.83945657307712,3.11212755778684,3.28479423456461,3.33218485004581,6.02688628416634,6.23629479082177
PALMD,3.39642066844677,0,5.6159214993519,5.72830127327416,4.3972717881004,0,0,3.00840964825682,6.23629479082177
VAV3,7.59385002309276,5.5928108442737,6.98157569393654,9.26339316235065,9.33579038584993,9.43447283273226,8.76958891523883,6.99821632501596,9.11126504754689
DRAM2,5.67333047962086,0,7.98255562229441,6.71462996273876,5.86664239501414,7.50579912779256,1.84471249713376,7.63729514492688,6.81486431112009
ATP1A1,9.17778736028382,7.92220074143494,9.19111958077847,9.18662807274105,9.66960019402433,9.24645997593988,9.3158067739585,8.88848910769228,8.84568610899353
SRGAP2B,0,0.90705921075679,1.74134691342348,0,0.967774308989832,0,0,0,0
SF3B4,5.45564211355251,3.40971822989597,6.08297809057871,6.15095893285967,6.52046925640017,6.66644072560514,7.33710846541797,6.92573897744432,4.61420758579265
MLLT11,0,0,0,4.60604068470593,0,0,5.49380204111515,0,0
MRPL9,5.86243742308423,5.09838282955846,8.86836227463096,7.37098424920843,6.85422653976325,7.82613877498418,7.11234694995822,7.49426460184503,7.70395895095935
S100A4,3.8580506738477,4.27646705410085,0,3.78011273527587,0,0,0,0,5.29181136256313
PMVK,3.77679268308096,4.67277246932893,7.09720371289533,7.38936956438604,4.18624518566689,7.10872280945509,6.32283519148033,6.26582152675827,6.61327117715988
ARHGEF2,5.16763848630326,4.20979513258106,8.29394736886356,5.72830127327416,6.04430286124211,6.26299177480354,0,5.58431498030469,0.984634069889191
MEF2D,5.5069349567907,7.66658351839344,4.74298648385483,6.25488146436056,3.40029330649624,5.28165616703326,7.01452016500047,4.05827207503453,4.42995320548937
KCNJ10,1.37201470237603,0,0,0,0,0,0,2.86072345122316,0
TSTD1,7.56388757653163,3.40971822989597,8.0478904268345,8.71890262238953,7.97945899351243,8.73685313994805,8.07974406301515,6.83959787463572,7.29122598844636
NDUFS2,7.41743054855546,6.65499373697441,8.26676215961938,8.53709025551686,8.67643508872564,7.78858750423781,6.61754844336872,7.63161024882345,8.62381623757464
IER5,5.60435397950546,3.82051468109845,3.79588063492644,3.07563022327984,5.76887172460187,3.81954945185343,0,3.00840964825682,0
GLUL,9.59861992058324,10.4908359077654,4.86402071962576,10.9656568914515,8.47026741325683,9.58717902889923,7.02890814852868,7.61441990491605,8.24066681004356
KDM5B,5.88199725099046,3.00031613723891,6.96813685541799,3.98742461116933,5.84281385851269,6.96463124455961,8.72167928172898,0,7.40391145559598
ATF3,5.31881512905322,7.3007115625491,7.67037514248222,6.56091183568748,10.2086617712365,7.51732359772797,9.77648733292795,3.98882215151491,9.94211357692845
H3F3A,3.93497491848683,5.9804951489214,4.92093143555958,4.7833388332932,4.58133335141104,4.42001620453904,4.81834151982626,4.18788140320874,4.29259149209961
LIN9,2.06234119915064,0,0,1.64294184445923,5.29398980957923,0,4.35322463387412,5.48692554094126,0
ARID4B,4.76591880332032,5.85522343541366,6.79627549313432,6.49452510881543,0.967774308989832,5.99274334272203,6.7623523498231,2.86072345122316,0
KIF26B,0,5.17027626076525,0,0,3.40029330649624,0,0,0,0
FAM107B,5.82250375999043,3.00031613723891,3.00547457322004,7.46932163333782,6.31065492540988,3.66234102537749,5.36363056944324,5.43564909518598,6.55439049794481
ITGB1,5.86243742308423,8.57967628718541,6.37541326861985,7.29500641814799,7.36982593589832,3.81954945185343,6.7623523498231,7.38362276231432,4.21867300501996
PARG,1.75807992347051,0,0,3.07563022327984,0,0,1.1990640901276,0,0
UBE2D1,1.75807992347051,0,5.47099968859473,0,3.52532104143033,7.03045450940896,0,2.04680443405476,0
KCNMA1,0,0,6.17942918719837,0,0,0,0,0,0.984634069889191
CCNJ,0,0,0,0,0,1.2972786894223,0,0,0
GBF1,6.21067355591978,4.20979513258106,4.30361811528956,5.25371897613993,5.36262699582715,5.95933533333399,7.15232381962698,5.51189614406221,5.13989497101275
PDCD11,5.45564211355251,0,6.35490653233578,0,0,5.74080216804716,6.89393879113824,0,5.29181136256313
ZDHHC6,4.5868011524303,0.90705921075679,5.83903547337971,5.96734345125375,5.25840651377509,6.98137074537931,0,6.60445456779054,2.55926093499899
HTRA1,0,0,0,5.96734345125375,0,0,0,0,0
CDKN1C,1.37201470237603,0,0,1.04370148673221,0,0,0,0,0
SCUBE2,2.31347637875414,0,0,0,0,1.2972786894223,0,0,0
ZNF143,2.87838610537646,0,0,0,0,1.2972786894223,7.07123067943468,5.8618841137083,0
FOSL1,0,3.15006770888608,0,0,0,0,3.50681194739552,0,0
SLC36A4,2.06234119915064,2.83320060573328,0,1.64294184445923,5.69093415152687,0,2.28916177518538,6.60445456779054,0
CWF19L2,0,4.06642891725039,5.0793185433476,0,3.93897398056954,0,0,0,0
FDX1,3.50132002521678,0,0,5.72830127327416,0,1.96912187144367,4.04883618003845,0.834285950287708,6.42888918323942
FAM118B,0.843307622681109,5.42661764758953,2.17479231363065,4.99021931261378,4.02619234968349,0,0,0,0
BARX2,0,0,1.11884864333125,0,1.54183294072644,0,0,0,0
APLP2,5.82250375999043,0,0,7.94994532506889,5.45982316543531,5.89010486662563,6.87813202848773,7.93372029673408,6.82735291462413
ADAMTS15,0,0,6.24775846046066,0,5.0242350797843,0,0,0,0
PHC1,0.843307622681109,4.06642891725039,2.17479231363065,2.65707978202499,4.3303016176561,1.96912187144367,0,0,3.67194278334819
GOLT1B,4.80742708924121,4.20979513258106,7.29315773197084,6.21420627890992,6.39500148920146,5.16926634021923,6.84598926291663,4.6594796353863,4.77757258261982
ARID2,3.02634497884694,4.45977649219037,6.54792994056188,3.39966198476817,4.93689464572783,3.48588283494556,0,1.74369722987071,0
TUBA1A,2.7135004883149,0.90705921075679,1.11884864333125,3.39966198476817,2.7516620427869,0,0,0,3.77868666613505
NR4A1,0.843307622681109,5.78825731498363,7.39710324059447,7.34295936154136,6.63589306676056,5.28165616703326,7.29010013545746,4.12453173578938,7.92923006642078
ZNF385A,0.843307622681109,5.76522624111153,5.30987769084172,3.07563022327984,4.93689464572783,5.43535560654455,0,6.44505092326286,0
PDE1B,0.843307622681109,0,0,0,0,0,1.1990640901276,0,0
MBD6,3.93497491848683,4.72144678605181,5.86826838111614,4.16865492083614,0.967774308989832,3.96129795912948,4.52546856046124,0.834285950287708,3.87807384491537
RASSF3,0,0,0,0,0,0,4.35322463387412,0,0
GALNT4,0,5.91921856025454,0,5.66933783661714,0,6.14907917921512,4.94513275787901,0,0
RSRC2,4.0775144924767,5.61873944262153,6.31299732333055,5.36937509888177,2.27001571216642,0,2.28916177518538,6.6501577005151,3.87807384491537
FBRSL1,2.52730886067184,2.42655883810241,2.77793079780948,0,1.95138744474997,0,3.80313073493845,2.29715377441278,0
GTF3A,2.06234119915064,4.34019345737389,6.17942918719837,7.3334954362361,5.95820564835564,7.18296255828034,6.81311401680989,6.25106647245017,5.55471570578438
CKAP2,4.80742708924121,4.57020169182154,6.03222147911248,6.12924494022766,6.18361696253436,5.74080216804716,0,1.35949233011302,0
