"","Br11.10","Br11.18","Br11.1","Br11.2","Br11.3","Br11.4","Br11.6","Br11.8","Br11.9"
"MOV10",7.59385002309276,4.81412964080472,8.68337205879763,7.65553356638375,8.58602986906761,8.48431508554708,7.42676541762017,7.84315796922624,7.22669466530949
"TRIM33",5.42929521117582,4.94286405140962,8.06692751738855,5.86595696191009,6.02325544816525,4.20881251001496,3.80313073493845,3.75783289592179,6.37886102321156
"PRKAB2",5.23002261836925,7.98335344087973,0,0,5.60854456667591,0,6.29928879080895,0,0
"CHD1L",5.84260875713161,6.01994645401173,6.41557246777729,6.89272633243738,5.69093415152687,5.57424556775266,6.14931969745784,7.12501519927994,8.15903422478516
"ANP32E",6.71472370476492,0,7.02115704424388,5.66933783661714,7.54248454629383,4.68818188746277,4.94513275787901,4.56719593980585,3.67194278334819
"SETDB1",6.49098385800563,5.8109264922694,6.45464399438441,4.16865492083614,6.02325544816525,0,0,0,5.21785185108739
"VPS72",6.93671216805267,4.51604533994688,5.95257270599829,6.25488146436056,5.91315030326242,2.77201118331505,0,5.822505289613,3.67194278334819
"ZNF687",0.843307622681109,4.67277246932893,3.00547457322004,4.7833388332932,3.52532104143033,5.85420260742349,4.75050662589372,5.40931084478543,5.92380265647105
"POGZ",4.72318079994974,4.27646705410085,8.46635179018674,6.3329451340126,5.45982316543531,5.81738404967788,0,5.2988688128942,6.52402376898035
"TDRKH",1.37201470237603,0,0,5.60786147551581,0,0,0,5.11552842457896,4.67074310798588
"CHTOP",7.14533217801646,3.9890232248091,7.86420905419842,7.38936956438604,7.39462275846673,6.31674362630418,3.33218485004581,5.8811776538253,6.44518700899104
"GATAD2B",3.28329171821906,0,5.9796138381538,5.81246028412237,5.49081924854795,4.42001620453904,6.45657219889555,4.12453173578938,4.72514644042358
"ASH1L",4.88702405920873,5.74182152811815,8.06692751738855,7.22507635136047,2.7516620427869,7.50579912779256,7.49053115020882,6.09456955530288,5.72456844515284
"HDGF",5.16763848630326,7.18399419057359,6.35490653233578,7.03963998973351,6.47468796270751,3.28479423456461,7.12579603318428,5.84232905469501,5.39609357899015
"USP21",3.02634497884694,5.61873944262153,0,4.72662639942142,5.32871654674683,0,3.66256571443887,3.67181591903733,0
"TADA1",5.16763848630326,0,4.38677712657543,5.86595696191009,3.84614159452782,0,3.80313073493845,5.53644189151931,5.82762206783712
"RNF2",6.37153030178473,2.17020601574214,4.67843552156071,5.12797663188687,2.53084603244413,6.08856223600574,0,4.90544963553196,5.49334343659868
"UCHL5",4.0775144924767,1.45966154349926,7.31455461354784,6.08481120310637,6.23943689791442,5.10960792425769,0,4.51874170059269,2.55926093499899
"CDC73",5.26023141449349,6.03927478905038,7.28233909947619,5.03761508897867,0,5.57424556775266,4.75050662589372,6.8297012592123,6.03565795828179
"UBE2T",0,0,0,6.60877100990403,6.79336804257768,4.51505197721073,3.13347161369605,7.78800565296187,0
"KDM5B",5.88199725099046,3.00031613723891,6.96813685541799,3.98742461116933,5.84281385851269,6.96463124455961,8.72167928172898,0,7.40391145559598
"RBBP5",0,3.00031613723891,6.05782298696737,6.86671754569456,0.967774308989832,4.51505197721073,1.84471249713376,5.26988477774144,4.87703395333824
"RCOR3",5.28982061595719,4.62239844342634,8.01559284214926,5.86595696191009,5.71738392977127,5.85420260742349,1.1990640901276,5.80240533087562,7.24542859444198
"NSL1",4.00800436978356,6.03927478905038,6.24775846046066,4.99021931261378,2.94312368104972,6.62442936307891,0,5.48692554094126,5.64214029109355
"SMYD2",5.78143319280547,3.52389183682194,2.77793079780948,6.96805243202301,6.81802035740046,7.22573923341335,2.62845336166009,5.21010906606064,4.87703395333824
"LBR",5.93913422144651,6.42452337617707,3.91272940279308,7.00429019354587,6.7036082741713,4.91422836497748,0,6.56920127036416,0
"PARP1",7.18524126945209,0,7.27143872573267,8.13019544029965,8.16865350716149,7.45875798434558,6.59838165134284,7.70922981708392,7.66969257308241
"TAF5L",0,2.17020601574214,5.95257270599829,3.53792971830122,3.52532104143033,0,0,0,4.67074310798588
"ARID4B",4.76591880332032,5.85522343541366,6.79627549313432,6.49452510881543,0.967774308989832,5.99274334272203,6.7623523498231,2.86072345122316,0
"SMYD3",4.48814791069996,3.9890232248091,0,0,0,1.96912187144367,0,4.18788140320874,0
"ZMYND11",0,0,6.94087769342409,3.88748925225091,5.25840651377509,5.22655541074288,4.81834151982626,5.93755685219747,5.21785185108739
"SFMBT2",0,0,1.11884864333125,0,0,3.66234102537749,0,0,0
"TAF3",4.99874588290801,0.90705921075679,0,4.72662639942142,5.36262699582715,0,3.33218485004581,0,0
"SUV39H2",1.75807992347051,1.45966154349926,2.77793079780948,4.16865492083614,5.0242350797843,0,3.13347161369605,0,0
"MLLT10",2.06234119915064,3.82051468109845,1.74134691342348,3.66409713278708,0,0,0,4.24856596241825,3.87807384491537
