,logFC,logCPM,F,PValue
CRB3,0.539444272774978,7.80650802967924,0.120509999590266,0.734573254962175
PGLS,0.537438823829855,8.36175772778624,0.10909739384304,0.74694415029779
CYCS,0.518494527122888,10.3143246454446,0.801448541634917,0.388495210907829
HSPB11,0.518369047865288,8.69375924906993,0.297763088575671,0.595417797725968
CCT7,0.515798751548753,10.222177223598,0.164421385635417,0.692348144290466
ATIC,0.511302448208089,8.90523567791364,0.0713999012911005,0.793905907455408
NACA2,0.506433302336639,6.91988694644858,0.116359655206995,0.738992662601365
CACYBP,0.489366311894555,9.34413065000491,0.197517999383853,0.664744879926623
TAF9,0.482702781399961,8.66345705523803,0.138874181519692,0.71598696100059
TPI1,0.47509313739097,10.8885986133948,0.766946696430456,0.398578908200349
TMEM258,0.471580920761576,9.27242388041824,0.42622485098259,0.526318834098381
MRPL27,0.462296737631647,8.86797276797406,0.204142429007539,0.659561563133651
EEF2,0.448877985945626,12.4892570669437,0.439556784832396,0.520033125102672
EIF3K,0.437890074967841,11.3585779484058,0.153285371664759,0.702368894468828
PHF5A,0.433497243851501,7.76009999373682,0.0653708658566749,0.802586957335167
HSPB1,0.430105475533368,13.4852153898723,0.109730603628592,0.746239267124025
AHSA1,0.430027554431332,9.60764357452031,0.390393526141501,0.543943977868459
DBF4,0.426662415335611,6.98743768122108,0.0333980631709131,0.858084436850643
RPL27A,0.423118032178202,10.0884084638587,0.519793284407558,0.484920215109912
SAE1,0.42119812493938,10.3209615877809,0.351329252965987,0.56450916872144
DCAF13,0.414447817626525,9.017100354325,0.135524609318127,0.719267551923142
RBM8A,0.407640541166939,9.42854698537566,0.315987953367647,0.584512137694726
RBBP4,0.395720454037482,11.1349227523489,0.3514702470411,0.564432165747419
RPLP1,0.3920994285346,11.173218033292,0.360207390877965,0.559701243303096
RPS20,0.391625620133438,10.5095020270989,0.381437168850633,0.548527718132102
SARNP,0.389668120620358,7.50585484984631,0.0333268185971224,0.858234070788645
EEF1G,0.385514263365422,9.85997867126141,0.411927473793113,0.533219709615829
EIF3F,0.382621079912226,8.34766032324279,0.0507798201397039,0.825553710620612
KRTCAP2,0.382570351596618,10.4595657460446,0.289879993946953,0.60027150562758
PPIA,0.375448634282173,11.9179231986949,0.508768085883318,0.48949108551252
ADAM15,0.368943948159356,11.8909789492548,0.0912965131938388,0.767776272502745
LSM5,0.368362609472694,8.20378621831669,0.0615847410236956,0.80825951496434
MORF4L2,0.356581438977367,11.2470125829015,0.504913163060331,0.491107170424185
SMC2,0.35576325297263,8.68333321050041,0.0245185238285223,0.878210565259753
RPL13,0.354448527003156,10.7966558173557,0.267039574879931,0.614838631802731
DDR1,0.3487216983241,9.82678025891432,0.0834301482867028,0.777695598576991
PPIB,0.345507952679949,10.8620443824173,0.31410313037979,0.585620338389001
AKT1,0.340347191441199,9.11901827487026,0.0980684384398325,0.759606749783296
EIF2S1,0.325472508642312,9.16057710435833,0.168701159786248,0.688603184571315
NDUFS8,0.314427632431157,9.71295806225685,0.0823178542024312,0.779138770158169
RPS3A,0.313916404646607,9.06193157698692,0.118947451409819,0.736226878178308
SRP19,0.310993856237452,9.76164872628012,0.175362870631424,0.682883957775697
EBP,0.30316941042069,10.304037709548,0.0355579946245551,0.853624090379769
TMEM251,0.302948272120818,8.0550198502468,0.0225182265934588,0.883242216571383
P4HA1,0.291248670940731,6.48171718724137,0.0149339909793322,0.904786212220941
CDCA4,0.286127891071391,8.85808636678526,0.0221463527017505,0.884202570633295
ZFYVE21,0.28049716919686,9.59381264811039,0.0376628020346224,0.8494109998647
CSNK2B,0.271355535307752,11.368549463236,0.174142328197334,0.683922068003439
C8orf59,0.265241945697686,7.64568194907518,0.0417935066881309,0.841485277237526
C1QBP,0.265005285202071,9.19066725575785,0.0350422166985598,0.854676124703873
NDUFA11,0.261538086847229,10.5686658906571,0.207502409421618,0.656971588389706
LSM3,0.255777169691892,8.62385365757288,0.0702164772021656,0.795577885382157
RPL10,0.250613487853876,11.2886864186158,0.238544244130565,0.634178382474673
CYC1,0.245812407193047,11.1834515284065,0.0459591705953219,0.83389714661894
DSTN,0.238757046322889,11.8375989368773,0.113866917920049,0.741689760433866
NSUN5,0.235800187479685,7.23526518743548,0.0119035234135403,0.914947532245014
RBBP7,0.218648429659022,11.0069304248522,0.0812994688215987,0.780469435301402
PFKL,0.215856317815547,10.9886381137009,0.0460372643157322,0.833758411240544
COX4I1,0.208706534027743,11.208153125997,0.151339313566935,0.704163234448113
VAMP4,0.207017774097224,7.0346638211807,0.0101605426812604,0.921396094211345
OLA1,0.20623536328953,7.5852568360505,0.0166174925768401,0.899593250636656
SOD1,0.19621284455121,12.2706386945117,0.096625732157426,0.761320478607352
KIF20A,0.18813552180728,8.39687235909432,0.00528452774717991,0.943262404035936
TMEM126B,0.185606793381063,7.19508195170099,0.00867871239560098,0.927334306179856
PIGK,0.177906278240042,7.82929745420862,0.00736772261516386,0.933031410092651
KRT7,0.173573074936069,13.5242262584642,0.0166298135300964,0.899556257457126
DHPS,0.1688678184288,9.42498455301083,0.0443602681499802,0.836765298857408
HSP90AA1,0.166998538951759,13.6856293794286,0.030802485990216,0.863646987978635
MPZL1,0.165345845267408,9.60376272094406,0.0194951142195931,0.891302897145278
ABHD3,0.161691671907838,8.70358599976171,0.0103186274622908,0.920789226039396
PGK1,0.160846400856856,12.3788722921934,0.056292008206247,0.816510447675799
MGST1,0.159278755066438,11.2481217686302,0.0244004357388916,0.878501624485086
STMN1,0.155779024162406,12.2322123536479,0.0127507000879068,0.911986390923194
MRPS15,0.146810874158631,9.6362065834329,0.0211665645904703,0.886773108539517
FXYD3,0.139415436038148,12.8935112404443,0.0206773961119111,0.88807926316227
ZNF695,0.134605978710719,6.77920487245535,0.00308459808959399,0.95663496777375
CEP55,0.131595814430303,6.2502216572425,0.002556755151882,0.960515525644782
COX20,0.128761438428099,7.85365749309758,0.00923444360247258,0.92505138751237
PSMD4,0.123833266099731,10.2659011329123,0.0449397067874526,0.835719719529875
WDR83OS,0.123346449881511,10.4787037027547,0.0238530549059279,0.879860326055205
LITAF,0.123263844915935,10.554651816514,0.00939955493918722,0.924386570004376
CDCA2,0.121722918108276,7.64735690300961,0.00240333622609916,0.961717429233128
SLC35B1,0.120701294709121,8.52047057856378,0.0120013611988836,0.914600221316713
WDR36,0.120425876989077,7.70147658828151,0.00253051493936875,0.960718478380842
ENY2,0.117574950922648,9.05815711497821,0.0194252751684458,0.89149640497784
C12orf57,0.107650720555307,8.45746494114812,0.00563287335406306,0.941425914295198
MRPS24,0.104148131622287,9.12901401006086,0.00773252139556135,0.931398044786293
TKT,0.101091579572554,9.56956514596092,0.00379080347295438,0.951932601318074
TFCP2L1,0.0941140824001032,7.99360616174347,0.00173837304120304,0.96743751865972
CNIH4,0.0899445571137949,8.49570260945042,0.00357943047604366,0.953290143820025
PTGS2,0.081910242827585,4.62427407794873,0.00087975953860988,0.976831635661399
APIP,0.0721187112746455,6.83977385834688,0.00170854286814982,0.967717936807788
HMGN1,0.0704448488702858,10.0122351091148,0.0144857339634973,0.906218486444884
UQCR11,0.0685235239344276,11.215830639775,0.00980340429436347,0.922784922834948
MRPS34,0.0642214315787572,8.76175050894001,0.00432300623127596,0.948674147282556
RPS7,0.0622647355404638,8.84243830829089,0.00539415178267715,0.942678067367103
DCAF6,0.0538553130710347,9.17810848813849,0.00269680748935276,0.959449540859053
ARRDC1,0.0534998562702872,10.4743070390174,0.00497806563126736,0.944929099289589
NDUFA8,0.0534276565510197,10.1621349890279,0.00854329779167099,0.927901677497374
RPL35A,0.0464107764365068,11.7702258891231,0.00741676950204905,0.93280946984622
TXN,0.0458272277622197,11.4619631952961,0.00500184216751676,0.944797976476104
PPP1CC,0.0364444164895947,9.57190612870982,0.00151912716580641,0.969558904901949
EIF4EBP2,0.0323147843797967,9.26079142359832,0.00125801362198568,0.972297027612752
IDH1,0.0321143511191607,10.2935739130677,0.00065760033189593,0.979968575726563
MYL12B,0.0263696254116258,12.3628182242678,0.00171160857280538,0.967689005207465
PTRH2,0.0225029256300407,6.90792521191505,8.96701568784931e-05,0.992602254972191
PFDN5,0.0219021403930987,9.01663742465537,0.000610036742399019,0.980706432119034
EIF2S2,0.0211638380088909,7.81881556952771,0.000243403560162025,0.987812158710163
TIPRL,0.00292833868823123,9.09930276886747,1.20826970132752e-05,0.997284414839813
