,Br61.CTC.18,Br61.CTC.22,Br61.CTC.23,Br61.CTC.34,Br61.CTC.38,Br61.CTC.45,Br61.CTC.10,Br61.CTC.13,Br61.CTC.20,Br61.CTC.35,Br61.CTC.4,Br61.CTC.6
TPX2,0,0,5.73458651515081,8.95160171271382,5.4121084448082,0,0,6.48634672473344,9.05685181065176,0,6.65143349286911,0
FAM83D,6.90858375042419,0,6.26822322110238,7.27684027222948,5.01708588621377,0,3.7314365541753,0,8.51461642121588,4.32519837703429,0,0
UBE2C,0,0,3.05878328372484,8.7964786769953,0.835544763064257,0,0,6.48634672473344,9.08553827543015,0,4.87384160551323,0
CSE1L,5.70976324990757,7.15294759142045,7.34269077300106,9.32267339390464,7.94118611418496,6.35067709546302,8.04464880454232,7.46224982369644,9.48276045288267,7.95762464412257,7.98098813854532,7.06017751366097
AURKA,0,0,0,1.87046288763933,6.40845356705916,5.02820843509402,4.89038708374106,6.28236930168018,7.85149129907181,0,3.30753823492077,0
CTSZ,5.73621973653122,5.72618859428955,3.69104615681672,3.42498865905305,5.58712027409939,0,0,3.43972875942138,6.04972019592745,6.54256403896695,3.05005483153942,2.79299861792848
BACE2,9.17083502681858,8.39045763645128,8.88022361314289,8.23873844928829,8.42559332049509,6.50451886687218,8.99637963848229,7.30936457173817,8.47613485559665,8.12755118594351,7.10588683414342,7.86595151906202
RRP1B,7.62666502610016,8.17826568305252,6.31879545536677,8.13349095226748,6.70816045830237,4.78292905514699,5.93988786672266,8.41716679902025,6.45344541549344,5.04773212801708,7.29616144989915,7.09188365852628
CDC45,0,0,5.33675607942552,6.41146797220005,0,0,0,0,5.64962906638944,0,6.95410580789184,0
CHCHD10,0,4.06192364824904,3.05878328372484,2.65832520157002,3.38050352859419,0,4.61713014074182,4.62304197379457,1.04933488767123,3.32502644160885,4.56416241044603,0
MCM5,4.2043955376972,0,6.41491350833564,7.61981949214638,6.17776431735053,0,5.55639093479989,7.29133235598984,5.1385858085035,5.64722962334225,8.2071803264744,0
APOBEC3B,3.95692831956696,0,5.75921026224584,8.99731434023102,4.12723258702923,0,0,4.93321301121428,7.27630006374336,5.64722962334225,5.65416972234432,4.15409843275382
CENPM,0,0,0.938539453487952,7.3724552630827,3.58296906655991,0,5.49222781086722,4.06705964685785,0,0,2.54965835678114,0
GTSE1,0,0,0,7.58697420885142,0,0,0,0,8.02146458935393,0,0,0
NCAPH2,6.72262361135146,6.60919187096669,6.806156748523,8.46527596123104,7.39993651882809,5.83594949601957,3.7314365541753,6.71998316911956,6.55540312161579,8.09089239822802,7.60879626814736,6.28723118710936
LSM3,3.86401321800044,4.06192364824904,3.47020579378489,5.87178141491859,4.19058930455923,0,4.35381908515749,5.9094074945164,6.9035550990247,2.00258241746694,6.12471160878391,5.59829092742562
RPSA,6.72262361135146,7.42040769185183,6.97333374970053,6.63358313746815,7.07006970842149,6.68703539721512,6.86614917495892,7.58575434438314,6.68102293678005,6.60331959456891,7.59074247438111,7.90216993572751
KRBOX1,3.76469957278223,0,4.051544224379,4.8303814721066,2.51277920607895,0,0,4.93321301121428,0,0,0,0
KIF15,0,0,0,6.8260202383868,4.19058930455923,0,0,0,5.82318701090528,0,0,0
TMEM42,4.76303352679981,0,4.051544224379,0,5.63345755982849,0,0,0,0,0,3.18453318380997,5.8415086958715
POC1A,3.28060419852085,0,3.47020579378489,0,4.74897181925486,0,1.01687257116206,4.73400857767264,3.99765887490663,0,6.88664898252962,0
COX17,3.76469957278223,2.8153946795453,3.96950889819224,4.78476506704221,4.19058930455923,3.9340774096171,4.03147591614999,3.15066291965395,5.45229957873779,2.81030587924663,6.00257717844773,3.68497314292479
ATP1B3,7.52411216850518,8.46138396056285,8.43311257980679,7.55336369406726,8.63652515312547,6.78372991328419,6.52503466513769,7.15837175879877,8.21564179307947,0,8.68100865951618,3.98429043904333
SMC4,5.38136172767844,0,7.05515791760414,8.69224170630255,5.05162271733292,5.55204461634582,6.99906904989593,6.38795996813122,9.23386275014657,0,8.7931486160421,0.991642860253225
ECT2,0,5.43542278527867,6.17978535933375,9.20205458722074,5.7431799554168,5.02820843509402,0,6.16843584257508,9.17634964254851,6.13267609756597,8.44347968941624,0
RPL39L,2.95984011779028,3.56929816195387,2.48102369995585,4.08227618763274,0,2.83234150772061,6.29990588174542,5.95593871093727,6.58784831533231,0,5.31613302829903,4.84179931039369
TACC3,0,0,2.89066238575048,7.80258356700616,0,2.83234150772061,0,5.59346770575335,7.24612441338318,0,0.855319487273501,0
FAM200B,5.20316736507029,0,2.7003335593274,0.914946843824564,3.7604862539382,0,3.35215807167605,4.37166958678595,5.68004437124643,0,0,0
NCAPG,0,0,0,7.72621069623778,0,0,0,0,6.68102293678005,4.647160856548,3.18453318380997,0
DCK,0,0,5.04791102760601,6.89204423584443,2.69859972289714,0,0,5.53336568419511,6.04972019592745,0,4.51395193690214,2.79299861792848
ENOPH1,1.55446638600676,6.88458436852491,7.0749088609849,7.58031445616378,6.7612947563281,1.01462804851359,5.45904340965411,6.28236930168018,2.07338377137902,6.98069483386653,5.63080037415722,5.91425074427889
H2AFZ,8.13408085229906,8.160105234239,9.24740672877578,11.1667100855482,9.40691622630182,6.62872498840331,9.66104205204179,8.58939265749005,11.3395782955658,7.11194173992331,10.3048154971315,7.80349059318546
CENPE,0,4.58187234092091,4.20282141007081,6.64639245477478,0,0,0,2.30460383552026,6.38123689101134,0,5.19389044535597,5.76490326747938
MAD2L1,0,6.04924902290603,5.85370606005322,8.5289144231977,5.6560797876684,0,0,7.37932070560293,8.56844917126402,0,6.94466008712825,5.71147557427249
CCNA2,1.96564614263482,0,0,3.01506874952756,0,0,3.61574636118298,1.57054010331741,7.53944238384552,0,2.73641339766456,1.98744606600347
SCLT1,2.76802590390751,5.85219139010509,0,0,0.835544763064257,4.55141773929247,0,3.15066291965395,0,0,4.46193076837107,4.84179931039369
MND1,0,0,1.50241916096267,6.03653565869845,0,0,3.02939875235858,4.62304197379457,5.7956721804195,0,5.25630608356839,0
HMGB2,1.96564614263482,1.14262491429794,3.34566171652143,8.71370031787302,0,0,4.83972013656833,4.73400857767264,9.23386275014657,3.32502644160885,7.61476434071582,0
NEIL3,0,0,0,7.42543767433393,0,0,0,0,6.92910489991378,0,1.38864071425221,0
