,logFC,logCPM,F,PValue
MEX3A,2.17382340607577,6.24372104475496,0.960647486440148,0.350007033712612
SPINK8,2.03854306331454,10.4595071686264,0.735308418477032,0.409365582674124
COL5A2,1.99257643680353,6.21965351902056,0.841367804800842,0.427756311180706
RPL23,1.96953015248202,12.6320092012351,6.51499951129311,0.026778026828731
FAM200B,1.8121568494371,8.50449293802238,0.481439006224506,0.502084887531356
REEP5,1.80870728459845,14.1376046885037,4.99217054480387,0.047044437886751
NDUFB6,1.75786349053066,12.2726007310875,6.10747637900462,0.0309420532141808
RPS24,1.75710036506758,12.0296927074992,2.11499102182796,0.173647504676574
UCHL3,1.71499920347223,9.73875079118379,0.509313830112335,0.490222611491927
RPL23A,1.71053837344207,9.9337006315402,1.19728230736884,0.297124048860078
MRPL22,1.70678803925599,11.1994773382738,1.49886231069406,0.24628597528482
CKS2,1.70382826004319,11.0951225831175,0.56906267708256,0.466390647753854
CSTB,1.66043289361249,11.7449826193057,3.16081327784108,0.102897552744131
RPL37A,1.65898484726847,13.8572765907214,5.17908977517922,0.0437405152836692
FDX1,1.56049894906759,9.19690355481024,0.332474398398324,0.575753166588818
GORASP2,1.49335197307714,11.5314527336236,1.19023695271554,0.298479645953714
RPL37,1.47298185510026,12.3932643475514,3.70804561980131,0.080238153051542
SSBP1,1.43506475609894,12.1424032319956,1.42138947902273,0.258128018634891
ATOX1,1.42507898091475,11.6991015422308,1.76346285233068,0.21094820389282
RPSA,1.32512040735523,11.509196260166,1.98862798368405,0.185983749753053
DHCR24,1.31373787513396,14.6728485947903,0.901696938097164,0.362616329941574
APOO,1.29019752304182,10.9932775051098,0.476711066987775,0.50414803513029
LGALS3,1.28719601098512,15.126913160408,0.745285429201372,0.406305475258821
TPX2,1.2599165896609,9.96548491047591,0.192919565106572,0.668955957399547
RPS17,1.22686289945672,12.6101391312248,3.82338341916306,0.0762766523836681
BTF3L4,1.22643532413593,11.1471439914907,1.75398097944304,0.212093565344813
UQCRB,1.19370181049916,11.8351606302275,2.56882087158608,0.137142494079848
RPS14,1.1582567418881,13.6867142063926,3.27772454351844,0.0974506092628473
CENPM,1.12720570426757,9.85298353716388,0.163367324670906,0.693781239579851
RPS8,1.11354205296552,13.6176812036563,1.59722871857715,0.232285140442905
UBA52,1.10456603469078,13.3013440933419,2.72223313904434,0.127043334760241
MRPL2,1.03933350316464,9.63551788714941,0.193202075472514,0.668730026958036
BACE2,1.02306230769252,11.8414108673971,0.627971487053247,0.444766567293759
PLD3,1.0137887087471,11.0821808037256,0.566875502793099,0.467227564779164
AURKA,1.01355419723126,6.08194236636063,0.58405245005777,0.574960116418752
CENPW,1.00621255744774,9.75213063147164,0.145070162133081,0.710506464779432
PKMYT1,0.987124898961904,11.8513875783791,0.155760452306252,0.700594703443767
S100A6,0.978491798133541,13.8921436065587,0.45645743737326,0.513163097003299
FIBP,0.97139587772583,10.6713638178673,0.301394626353112,0.593919857159427
FARSB,0.954161103387841,10.8304882301172,0.294238171205869,0.598277533862325
SAA1,0.93711180112189,6.07283201407402,0.573846998115778,0.574960114364873
CD200,0.93711180112189,6.07283201407402,0.573846998115778,0.574960114364873
RPL14,0.917425912160141,11.2328470170396,1.39535132506281,0.262282155981283
TIMP3,0.884006129212519,10.0082289087736,0.0798366128882703,0.782736971121633
SEC61G,0.883843382749489,11.8956054753031,1.56533212082182,0.236704966368346
HMGB3,0.877348310019602,10.5683906811614,0.244088711399137,0.630934257162316
THYN1,0.832502234758674,8.8690127172206,0.125290829208592,0.730021458768747
S100A10,0.817181231864706,13.7499529110493,0.172617676885188,0.685742504044307
RPL38,0.806718336083745,12.5896264131219,1.45836331397014,0.252382043569387
PLP2,0.7709642208765,11.8025446735588,0.318575714237852,0.583730422765172
MEF2B,0.749690195503677,7.74579608574678,0.0926303709256324,0.766509680014831
YBX1,0.580487181228512,10.1306297068735,0.234609013477404,0.63757691164761
AHNAK2,0.563961521829672,9.48399496796891,0.0303231737963977,0.86490557132962
RPS9,0.545269603050301,12.6348640801315,0.779034533801539,0.396215890466896
ADAM15,0.498763714056557,13.9365756988521,0.151818078883288,0.704202544284378
DBF4,0.344823438249441,8.98319485202831,0.0193221765577465,0.891945682596706
PPIB,0.320224118668226,12.9696566492463,0.260579906880609,0.619756271568777
KRT7,0.319403211914581,15.5797880850727,0.0500273046753287,0.827093676942884
TMEM258,0.308722998197357,11.3928069762861,0.178823226696494,0.680491838566562
ANLN,0.294733088248347,10.8239506497987,0.0213256911073038,0.886522916238556
MRPS15,0.289838511822233,11.704811475287,0.0800194894330226,0.782495393186511
RPS20,0.248061966183102,12.6200940142459,0.152567077150098,0.703512939957969
