,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
SPCS3,4.99874588290801,5.69384127087612,7.54925331580005,6.81324959273714,6.08549831888339,6.76640966219705,5.95204510272603,7.27841179814474,4.14076170350031
NEIL3,0,2.64415968285407,0,0,2.27001571216642,0,0,1.74369722987071,1.56443800849731
STOX2,5.10243437909662,0,1.11884864333125,0,5.91315030326242,0,0,0,2.97300125790583
SLC25A4,5.5069349567907,0,6.81140560636924,5.57611217872611,5.22192333320927,0,6.25101073867492,7.48798592216312,5.25530549513003
FRG1,0,0.90705921075679,4.86402071962576,3.66409713278708,3.26339332779042,3.0510663588384,0,4.61407554130658,5.87651372633266
SDHA,7.27674617108772,7.157705698768,3.91272940279308,7.5694666883215,7.5350688370106,7.47066284789662,3.13347161369605,6.62748710526465,5.96959061030686
PDCD6,6.65912557932156,5.71803085251162,8.23344893876362,6.03896533855019,4.93689464572783,5.10960792425769,4.75050662589372,5.95587071409321,6.21744109878526
MRPL36,2.06234119915064,0,6.17942918719837,2.3912288507298,0,0,0,5.04884423429105,3.4313706822122
CCT5,5.23002261836925,5.53951233634251,8.57229253194796,8.27565625077643,7.63557258287811,7.34694804454112,7.53152781439095,8.09939015145419,7.00276409875954
ROPN1L,0,7.02826452242414,0,0,0,0,0,0,0
SUB1,5.67333047962086,6.65499373697441,4.92093143555958,6.90555698161194,5.74335750603981,6.49051507560831,6.65513462123754,6.00945741586172,6.36179188275366
TARS,6.9917628160942,0,8.19358562364814,5.78494918105097,0,4.20881251001496,3.13347161369605,2.69617646863997,5.87651372633266
RPL37,6.51623752606939,2.83320060573328,9.31572147905391,7.88664298699837,7.05423303548071,7.45875798434558,6.95548889509227,6.84942706341844,8.06724877449037
TAF9,5.93913422144651,0,6.31299732333055,6.47743987900354,5.69093415152687,5.52941832979741,6.41335617256208,4.30680063087715,6.23629479082177
RAD17,3.02634497884694,0,4.12137205243805,4.94121343318483,5.25840651377509,1.2972786894223,1.1990640901276,0,2.55926093499899
BTF3,4.99874588290801,3.62968872200817,8.69565549594576,7.05123335994633,6.96874425092168,6.53654821228317,6.03991352294982,6.07794409006704,6.15935502675774
