,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
LSM3,5.16763848630326,3.62968872200817,6.49268521522185,5.36937509888177,5.89008374943914,6.36856452240993,5.65089260138538,6.41888531813369,4.05840147761124
RPSA,5.95768784644829,1.45966154349926,7.84962545772699,7.63256535710621,6.00189642363128,5.89010486662563,5.98193317010962,6.91641783559537,7.10887554445314
KRBOX1,0,1.85824263088808,0,0,0,0,0,0,0
KIF15,0.843307622681109,2.17020601574214,0,1.04370148673221,4.3303016176561,0,0,0,0
TMEM42,0,0,6.88476379033097,0,0,0,0,0,0
POC1A,5.88199725099046,0,0,5.33184389944241,5.81858513461138,0,0,7.015780698251,0
COX17,3.28329171821906,0,5.50861761753484,5.29331020148131,5.22192333320927,4.91422836497748,4.75050662589372,5.58431498030469,4.61420758579265
ATP1B3,7.61737985694478,3.28572646127337,7.82746986987641,9.48687378033378,9.60377921157012,7.09340516100908,8.48129238197174,9.45322756036081,7.49283439317878
SMC4,7.88792230081095,5.06104640175957,6.26983416616533,8.32424591303491,9.68140425717871,6.85989806504348,5.0045806549332,8.35189917368582,5.87651372633266
ECT2,6.39894336459901,0,0,6.08481120310637,7.99034541083887,6.76640966219705,7.22910031684199,4.787700331834,5.58444977682396
RPL39L,3.28329171821906,0,0,2.88148064607876,0,0,0,5.21010906606064,0
TACC3,6.61305095229225,9.39294651284975,0,4.47444907343756,7.27507387645571,0,0,0,0
FAM200B,2.52730886067184,0,0,4.66759304973827,4.69216743607206,4.51505197721073,0,0.834285950287708,4.14076170350031
NCAPG,3.93497491848683,0,2.50765345445563,5.03761508897867,5.36262699582715,0,0,4.05827207503453,0
DCK,4.32623619681367,5.85522343541366,0,6.38884017121826,4.3303016176561,1.2972786894223,0,4.746213517374,3.14249360790892
ENOPH1,0,0,6.00615743648722,6.38884017121826,4.18624518566689,0,3.33218485004581,6.11100561109593,4.97007833961197
H2AFZ,8.5631026340151,7.91175178137544,7.83489293510901,9.41690507674006,9.25006655078386,7.67997836411844,7.53152781439095,8.65343928662863,6.98057204816726
CENPE,0,0.90705921075679,0,1.64294184445923,5.71738392977127,0,0,0,0
MAD2L1,4.76591880332032,0,0,4.16865492083614,5.29398980957923,0,0,5.01430949800056,0
CCNA2,0,4.34019345737389,0,0,2.27001571216642,0,0,4.787700331834,4.77757258261982
SCLT1,3.16053114209887,3.62968872200817,3.37488463660939,2.06506563084475,5.81858513461138,0,0,0,0
MND1,0,0,0,3.53792971830122,4.52255059110667,0,0,4.18788140320874,0
HMGB2,6.02960453061713,3.62968872200817,4.46540285174021,6.81324959273714,8.82673639101716,0,5.11659670062274,6.32337744801335,4.49402188188269
NEIL3,0,2.64415968285407,0,0,2.27001571216642,0,0,1.74369722987071,1.56443800849731
CENPU,4.6337081726244,6.40974798019247,4.30361811528956,7.43433320642381,6.59368386777766,0,5.11659670062274,6.61601680016974,0
SDHA,7.27674617108772,7.157705698768,3.91272940279308,7.5694666883215,7.5350688370106,7.47066284789662,3.13347161369605,6.62748710526465,5.96959061030686
TRIP13,1.37201470237603,0,0,4.47444907343756,5.0659992944453,0,0,6.00945741586172,1.56443800849731
ACTBL2,0,0,0,0,0,0,0,0,0.984634069889191
DEPDC1B,4.53831762090615,2.42655883810241,0,0,6.90112995863859,0,0,0,0
CENPK,0,0,0,5.25371897613993,4.46127061149664,0,0,3.83900862573554,4.42995320548937
CCNB1,5.53191333653211,0,0,0,0,0,0,0,0
DHFR,0.843307622681109,0,3.00547457322004,2.06506563084475,3.64037238185392,1.96912187144367,0,4.70349827627479,0
LMNB1,4.14382894566204,0,0,7.34295936154136,8.2479049442421,0,0,5.63065038047542,0
KIF20A,0,4.45977649219037,1.11884864333125,0,7.79928461847908,1.96912187144367,0,6.61601680016974,0
CDC25C,0,0,0,3.78011273527587,5.52116336832044,0,0,0,1.56443800849731
EIF4EBP3,0.843307622681109,0,6.08297809057871,2.06506563084475,0,5.85420260742349,0,0,0
MRPL22,5.45564211355251,0,4.8047724936185,6.42493557335843,5.52116336832044,6.62442936307891,6.9704746967964,5.93755685219747,7.63459246993133
PTTG1,3.8580506738477,3.00031613723891,0,0,7.35305473012459,0,4.15759259333674,2.51041665824996,0
SPDL1,0,0,3.00547457322004,2.06506563084475,6.18361696253436,2.42571333789311,0,4.41665960727428,0
RPL26L1,4.53831762090615,0,3.00547457322004,2.65707978202499,3.74692244825783,3.48588283494556,0,3.83900862573554,2.780912255517
