,logFC,logCPM,PValue
CMAHP,1.25098504859357,9.32226662808344,0.0210344360662261
CCT7,1.24513924868789,8.40105473666523,0.0217177689520803
GRK6,1.1686699140957,7.8218621505571,0.037720711718241
RNF19A,1.09043879207542,9.03059793177806,0.0475839932411054
STOM,1.08001495310277,8.85094135348692,0.0380033584252947
C1orf198,-1.04481700911334,9.15271865665997,0.0467783825661558
INSIG2,-1.21014934080778,8.06280943743406,0.0471218339557908
CRIP2,-1.35375102573449,10.0077878040006,0.011385491683343
NIPBL,-1.39008975412606,7.48271316369406,0.0320536511112952
GOT2,-1.43440022856423,8.10177568416567,0.0154518769506372
YES1,-1.44843335336775,7.89841463156538,0.0401710341805523
PAPSS2,-1.48867464252851,8.23539419886367,0.035132916010939
SERINC3,-1.52029852845084,8.11720749441853,0.0410116868479126
KIAA1217,-1.59850843029754,8.25745777469811,0.0291553282094196
TMEM99,-1.64856854842682,7.54071546060281,0.0295390451184016
FBXW5,-1.67210489595179,7.15241527549733,0.0242223964530399
GPCPD1,-1.75744013378985,7.55383254051465,0.0242983831494222
VTCN1,-1.94984542280727,8.78583001640319,0.0106989505178085
SPTLC2,-2.09679479659839,8.1761161924097,0.00601874978577723
GPRC5C,-2.09950058080762,6.83940207060177,0.0339118436063301
CLDN23,-2.16192515411604,7.13824896989895,0.00280145813808235
MYC,-2.30532714712444,8.55284560201812,0.0206542692528181
NFATC3,-2.38230507333512,6.98231719150364,0.0318770380234414
EGLN3,-2.43970516680651,6.55627951031046,0.0364413729701985
PBX1,-2.45516833556269,6.8886440721705,0.0152496163405996
HOXB2,-2.46150997480663,5.56264082094985,0.0344018956825067
ANKRD50,-2.50244102779797,6.87849160387098,0.04473137061094
SLC1A4,-2.5226769146086,7.40644651442055,0.0133862344433721
RBM28,-2.59364237746379,6.00234459273086,0.019611753966801
ESRP1,-2.67799454293278,7.14957851079899,0.00443811994204316
TTC37,-2.9210082389325,6.37258658638378,0.0275684346299652
BOD1L1,-2.95800455575763,6.3624374858841,0.0176982058118811
KLHL28,-3.09931592368938,5.38951139824286,0.0358692557797069
ZBTB20,-3.5844890613093,6.00340748045664,0.0333435661634536
FAM179B,-3.60527893392263,5.88257319031504,0.0346967430953508
FAIM2,-3.8751225780451,6.65406503676713,0.0100971883011597
CTGF,-3.93730375183689,9.84499042133883,0.0161163260302906
SH3BP5L,-4.06496097726134,4.69956424649531,0.0408470801417226
DUSP6,-4.12880807416945,7.242356385913,0.0119760025622504
RBM15,-4.76973104876768,5.13347477539813,0.0108062760989504
SRPK3,-4.89065510276103,3.47604448414901,0.0398370975100462
ZNF691,-4.90533498637672,4.99337630488648,0.0243090408056193
ARV1,-4.92572024160171,4.31195108108202,0.0349982730647662
ZNF701,-4.93779375864142,5.63095920038044,0.00517499726990506
DUSP22,-5.220010434985,4.85249100145067,0.0235691748884559
NOL9,-5.55456705995903,4.41325135618652,0.00487169928648067
CLDN8,-5.61760104302207,3.53535772852041,0.0469079478221869
ZNF296,-5.62774953954077,4.07797780776536,0.0373677275047691
EAF1,-5.78483963976413,4.59642676434986,0.0134424381201614
NRL,-6.0064497825477,2.89977984536761,0.0244573049779949
GNA14,-6.24795373842213,4.14098227452261,0.00901266996428584
AVPI1,-6.41184086658235,3.20446609451298,0.0463119918222839
STC2,-6.51970597483389,4.85422834742101,0.0284222141523371
NFKBID,-6.5677200224167,3.328883401886,0.0310256288242702
NPTXR,-6.57964002318988,4.43032279258762,0.0174302353812132
TTC5,-6.72188514490073,3.44743134495636,0.0459200260932296
DUSP2,-6.79801746666016,6.10020698712035,0.0316787943326616
LONRF3,-7.04899737824661,3.695533540592,0.0442084735087783
TEP1,-7.05739940702331,3.70621089186353,0.0135593808493406
IGFBP5,-7.15660190444818,3.79403822714211,0.0347103630517434
JADE2,-7.22309894231264,3.84944041406687,0.0428059914812795
TIMP2,-7.2410432768147,3.86170042226651,0.0495789591280564
ZSCAN32,-7.29955040872133,4.99948036051996,0.0061871899539544
SLC26A2,-7.37211035857081,3.98060242897803,0.0295408350358947
HLA-DMB,-7.41698280471509,4.01990060217467,0.0137217056001848
XKR8,-7.4237209915826,4.0014149800511,0.0417174585301862
ZNF251,-7.43781763785624,5.17840895766401,0.00204717614767647
PTK2B,-7.44387703883025,4.04034237173478,0.0046439087573184
RPL32P3,-7.52874671096503,4.11406485405613,0.0033923166861128
ZFP3,-7.57135542891098,4.13850846439148,0.0184024946995482
PPM1F,-7.58374326312655,4.16090478770718,0.025801620762375
SLC29A3,-7.63074708088941,4.20326948282761,0.0229092324424609
PLAC4,-7.67355254173775,4.22965805559233,0.0274639321046604
WRNIP1,-7.77263105882155,4.32899319160857,0.0229149303131071
ZNF514,-7.7939639381534,4.33749848559332,0.0247296388989402
ZNF211,-7.81825684074497,4.36795338170615,0.0190153707441615
OASL,-7.84075389182735,4.38940044854216,0.0414732123305472
AGPS,-7.87680690823568,4.4040069714212,0.0242310997395164
SUSD1,-7.89042899255601,4.43434351145708,0.00176874660576369
ARHGEF3,-7.96838682490205,4.48893731363674,0.00337471426844996
KCNMA1,-7.9754767004248,4.50937490216722,0.00692621317589947
ZNF44,-7.98789290474047,5.70434632543329,0.000148374396751973
NRXN3,-8.03173295881273,4.56127748190034,0.0143236568784411
EDEM2,-8.11458403014524,4.63252238657661,0.00269161400353915
EPM2A,-8.12469100306773,4.64335549970987,0.0141054614916498
ME1,-8.31436399925497,4.81795848178004,0.00153776285870629
