,logFC,logCPM,PValue
CDKN1B,1.92341507288061,6.85102331592422,0.420853633550884
PLD1,1.91999408614471,6.8014024024206,0.425451224002283
TMPO,1.91335288983148,8.41319810920397,0.294779803116921
ASTN2,1.90607818296294,6.09016842850906,0.520412480315723
TNFAIP3,1.90168706612975,8.75325208362278,0.276793272718614
DEDD2,1.90006410247381,7.04850078854876,0.402199712217797
CDC7,1.89064873357553,6.42140965192641,0.480790578643545
COQ3,1.88819141597131,6.53375844693335,0.465572947991851
ARNTL,1.88623726627803,6.9625626655109,0.415331006105283
BDKRB2,1.8832076189207,7.0526331726083,0.404585077475246
CUL7,1.88117686543112,6.82276108745968,0.429431978483174
RBBP8,1.8737510741498,6.62792560080532,0.458832227976016
TLR1,1.86757979380173,6.62811477846354,0.458808261201899
RFC5,1.86145059636649,7.58034211577922,0.362017863380717
ERVMER34-1,1.85721480670798,5.9887141615309,0.542093465029885
ZNF160,1.85659466179507,6.94472249942902,0.422080205162318
ATG2B,1.85019303168418,7.01607224214047,0.419567015138624
ZNF180,1.84615643814013,4.71280965655314,0.676621299220094
CDCA4,1.8441148819568,9.13405527663515,0.267344172510688
LIMS1,1.83894357758674,6.28907762100564,0.509980213655963
CENPE,1.83773783070995,5.87971260764913,0.564361446895646
IL15,1.83069157904007,5.61755021514402,0.599443904256874
MDP1,1.82812114192084,5.13530703002697,0.645950112425515
STK10,1.82019151316614,6.66348007398262,0.462638483629867
MAMLD1,1.80450641335903,5.97131323922768,0.556143937970655
KDELC2,1.80159833531748,7.95371172078955,0.350550732311811
DYRK1B,1.79475897206169,6.0289916102385,0.551558449802238
CASP1,1.79463381661685,5.59397206365619,0.608798248512834
CCP110,1.79369209827816,7.76095222238976,0.365647209508597
NDUFAF1,1.78342218413895,6.76675868211138,0.458268588702708
SPATS2L,1.78299017494097,7.12272957736789,0.421870961632703
PARD6A,1.7826084558654,5.34076534123682,0.633248621966957
TACC3,1.77813779012066,5.93302787455291,0.569585678653657
THEM4,1.77710569901983,6.57777413599926,0.486113138812039
ZC3HC1,1.77547955359881,6.26097553810519,0.526827088218551
GTF2B,1.76439299270961,8.01249071419334,0.355255727495986
ZNF133,1.76339375073269,7.09533781466823,0.429453837864523
ITGB8,1.75599683630007,8.16478031040941,0.348863183315342
PRC1,1.75520357092858,8.36349268610055,0.335859409862364
TMEM194A,1.75280770109965,5.88121321716852,0.578366205100963
C22orf46,1.74660567424074,5.8313241107351,0.583321816236554
C19orf57,1.74584061104444,6.42427684793099,0.512689564377117
CDKN3,1.74286451465241,6.49792638052695,0.500990703580078
GGT5,1.74220646885903,6.14157859296682,0.548236151116785
GYLTL1B,1.72329866940965,5.88132152637432,0.583513670537097
LPPR4,1.71713725311857,5.52562384155081,0.628580822168532
APBB1,1.71552684093042,6.2532133217447,0.536735327530275
HLA-L,1.71411312540644,5.3651471992936,0.648378673449111
