Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human betaherpesvirus 7 tegument serine/threonine protein kinase (gene: U69)	1/463	0.023149843461691515	0.03189533988055275	0	0	19537.0	73571.79496617553	CDK1
Human gammaherpesvirus 8 ORF36 (gene: ORF36)	1/480	0.02399984080293499	0.03204400054926733	0	0	19520.0	72803.90175804839	CDK1
Ectromelia virus ERPV serine/threonine kinase	1/482	0.024099840498541938	0.03204400054926733	0	0	19518.0	72715.28600911408	CDK1
Cowpox virus CPXV220 protein (gene: CPXV220 CDS)	1/483	0.024149840344545606	0.03204400054926733	0	0	19517.0	72671.11056066577	CDK1
Human betaherpesvirus 6B Phosphotransferase (gene: U69)	1/489	0.024449839432947255	0.03204400054926733	0	0	19511.0	72407.88923766027	CDK1
Vaccinia virus Ankara 54.4k ankyrin repeat protein f2	1/491	0.024549839130487066	0.03204400054926733	0	0	19509.0	72320.83801090563	CDK1
Human betaherpesvirus 5 tegument serine/threonine protein kinase (gene: UL97)	1/508	0.025399836600790624	0.032701756935477465	0	0	19492.0	71594.36039104837	CDK1
Monkeypox virus ser/thr kinase	1/512	0.02559983601953489	0.032701756935477465	0	0	19488.0	71426.819961583	CDK1
Orf virus ORF129 ankyrin repeat protein	1/534	0.026699832877227672	0.032701756935477465	0	0	19466.0	70527.22513999225	CDK1
Cercopithecine betaherpesvirus 5 tegument serine/threonine protein kinase (gene: UL97)	1/534	0.026699832877227672	0.032701756935477465	0	0	19466.0	70527.22513999225	CDK1
Yaba monkey tumor virus ankyrin-like protein	1/535	0.02674983273484724	0.032701756935477465	0	0	19465.0	70487.18469492058	CDK1
Human betaherpesvirus 6 U69, ganciclovir kinase, phosphotransferase (gene: U69)	1/538	0.026899832317892756	0.032701756935477465	0	0	19462.0	70367.49276703715	CDK1
Human betaherpesvirus 6A tegument serine/threonine protein kinase (gene: U69)	1/538	0.026899832317892756	0.032701756935477465	0	0	19462.0	70367.49276703715	CDK1
Orf virus ORF128 ankyrin repeat protein	1/555	0.027749829981379447	0.033375500663801703	0	0	19445.0	69701.09962320088	CDK1
Orf virus ORF123 ankyrin repeat protein	1/566	0.028299828506441586	0.033375500663801703	0	0	19434.0	69280.25754753318	CDK1
Orf virus ORF008 ankyrin repeat protein	1/568	0.028399828239253685	0.033375500663801703	0	0	19432.0	69204.58423570514	CDK1
Orf virus ORF126 ankyrin repeat protein	1/574	0.02869982745069843	0.033375500663801703	0	0	19426.0	68979.08733544372	CDK1
Human alphaherpesvirus 3 tegument serine/threonine protein kinase (gene: ORF47)	1/576	0.028799827185699862	0.033375500663801703	0	0	19424.0	68904.4235730991	CDK1
Variola virus hypothetical protein (gene: B6R)	1/590	0.029499825374663325	0.03387016987461345	0	0	19410.0	68388.6298513939	CDK1
Vaccinia virus Ankara 65.4k Ankyrin repeat protein	1/608	0.030399823102525852	0.0344070084884458	0	0	19392.0	67742.43214998872	CDK1
Horsepox virus HSPV181 (ankyrin repeats)	1/615	0.030749822238799338	0.0344070084884458	0	0	19385.0	67496.07060662446	CDK1
Vaccinia virus ankyrin-like protein (gene: B4R)	1/616	0.030799822114657132	0.0344070084884458	0	0	19384.0	67461.0955298059	CDK1
Yaba monkey tumor virus ankyrin repeat protein	1/638	0.031899819458291206	0.03531765725739384	0	0	19362.0	66705.08973185252	CDK1
Cowpox virus CPXV198 protein (gene: CPXV198 CDS)	1/650	0.032499818048712346	0.035350679281055536	0	0	19350.0	66303.17725095939	CDK1
Monkeypox virus Zaire-96-I-16 B5R (gene: B5R)	1/650	0.032499818048712346	0.035350679281055536	0	0	19350.0	66303.17725095939	CDK1
Ectromelia virus ERPV ankyrin	1/667	0.03334981609061424	0.03595980169770579	0	0	19333.0	65745.79150808667	CDK1
Yaba-like disease virus 11L protein (gene: 11L)	1/678	0.03389981485278661	0.036237733118496034	0	0	19322.0	65392.328121256985	CDK1
Human alphaherpesvirus 2 serine/threonine protein kinase US3 (gene: US3)	1/767	0.038349805537432835	0.04064423834736471	0	0	19233.0	62718.9249728642	CDK1
Cercopithecine alphaherpesvirus 2 serine/threonine protein kinase US3 (gene: US3)	1/816	0.04079980089658398	0.04287436704386791	0	0	19184.0	61371.11384009549	CDK1
Macacine alphaherpesvirus 1 serine/threonine protein kinase US3 (gene: US3)	1/833	0.04164979935849898	0.043399790928183815	0	0	19167.0	60921.51843389955	CDK1
Papiine alphaherpesvirus 2 serine/threonine protein kinase US3 (gene: US3)	1/855	0.042749797428323494	0.04417479067593428	0	0	19145.0	60352.522289666274	CDK1
Human alphaherpesvirus 3 serine/threonine protein kinase US3 (gene: ORF66)	1/868	0.04339979631043281	0.04431454672781829	0	0	19132.0	60022.83376281875	CDK1
Human alphaherpesvirus 1 serine/threonine protein kinase US3 (gene: US3)	1/872	0.0435997959741438	0.04431454672781829	0	0	19128.0	59922.3393139147	CDK1
Human herpesvirus 3 strain Dumas serine-threonine protein kinase	1/887	0.044349794717896164	0.04471036215462702	0	0	19113.0	59549.36491296846	CDK1
Monkeypox virus ankyrin-like protein	1/978	0.048899787618516675	0.048899787618516675	0	0	19022.0	57408.057897082035	CDK1
