,logFC,logCPM,PValue
RNF114,-1.82618413617305,8.83986153063985,0.0439792525359649
CX3CL1,-2.11294390717108,8.54472615443207,0.0494291743482508
ZFAS1,-2.16238135514483,8.65750839182535,0.0253083827360594
QSOX1,-2.22011720330479,8.75525230765871,0.043501781993841
TMEM63A,-2.28784876821852,7.54940851869337,0.0302375537834024
STX16-NPEPL1,-2.29541493293208,7.41474313310676,0.0358867843823004
GAS5,-2.41478983820242,8.31040845467453,0.0104144007513669
WARS,-2.47906812446211,8.21115492297676,0.0393571421631686
FLAD1,-2.51082750340393,7.19897100371251,0.0359186887903629
ITGB5,-2.58896360344601,7.60501808107381,0.0369070005737601
ORC3,-2.60881159571616,7.0403737847252,0.0441821374514735
BTG1,-2.67352257216454,7.49818940896176,0.0160066162762559
HLA-DRA,-2.69753482556249,9.17333989570681,0.0217545060446834
TARS,-2.91225418248079,6.96057532495318,0.0262495503662037
LGMN,-2.93431259008343,9.24969849675537,0.00451096507329483
PCDHA12,-2.93949277625419,6.46074946430017,0.0429415156499131
RUNX1,-2.96663682591905,7.56579030884847,0.0165142585966893
TRIB3,-2.973579895815,8.88822036841692,0.0054423245005773
ME1,-3.20292519704679,8.12817962054958,0.0349119239921666
ZBTB20,-3.21060678281983,6.5168319075478,0.0488982240086673
TCTA,-3.26930659652862,7.33115502547397,0.0207371288572733
NFYA,-3.38440613594681,6.3319869670436,0.0446368057550757
SNHG7,-3.43449918834974,6.16747234850045,0.0472257296698919
CLCN3,-3.44542817464362,6.49816852986722,0.036968832882394
OPTN,-3.48015484227602,6.86179871199297,0.0225282114402565
MKNK2,-3.5810978794541,8.42401545418489,0.000400681848412006
PODXL,-3.6693923442272,6.3070800786037,0.04215918011355
HMHA1,-3.78000538912418,6.61499979616615,0.0128716007452449
LMLN,-3.92965977624397,6.16033308354417,0.0223932516235781
PCDHA6,-3.93581155246412,5.97459220740023,0.035180671300645
SLC4A11,-3.9822742871963,6.60042197226515,0.0168142209530527
PCDHA11,-4.00444956826019,5.71699377004742,0.047602854803417
MYH14,-4.01379452588057,6.42113263929898,0.0195557439025528
TXNIP,-4.10116042442564,10.4833964119059,0.000268630105422636
LPIN1,-4.19453999218856,5.90786552807182,0.0299824260116962
CEACAM5,-4.22457047349028,9.08696504212066,0.00630628298706075
PTCHD1,-4.25251181300321,6.10284446513625,0.0384816239539584
F3,-4.59189921623562,7.15463913465254,0.0039745596025735
HLA-DMB,-4.71949872986453,6.38841733913279,0.0173914533166574
PER3,-4.96459285109759,5.61409497873217,0.0375653252392815
ALDH1A1,-5.15180885529019,7.74395640278551,0.00367567751179953
CAPN8-2,-5.15329318343345,5.69735389396478,0.0297701118708284
WFS1,-5.27062706854858,5.84609728754748,0.0224190042465404
OARD1,-5.55789417760414,5.47855997624542,0.0291689268543618
HDHD1,-5.55976150545645,5.78893678316333,0.0184701562050878
BRF2,-5.68324307434597,4.96847683487458,0.048855379843015
MANBA,-5.84874983803021,5.64873521200295,0.0137235744453451
ATP7B,-6.235749528394,5.44505827295425,0.0267686696462197
FKTN,-6.26330770028134,4.94673316524267,0.027413872395379
GTPBP2,-6.61046375375431,5.98160962081366,0.00226492449892438
ZNF23,-6.86978290160406,4.40605146442343,0.0346211943064205
TMC4,-6.95325174130199,5.23696152977522,0.0249560781976683
MYOM1,-7.04282736505003,4.45673248604748,0.0317528171721277
SAP30L-AS1,-7.15872180675529,4.76147761862627,0.0211249163442989
FOXP2,-7.16503131653604,4.48209400564886,0.0478110056158446
SLC22A15,-7.18943644532753,3.63772303303499,0.0485436763561527
MYC,-7.30799260475088,5.24364968161932,0.016984107521012
ICAM1,-7.46766394991745,5.02481534941061,0.0188942489859865
CDH1,-7.52044998137739,7.0343137585626,6.13956616216675e-05
MARCH8,-7.63903178863855,3.96313594186056,0.0321535596608757
LINC00673,-7.68913833757579,4.00269149416799,0.0352348431448441
ST3GAL5,-7.71241310545143,4.02048244464808,0.0345465684983081
LOC400891,-7.73131677542277,4.03515538395614,0.0487818142978931
SOCS2,-7.79810833731592,4.0867179173028,0.0467829038473422
SSPN,-7.79810833731592,4.0867179173028,0.0467829038473422
C21orf91,-7.81261761830838,4.09491401147539,0.0276244011201101
CCNB1,-7.81667921117274,4.09466779768137,0.0461441399807344
SPIRE1,-7.81970223334979,4.10350210907927,0.0459810203008498
TMEM67,-7.84097766102356,4.12009245191346,0.045203365724812
HYAL1,-7.84166491495209,4.11420655841181,0.0453133623769831
ZNF223,-7.86194387776495,4.13649338935783,0.0444488817063296
LYZ,-7.91412622277289,4.17128173756998,0.0429731519992177
ZNF546,-7.91412622277289,4.17128173756998,0.0429731519992177
PEAR1,-7.92307400180374,4.1846019719549,0.04274896242783
PRKAR2A-AS1,-7.92307400180374,4.1846019719549,0.04274896242783
MISP,-7.96048779628145,4.20811340507551,0.0415288949935505
ABCG2,-8.00074890924231,4.24633967464827,0.0401251194776649
SUOX,-8.02735113372106,4.26165383936451,0.0395172186827184
SLC26A9,-8.02735113372106,4.26165383936451,0.0395172186827184
SGCE,-8.14457652835212,4.36238882550221,0.0363009932993798
FRAS1,-8.16158714133398,4.37625797987926,0.035787837341869
EZH1,-8.1621910088764,4.37226002778932,0.021197755859848
CFL2,-8.17839951101962,4.38999467436027,0.0352874176191665
LOC102724608,-8.17839951101962,4.38999467436027,0.0352874176191665
UPRT,-8.21961871575798,4.42187982384009,0.0197441720123322
ZBTB37,-8.23019198042108,4.42699079428178,0.0342014115226758
LONRF2,-8.24375560966387,4.44366606661209,0.0336896364950817
KCNMB2,-8.24375560966387,4.44366606661209,0.0336896364950817
CSTF2T,-8.2675486022768,4.4578983800525,0.0329571444964774
ZNF618,-8.28586900607992,4.47310716132375,0.0319900780342361
FAM110B,-8.29090407665336,4.48264513798994,0.0315588084427725
TMEM45A,-8.30628413589581,4.49540698003448,0.0307359695512997
