,logFC,logCPM,PValue
EIF2AK2,0.865981725057553,7.46765818846221,0.623956171256127
ANKRD36C,0.862976003139156,8.12832133215806,0.623354033541766
LMNA,0.862954039804849,10.3835421778984,0.509252544137435
PAQR4,0.862161706660763,6.76193838413556,0.79860549614168
SEC13,0.861306025781989,8.53510335741979,0.493601867677702
TOPORS,0.859977621395364,6.6497966717312,0.776007829176132
SNHG1,0.859948857070366,6.83224716056034,0.762685115976978
PLSCR3,0.859166944991507,4.80058432731033,1
PPIC,0.858470897967741,7.84384984074039,0.533296484225665
SSX2IP,0.857130469743898,7.11301751845612,0.70968782419481
CNOT8,0.857126934416945,6.8101048834886,0.755264861703381
KIAA1217,0.857018839381868,7.62816207950509,0.605008810178261
BRD3,0.856763476024321,7.05216372716499,0.652327681749543
FAM219B,0.8565102368361,6.52424416573855,0.827673116521169
UBE2F-SCLY,0.855800091689038,4.87203755575326,1
LRP6,0.855391602730618,6.25707980495709,0.883608962848552
ZDHHC3,0.854499149933274,6.82801211858566,0.789435997487445
NSF,0.8531552892151,5.84984605358011,0.973298296971559
PARP4,0.852221617168453,5.88513794046587,0.978019631646305
EMB,0.850488474172886,3.68704524242955,1
MTHFD2,0.850408344392264,8.58082011185677,0.566724040490754
ARPC4-TTLL3,0.849829229132326,5.44707621430276,0.968648342059472
DDAH1,0.849535561114678,8.07805235655075,0.530192173331709
UQCRQ,0.84919002604064,9.43186393413,0.450460116725309
ALCAM,0.846423579790502,9.93496054794716,0.46639615395771
SF3A3,0.846084774936297,7.67844784188908,0.609486706380803
ARFIP1,0.84594005210485,5.66877218512729,0.996511976710139
G0S2,0.844623576385268,3.07160976491033,1
SRD5A3,0.842497666493752,7.04097460158367,0.683670741055548
LAMA5,0.839828321519033,8.3615331106225,0.533662356554806
MELK,0.838147662184433,8.07096082726382,0.748688485893188
PRDX3,0.838135842441584,8.73876274377484,0.500288825272964
RDH11,0.835722670945024,6.13298433905996,0.987288850175497
OSBPL9,0.832608487274679,7.3946236147127,0.624272122618137
JUNB,0.83094612145919,7.06170879047372,0.763726232061988
NUP153,0.830418364168156,7.93128413468599,0.574092504092095
AIM1,0.829763406529419,5.5873282055155,1
LMNB2,0.829330902708159,7.21130278415212,0.71906983570662
