,mean,total,tech,bio,p.value,FDR,per.block.Br11.mean,per.block.Br11.total,per.block.Br11.tech,per.block.Br11.bio,per.block.Br11.p.value,per.block.Br11.FDR,per.block.Br16.mean,per.block.Br16.total,per.block.Br16.tech,per.block.Br16.bio,per.block.Br16.p.value,per.block.Br16.FDR,per.block.Br23.mean,per.block.Br23.total,per.block.Br23.tech,per.block.Br23.bio,per.block.Br23.p.value,per.block.Br23.FDR,per.block.Br37.mean,per.block.Br37.total,per.block.Br37.tech,per.block.Br37.bio,per.block.Br37.p.value,per.block.Br37.FDR,per.block.Br38.mean,per.block.Br38.total,per.block.Br38.tech,per.block.Br38.bio,per.block.Br38.p.value,per.block.Br38.FDR,per.block.Br39.mean,per.block.Br39.total,per.block.Br39.tech,per.block.Br39.bio,per.block.Br39.p.value,per.block.Br39.FDR,per.block.Br44.mean,per.block.Br44.total,per.block.Br44.tech,per.block.Br44.bio,per.block.Br44.p.value,per.block.Br44.FDR,per.block.Br45.mean,per.block.Br45.total,per.block.Br45.tech,per.block.Br45.bio,per.block.Br45.p.value,per.block.Br45.FDR,per.block.Br53.mean,per.block.Br53.total,per.block.Br53.tech,per.block.Br53.bio,per.block.Br53.p.value,per.block.Br53.FDR,per.block.Br57.mean,per.block.Br57.total,per.block.Br57.tech,per.block.Br57.bio,per.block.Br57.p.value,per.block.Br57.FDR,per.block.Br61.mean,per.block.Br61.total,per.block.Br61.tech,per.block.Br61.bio,per.block.Br61.p.value,per.block.Br61.FDR,per.block.Br7.mean,per.block.Br7.total,per.block.Br7.tech,per.block.Br7.bio,per.block.Br7.p.value,per.block.Br7.FDR
MTHFR,1.80741831623952,2.46674178853994,1.48420669836349,0.98253509017645,6.1891426075633e-32,2.95301852206895e-31,2.25267156679197,0.837457898099875,0.217494714019234,0.61996318408064,4.14395417753446e-35,2.36181887434147e-34,1.8787919886142,1.2665818682059,0.641758204884214,0.624823663321685,0.00110813107029025,0.00583812570051192,1.83585121291373,1.15721108449245,1.96167390183006,-0.804462817337602,0.956166569913484,0.99998241641373,1.41442646333187,4.00120444034701,3.93198528049075,0.0692191598562544,0.441541586365868,0.876846410660511,0,0,0,0,NA,NA,2.83247320733448,0.0201857298431987,0.026383039753398,-0.00619730991019931,0.683001865883777,0.978653450279076,0,NA,NA,NA,NA,NA,2.65560376968952,14.1044627631784,3.9349551794709,10.1695075837075,3.90320058552336e-05,0.000505440962568736,2.77050351567109,NA,NA,NA,NA,NA,1.98425013530092,1.04904402038309,1.34484824796514,-0.295804227582051,0.829899816810084,0.999989875876421,1.9372801404905,0.989085264274979,1.21402906823322,-0.224943803958245,0.825057247912758,0.999999728243791,1.28283467792802,1.24218481657454,1.56893934698799,-0.32675453041345,0.760640204319166,0.999662782356121
CHCHD3,2.09801599059722,1.9120194392922,0.942004702558661,0.970014736733538,0,0,2.51971301288394,0.842736105251719,0.0672635824203003,0.775472522831418,0,0,1.88590610208016,1.19942019137489,0.608413250792347,0.59100694058254,0.0011342372741948,0.00596597029590264,2.40052403100702,1.97965013241948,1.07090422324735,0.908745909172131,0.000204709809786062,0.00110094028104034,2.3633225233991,0.0330484829913923,0.154792247743901,-0.121743764752509,0.999999999974888,1,0,0,0,0,NA,NA,2.14419930538406,0.352525559655564,2.06780115541289,-1.71527559575733,0.953650871215853,0.978653450279076,0,NA,NA,NA,NA,NA,2.65560376968952,14.1044627631784,3.9349551794709,10.1695075837075,3.90320058552336e-05,0.000505440962568736,2.63256887715409,NA,NA,NA,NA,NA,2.46388873495583,0.207750560064728,0.958288521816492,-0.750537961751763,0.999658313256249,0.999989875876421,2.61836991900949,0.0480362096709874,0.34451444476455,-0.296478235093563,0.999992932261108,0.999999728243791,1.92863250756304,0.352564388314868,0.213114419917878,0.139449968396991,0.0130206399302934,0.080801619672475
REEP3,2.35008124574506,1.42468701173544,0.456252374580512,0.968434637154931,0,0,2.21155753241196,1.32530832864553,0.252863330104403,1.07244499854113,3.3337692021422e-75,2.51282853611469e-74,2.40173902110978,0.0122990268022527,0.0473407656389268,-0.0350417388366741,0.989993657855553,0.99913521707492,1.86570049115764,2.99958150413609,1.94337913436764,1.05620236976845,0.011806295052055,0.0503006515302053,2.93150147439735,0.0164914589396446,0.0310311982876806,-0.014539739348036,0.999954649062784,1,0,0,0,0,NA,NA,2.77605486022944,0.014804462027272,0.0340929767438771,-0.0192885147166051,0.874254087033137,0.978653450279076,0,NA,NA,NA,NA,NA,3.92659872327119,8.80488638155971,0.309636101007813,8.4952502805519,0,0,2.51896533133933,NA,NA,NA,NA,NA,2.63893846394765,0.15817135046737,0.846282836178996,-0.688111485711625,0.999788883597272,0.999989875876421,2.17551120503009,0.909231369531298,1.07431923519251,-0.165087865661213,0.780914084760945,0.999999728243791,2.57321068589548,0.00609623524526916,0.0235781682832733,-0.0174819330380042,0.994163104439341,0.999662782356121
FAM178B,0.448928802561789,1.61596075534849,0.649435772368998,0.966524982979489,0.0124658581312551,0.0393630533893829,0,0,0,0,NA,NA,0.301799820877222,0.202853821201287,0.369762708310681,-0.166908887109394,0.921980861362522,0.99913521707492,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,2.65560376968952,14.1044627631784,3.9349551794709,10.1695075837075,3.90320058552336e-05,0.000505440962568736,0,NA,NA,NA,NA,NA,0.994750662936075,1.1401100158763,1.45458937574996,-0.314479359873667,0.82574527197695,0.999989875876421,0.0672048744510881,0.0496814466498516,0.107505778274996,-0.0578243316251443,0.996672931284091,0.999999728243791,0.469928897663986,0.662499506579067,0.627544681883437,0.0349548246956299,0.424868610131715,0.934056861052216
PDCL,1.79449638784421,1.65412308076992,0.689151308210049,0.964971772559873,0,0,1.63965093470209,1.29513092480887,1.50170040677574,-0.20656948196687,0.723715314332798,0.96301742657879,2.25365086080505,0.179335419024227,0.109007969589668,0.0703274494345584,0.0213090799581974,0.0887112211613604,0.265231605245225,0.351739022104795,0.723810934608771,-0.372071912503976,0.983853431536422,0.99998241641373,2.25015390214619,0.190390740631901,0.239794058687999,-0.0494033180560978,0.957382685423757,1,0,0,0,0,NA,NA,0.953204298383072,2.72579530336789,1.69183547779375,1.03395982557414,0.107724086394624,0.978653450279076,0,NA,NA,NA,NA,NA,4.12092604142527,10.511362901408,0.242842069827403,10.2685208315806,0,0,1.2007079957661,NA,NA,NA,NA,NA,2.04760176219821,0.98119884436821,1.2886363652819,-0.307437520913687,0.849553377881713,0.999989875876421,2.27152996354867,0.237476088081397,1.01603244982717,-0.778556361745772,0.999944681883945,0.999999728243791,2.14301450998836,0.0688015639038905,0.0778533497080886,-0.00905178580419806,0.653746628134493,0.999662782356121
S100A8,1.77471063422927,3.44547444254755,2.49010603772544,0.95536840482211,0,0,2.30605913294147,1.89613188495003,0.178603811555641,1.71752807339438,0,0,2.78361814536049,0.125524056830326,0.0301539748540536,0.0953700819762722,1.40665837053816e-23,3.55192193844144e-22,1.03002948255205,2.07564368513778,1.47782953718422,0.597814147953561,0.0460284153525752,0.165713874744831,1.16346173730248,2.70728642833383,2.70709539326595,0.000191035067873102,0.499764817354743,0.876846410660511,3.20056628941462,20.4872491458746,16.9273515710929,3.55989757478168,0,0,0.890269962491487,2.37774181834378,1.6374994194394,0.740242398904385,0.179763795265096,0.978653450279076,5.52246508990786,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,2.77432917953125,1.60399700182977,0.531501967851231,1.07249503397854,1.06778053357944e-18,1.31859130584229e-15,1.2055203416918,2.02923741128952,1.3787559959806,0.650481415308921,0.00864993917600807,0.316992664611836,2.39325207100701,1.15193299288584,0.0322687060303551,1.11966428685548,0,0
FPR1,0.746994874333833,2.88000368640742,1.92827959448166,0.951724091925763,0,0,1.08916713292311,2.55392344221108,1.71143845448882,0.842484987722256,0.0167763808616265,0.054505159803668,0.998609620981306,1.88364385844166,1.16262571565428,0.72101814278738,0.0256545990028953,0.103815952180713,0,0,0,0,NA,NA,0,0,0,0,NA,NA,3.24254230049685,21.0281611410228,15.4434352184663,5.58472592255649,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0.306507259545786,0.800239712563976,0.62749810170621,0.172741610857766,0.1162967782608,0.999989875876421,0,0,0,0,NA,NA,1.83312242939128,2.53406870983469,0.337798454500951,2.19627025533374,1.15699541175318e-108,2.86617621437372e-106
LEPR,1.5827871477677,2.12167581604528,1.17373704378983,0.947938772255457,1.63002930902233e-57,8.90059238263768e-57,1.69846853820426,1.0344682319744,1.40313016454943,-0.368661932575027,0.871689395939244,0.999970699432885,1.17242297981021,0.280942599692298,1.19228478373712,-0.911342184044822,0.991848174065757,0.99913521707492,1.48373046925985,0.907844458828123,2.02740805100521,-1.11956359217709,0.989267884834047,0.99998241641373,2.31095728151756,0.00598850534068667,0.18961462607359,-0.183626120732903,1,1,0,0,0,0,NA,NA,2.26204290978932,0.220654000996605,1.28677970645702,-1.06612570546042,0.953454905845914,0.978653450279076,0,NA,NA,NA,NA,NA,2.87584024271125,16.540914203195,1.31467690021733,15.2262373029777,1.99783222569039e-70,4.24361675132813e-69,2.08519608302548,NA,NA,NA,NA,NA,1.79003845630606,0.422292342018382,1.4946830850194,-1.07239074300102,0.999068092276184,0.999989875876421,1.13555857581464,0.841263414389753,1.35403693208613,-0.512773517696379,0.971973229520393,0.999999728243791,1.0988120242639,0.96239040401757,1.47475618875303,-0.512365784735458,0.881334019704288,0.999662782356121
RPRD2,2.30969699976003,1.34819776852568,0.410043830254024,0.938153938271654,0,0,2.27805737874716,1.31902110997894,0.198141178184771,1.12087993179417,4.69926542701646e-132,4.51219275874351e-131,1.89695635540215,1.31444622566131,0.559968008993543,0.754478216667764,1.14723207551897e-05,7.52337345317074e-05,2.17272577512759,1.614435728901,1.62599324801075,-0.0115575191097539,0.511807539742619,0.965271178341674,2.64939586027489,0.27183374358425,0.0510712992980684,0.220762444286182,7.74855880068184e-286,3.98497309749352e-284,0,0,0,0,NA,NA,2.67093489391108,0.0364667311766624,0.056884793349054,-0.0204180621723917,0.766547288839237,0.978653450279076,3.51934803364337,NA,NA,NA,NA,NA,3.83333912153694,8.03957190713124,0.344137902857447,7.69543400427379,2.43007803064269e-256,6.69704581367888e-255,2.80995579731232,NA,NA,NA,NA,NA,3.17839847078604,0.0151647050627042,0.116425466931025,-0.101260761868321,0.99991884111263,0.999989875876421,2.12862835513668,0.811324132683535,1.10210584409845,-0.290781711414917,0.908428070895513,0.999999728243791,2.28853378667775,0.0597134010771521,0.0457105608171294,0.0140028402600228,0.148721112492887,0.643415233563714
MATR3,2.82659576958978,0.969479463778839,0.0511256957641702,0.918353768014669,0,0,3.06843091907492,0.0582571948907755,0.0218950296917643,0.0363621651990112,3.73813488768642e-13,1.69311116971075e-12,2.71244699104368,0.0421491651201435,0.0311003207076802,0.0110488444124633,0.132118857789102,0.369463309232211,3.21809850727867,0.177265450240517,0.0185867568032127,0.158678693437304,3.67296290166595e-277,4.65578140706301e-276,3.14125242686159,0.0157601104626357,0.0218564312359717,-0.00609632077333597,0.990099523215935,1,0,0,0,0,NA,NA,3.02844243189941,0.00166285688626444,0.0126587871667259,-0.0109959302804615,0.960849605190789,0.978653450279076,0,NA,NA,NA,NA,NA,4.49789934476992,9.34699529656258,0.133332312045229,9.21366298451736,0,0,2.82646431402908,NA,NA,NA,NA,NA,3.08755027521247,0.00709643973977787,0.159514204860758,-0.15241776512098,0.999982884349594,0.999989875876421,2.94367539245335,0.0310266388661139,0.0885685745725426,-0.0575419357064287,0.999476922268724,0.999999728243791,2.56816140730383,0.0145814850195756,0.0237445405578183,-0.00916305553824272,0.905333382291531,0.999662782356121
CDC42EP3,1.97139093735707,1.53912122829313,0.629492701219774,0.909628527073353,0,0,2.2323043216835,1.56775771848025,0.234361333893672,1.33339638458658,1.50039393351662e-133,1.44758006705684e-132,1.86065583658353,1.12501325947053,0.704033577090739,0.420979682379787,0.0301160861172948,0.118699701446016,0.603292529969408,1.81980938358445,1.33560091993652,0.484208463647925,0.0655458417788252,0.223406099739336,1.02532741905771,2.10259263254309,2.09490563019344,0.00768700234965358,0.487772989073575,0.876846410660511,0,0,0,0,NA,NA,2.55305710313628,0.0238121830204767,0.107322243500453,-0.0835100604799767,0.942621434594511,0.978653450279076,0,NA,NA,NA,NA,NA,4.29023511499619,7.63750728487471,0.191182791044886,7.44632449382982,0,0,2.97552286624419,NA,NA,NA,NA,NA,2.83659794757827,0.0650565095521191,0.385656125446205,-0.320599615894086,0.999843772809709,0.999989875876421,1.95217095736222,1.02606955240664,1.20644016553259,-0.180370613125955,0.774662808774689,0.999999728243791,2.36026814320363,0.0235937589990115,0.0354242255592308,-0.0118304665602193,0.872001930631071,0.999662782356121
DNHD1,1.49928148320132,1.57033440753829,0.662051628590468,0.908282778947821,2.40536176843542e-184,1.87150441956356e-183,1.49291893152956,2.08126027172139,1.68729003316784,0.393970238553547,0.156697073577776,0.385719153765406,0.140867910640763,0.0992188412414694,0.144161539128946,-0.0449426978874768,0.836380934595472,0.99913521707492,0.954194178906339,1.7189358146221,1.45616320633569,0.262772608286412,0.226171766276185,0.590538979598336,2.5134812767818,0.237284264256432,0.0863298024251526,0.15095446183128,1.26101293647148e-48,1.69113725589656e-47,0,0,0,0,NA,NA,3.01204387916534,0.0400007175632912,0.0134324172279208,0.0265683003353703,3.04856622764943e-05,0.000859356273197639,0,NA,NA,NA,NA,NA,3.66656986368849,6.75774619668545,0.417057493649559,6.34068870303589,9.31143111092451e-120,2.17563612130906e-118,2.5066546472359,NA,NA,NA,NA,NA,0.96765382201082,1.64067518848759,1.43432847708999,0.206346711397601,0.266371986518305,0.999989875876421,0.518499612684148,0.892004699988216,0.842985996553717,0.0490187034344984,0.38461843561249,0.999999728243791,1.72658535660595,2.23621808081696,0.538767320325865,1.69745076049109,4.2768815562293e-27,1.49292326868468e-25
NAAA,1.81762532733519,1.92038556559801,1.03178088924472,0.888604676353298,0,0,2.16509317764215,2.02748177000589,0.299632824949705,1.72784894505619,3.95017601091248e-137,3.84600021729854e-136,2.49597540864501,0.166177735564707,0.0367027865232249,0.129474949041482,7.35246199730429e-29,2.63114263660706e-27,1.37892171546817,1.59472013357375,1.97175934215858,-0.377039208584832,0.787083293611265,0.99998241641373,1.28953240086625,3.32578762576774,3.34523526232049,-0.019447636552743,0.519367128274961,0.876846410660511,0,0,0,0,NA,NA,0.885646636928146,2.35310989650641,1.63326104780474,0.719848848701667,0.185838925260991,0.978653450279076,0,NA,NA,NA,NA,NA,4.20383554761625,6.9770816500969,0.215883663123673,6.76119798697323,0,0,2.37903586577686,NA,NA,NA,NA,NA,1.2457866957224,1.61641615234292,1.6026054135337,0.0138107388092117,0.485095699038775,0.999989875876421,1.98502606415668,1.141802838627,1.18761033129705,-0.0458074926700436,0.577146732298069,0.999999728243791,2.5264356263068,0.00127785349481877,0.0251182207360003,-0.0238403672411815,0.999377210516447,0.999662782356121
PTK2,2.77811875246002,2.43599832703457,1.5507595131378,0.885238813896772,0,0,2.53768294571395,0.839654351318947,0.0618075457311487,0.777846805587798,0,0,2.76051774082979,0.079874159883985,0.0303585822297179,0.049515577654267,1.48337410108904e-07,1.17646661216998e-06,2.17842971394752,1.61288347339288,1.62283082218678,-0.00994734879389858,0.510182722037866,0.964239954448481,2.81366279571179,0.0226469436392781,0.0377794863853262,-0.0151325427460481,0.999590245863036,1,2.4886980983555,12.3872364495166,12.3762018496511,0.0110345998654804,0.411177513796284,0.709554105960966,2.72336193470525,0.0150061685500346,0.043758605045501,-0.0287524364954664,0.908537427736954,0.978653450279076,0,NA,NA,NA,NA,NA,4.86318285097426,8.55601264513927,0.0593041009036274,8.49670854423564,0,0,2.85466362255933,NA,NA,NA,NA,NA,2.43575463298265,0.734437788369136,0.976836957916917,-0.242399169547781,0.859041400963435,0.999989875876421,2.71637155232504,0.0346376343943211,0.248840634978619,-0.214203000584298,0.999992970403251,0.999999728243791,2.26352525905444,0.0775936561413222,0.0498765463493054,0.0277171097920169,0.0293701227904358,0.167818346703238
