,Br11.10,Br11.18,Br11.1,Br11.2,Br11.3,Br11.4,Br11.6,Br11.8,Br11.9
AGPAT1,4.92523407437831,7.2764833686819,6.49268521522185,5.36937509888177,5.32871654674683,4.91422836497748,4.25872208316143,5.40931084478543,5.0574838095014
MIR6721,0,2.17020601574214,1.11884864333125,1.04370148673221,0,1.2972786894223,0,2.29715377441278,0
RNF5,5.42929521117582,4.81412964080472,6.70200302351255,6.38884017121826,5.60854456667591,5.04737569467284,6.17542230385324,4.746213517374,5.80254052993488
MIR6833,0,0,0,0,0,0,0,0,0
AGER,0,0.90705921075679,0,0,0,0,0,0,0
PBX2,1.75807992347051,4.51604533994688,4.12137205243805,0,0,3.48588283494556,0,0,0
GPSM3,0.843307622681109,5.85522343541366,0,0,0,0,0,0,0
NOTCH4,0,0,0,3.24672430706797,0,0,0,2.04680443405476,0
C6orf10,0,0,0,0,0,0,0,0,0
HCG23,0,0,0,0,0,0,0,0,0
BTNL2,0,0,0,0,0,0,0,0,0
HLA-DRA,4.14382894566204,0,11.1607539177988,4.94121343318483,9.07703738489424,6.58115783958488,0,5.67554380706343,6.61327117715988
HLA-DRB5,0.843307622681109,2.83320060573328,6.31299732333055,0,7.41092031482943,5.92513532960147,0,0,0
HLA-DRB6,1.37201470237603,3.00031613723891,0,0,0,0,0,0,0
HLA-DRB1,3.16053114209887,3.82051468109845,8.08571667199625,0,7.88344948709483,0,0,0,0
HLA-DQA1,0,0,4.30361811528956,0,0,0,0,0,0
HLA-DQB1,0.843307622681109,0,6.74990914710401,0,2.53084603244413,0,0,0,0
HLA-DQA2,0,0,4.12137205243805,0,0,0,0,0,0
MIR3135B,0,0,0,0,0,0,0,0,0
HLA-DQB2,0,0,0,0,0,0,0,0,0
HLA-DOB,0,0,0,0,0,0,0,0,0
TAP2,6.82998342036757,5.23875646383544,7.7744106561194,7.10784262250677,7.88927747750705,0,3.80313073493845,7.34939793085217,6.50859730005147
PSMB8,1.75807992347051,6.93846767429947,6.89899820428392,5.12797663188687,0,5.334729653805,0,1.35949233011302,0
TAPSAR1,6.22606093988449,6.83166536551795,6.20256706199523,4.60604068470593,6.95769297663799,4.76753170768432,5.85847590428641,3.67181591903733,5.0574838095014
TAP1,8.18422066556892,7.25184133387737,8.56784461794593,6.59299370227766,9.1565111231813,6.82322643216428,7.75569232738451,7.34939793085217,6.27327873302504
PSMB9,4.6337081726244,4.90121600996669,8.90408733320685,6.46014988869596,5.95820564835564,5.77960119407752,0,5.822505289613,2.55926093499899
LOC100294145,1.75807992347051,0,3.52927408359663,6.21420627890992,6.00189642363128,0,0,1.35949233011302,0
HLA-DMB,1.75807992347051,0,8.71991300151134,0,5.25840651377509,0,0,0,0
HLA-DMA,0,0,8.29394736886356,0,4.26007070111535,4.84274379167813,0,0,0
BRD2,7.04478981280954,7.09443633562641,8.687478169262,6.54459934244938,7.41092031482943,6.78559828256756,9.35630437722009,7.07562476742775,7.00276409875954
HLA-DOA,0,0,0,0,0,0,0,0,0
HLA-DPA1,2.52730886067184,1.45966154349926,5.9250150315881,0,6.88954628488722,0,0,0,0
HLA-DPB1,2.06234119915064,5.06104640175957,4.38677712657543,0,0,0,0,0,0
HLA-DPB2,0,0,0,0,0,0,0,0,0
COL11A2,0,0,0,0,0,0,0,0,0
RXRB,4.38225022710986,4.57020169182154,5.02843071849316,0,5.32871654674683,5.16926634021923,0,0,5.49334343659868
SLC39A7,8.70986803749585,5.13477732956764,8.12862919574125,7.03963998973351,7.88927747750705,8.87315253483592,8.97302554614146,7.69839372652801,7.37867734939826
HSD17B8,3.93497491848683,0,6.31299732333055,3.39966198476817,0,5.77960119407752,0,0,0
MIR219-1,0,0,0,0,0,0,0,0,0
RING1,2.52730886067184,1.85824263088808,5.30987769084172,3.24672430706797,0.967774308989832,3.28479423456461,1.1990640901276,2.29715377441278,3.29415048675952
HCG25,1.75807992347051,2.64415968285407,0,0,2.94312368104972,3.0510663588384,0,2.29715377441278,1.56443800849731
VPS52,4.00800436978356,4.76853236192594,5.43237456005296,3.24672430706797,6.45909889746037,6.36856452240993,0,5.3824828001258,4.72514644042358
RPS18,7.95409974080198,2.42655883810241,10.6229529749816,9.70989354680482,8.01720739225763,9.26708567451885,8.91611036032547,8.8325992271047,9.933474845288
B3GALT4,5.06869284495427,2.83320060573328,5.0793185433476,0,0,5.04737569467284,0,3.00840964825682,0
WDR46,5.55646659818827,0,7.72732457020758,4.66759304973827,5.63653382102523,7.04645155152984,0,0,0
MIR6873,0,0,0,0,0,0,0,0,0
PFDN6,5.34723838785159,0,6.05782298696737,3.39966198476817,2.27001571216642,3.96129795912948,5.0045806549332,4.6594796353863,4.61420758579265
MIR6834,1.37201470237603,0,3.37488463660939,0,0,0,1.1990640901276,0.834285950287708,1.56443800849731
RGL2,7.34175670782446,0,5.715793942402,5.5436484247112,6.99059603298573,6.64558796060072,5.61319428587694,6.02688628416634,5.52435589374636
TAPBP,8.89694128648483,6.23637069325178,8.771112204571,8.03997719705371,8.58243701795628,9.94811626668515,7.69382970775077,8.09112909656039,7.62030977455596
ZBTB22,5.03414323195572,0,5.22202442078976,0,0,0,0,0.834285950287708,0
DAXX,6.76825847816225,4.27646705410085,6.52974907492083,6.56091183568748,7.30153860588429,6.66644072560514,7.42676541762017,6.70532293681294,5.13989497101275
LOC102723452,0,0,0,0,0,0,0,0,0
KIFC1,5.28982061595719,0,0,5.83945657307712,8.02252028766749,0,0,6.62748710526465,0
PHF1,4.72318079994974,3.00031613723891,3.79588063492644,5.99161463580692,0,5.52941832979741,0,4.787700331834,0
CUTA,6.68162259073832,5.42661764758953,8.88275862888542,8.06306616202849,8.97385806687958,7.26728399657621,7.41585830487966,7.07562476742775,8.65917630417179
SYNGAP1,0,0,0,2.65707978202499,0,0,0,0,0
MIR5004,0,0,0,0,0,0,0,0,0
ZBTB9,0,0,0,5.2130105354435,0,0,0,0,0
BAK1,0.843307622681109,0,0,0,0,0,0,0,0
GGNBP1,0,0,0,0,0,0,0,0,0
LINC00336,0,0,0,0,0,0,0,0,0
ITPR3,1.75807992347051,0,6.73411653402447,7.35236160888899,7.48975581382891,7.65932175841635,0,7.9383328335726,5.85227499905585
LOC101929188,0,0,0,0,0,0,0,0,0
