,org,new
66,SRR3632536_2.fastq,BRx-172_single_23_2.fastq
67,SRR3632537_2.fastq,BRx-172_single_24_2.fastq
68,SRR3632538_2.fastq,BRx-172_single_25_2.fastq
69,SRR3632539_2.fastq,BRx-172_single_26_2.fastq
70,SRR3632540_2.fastq,BRx-172_single_27_2.fastq
71,SRR3632541_2.fastq,BRx-172_single_28_2.fastq
72,SRR3632542_2.fastq,BRx-172_single_29_2.fastq
73,SRR3632543_2.fastq,BRx-172_single_30_2.fastq
74,SRR3632544_2.fastq,BRx-180_single_1_2.fastq
75,SRR3632545_2.fastq,BRx-180_single_2_2.fastq
76,SRR3632546_2.fastq,BRx-180_single_3_2.fastq
77,SRR3632547_2.fastq,BRx-180_single_4_2.fastq
78,SRR3632548_2.fastq,BRx-183_single_1_2.fastq
79,SRR3632549_2.fastq,BRx-183_single_2_2.fastq
80,SRR3632550_2.fastq,BRx-183_single_3_2.fastq
81,SRR3632551_2.fastq,BRx-183_single_4_2.fastq
82,SRR3632552_2.fastq,BRx-183_single_5_2.fastq
83,SRR3632553_2.fastq,BRx-183_single_6_2.fastq
84,SRR3632554_2.fastq,BRx-183_single_7_2.fastq
85,SRR3632555_2.fastq,BRx-183_single_8_2.fastq
86,SRR3632556_2.fastq,BRx-183_single_9_2.fastq
87,SRR3632557_2.fastq,BRx-183_single_10_2.fastq
88,SRR3632558_2.fastq,BRx-183_single_11_2.fastq
89,SRR3632559_2.fastq,BRx-183_single_12_2.fastq
90,SRR3632560_2.fastq,BRx-183_single_13_2.fastq
91,SRR3632561_2.fastq,BRx-183_single_14_2.fastq
92,SRR3632562_2.fastq,BRx-213_single_1_2.fastq
93,SRR3632563_2.fastq,BRx-213_single_2_2.fastq
94,SRR3632564_2.fastq,BRx-213_single_3_2.fastq
95,SRR3632565_2.fastq,BRx-213_single_4_2.fastq
96,SRR3632566_2.fastq,BRx-245_single_1_2.fastq
97,SRR3632567_2.fastq,BRx-245_single_2_2.fastq
98,SRR2959899_2.fastq,BRx-42_single_1_2.fastq
99,SRR2959900_2.fastq,BRx-42_single_2_2.fastq
100,SRR2959901_2.fastq,BRx-42_single_3_2.fastq
101,SRR2959902_2.fastq,BRx-42_single_4_2.fastq
102,SRR2959903_2.fastq,BRx-42_single_5_2.fastq
103,SRR2959904_2.fastq,BRx-42_single_6_2.fastq
104,SRR2959905_2.fastq,BRx-42_single_7_2.fastq
105,SRR2959906_2.fastq,BRx-42_single_8_2.fastq
106,SRR2959907_2.fastq,BRx-42_single_9_2.fastq
107,SRR2959908_2.fastq,BRx-42_single_10_2.fastq
108,SRR2959909_2.fastq,BRx-42_single_11_2.fastq
109,SRR2959910_2.fastq,BRx-42_single_12_2.fastq
110,SRR2959911_2.fastq,BRx-42_single_13_2.fastq
111,SRR2959912_2.fastq,BRx-42_single_14_2.fastq
112,SRR2959913_2.fastq,BRx-82_single_1_2.fastq
113,SRR2959914_2.fastq,BRx-82_single_2_2.fastq
114,SRR2959915_2.fastq,BRx-82_single_3_2.fastq
115,SRR2959916_2.fastq,BRx-82_single_4_2.fastq
116,SRR2959917_2.fastq,BRx-82_single_5_2.fastq
117,SRR2959918_2.fastq,BRx-82_single_6_2.fastq
118,SRR2959919_2.fastq,BRx-82_single_7_2.fastq
119,SRR2959920_2.fastq,BRx-82_single_8_2.fastq
120,SRR2959921_2.fastq,BRx-82_single_9_2.fastq
121,SRR2959922_2.fastq,BRx-82_single_10_2.fastq
122,SRR2959923_2.fastq,BRx-42_single_15_2.fastq
123,SRR2959924_2.fastq,BRx-42_single_16_2.fastq
124,SRR2959925_2.fastq,BRx-42_single_17_2.fastq
125,SRR2959926_2.fastq,BRx-42_single_18_2.fastq
126,SRR2959927_2.fastq,BRx-82_single_11_2.fastq
127,SRR2959928_2.fastq,BRx-82_single_12_2.fastq
128,SRR2959929_2.fastq,BRx-82_single_13_2.fastq
129,SRR2959930_2.fastq,BRx-82_single_14_2.fastq
130,SRR2959931_2.fastq,BRx-82_single_15_2.fastq
131,SRR2959932_2.fastq,BRx-82_single_16_2.fastq
132,SRR2959933_2.fastq,BRx-82_single_17_2.fastq
133,SRR2959934_2.fastq,BRx-82_single_18_2.fastq
134,SRR2959935_2.fastq,BRx-82_single_19_2.fastq
135,SRR2959936_2.fastq,BRx-82_single_20_2.fastq
136,SRR2959937_2.fastq,BRx-82_single_21_2.fastq
137,SRR2959938_2.fastq,BRx-82_single_22_2.fastq
138,SRR2959939_2.fastq,BRx-82_single_23_2.fastq
139,SRR2959940_2.fastq,BRx-82_single_24_2.fastq
140,SRR2959941_2.fastq,BRx-82_single_25_2.fastq
141,SRR2959942_2.fastq,BRx-82_single_26_2.fastq
142,SRR2959943_2.fastq,BRx-82_single_27_2.fastq
143,SRR2959944_2.fastq,BRx-82_single_28_2.fastq
144,SRR2959945_2.fastq,BRx-82_single_29_2.fastq
145,SRR2959946_2.fastq,BRx-82_single_30_2.fastq
146,SRR2959947_2.fastq,BRx-82_single_31_2.fastq
147,SRR2959948_2.fastq,BRx-82_single_32_2.fastq
