,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
SLC35A3,0,0,0,0,7.15394030529,0,0,0,0,3.58930796128865,5.69560754050134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC44A1,3.60982800124511,1.70890420617023,0,0,5.78601685195249,5.95707420438286,1.37346791594545,6.00793249421478,1.19247782045769,4.56219405747914,0,5.30380517832327,1.83625290352412,4.25382941401815,0,0,9.26330548750524,8.79789566473957,4.88533337994384,0,8.96685732672712,0.972904584827748,0.334531230128682,6.50790058203422,0,0,0,0,8.24096356027424
SF3B3,0,2.46942978306514,0,0,8.82561483824026,5.95707420438286,0,5.38981020019465,3.12311918185579,6.52432453033489,0,11.3463171590646,0,7.48379681322448,6.34076875872631,0,0,0,4.88533337994384,0,0,0,6.81626870816342,8.44222093336395,0,0,0,1.87680482549574,0
SF3B1,4.54949890393211,5.38695701229081,9.08634136885873,8.75086511183739,11.4544585389747,8.26030331823165,6.08361547764692,4.28549687323362,4.66809284395422,9.56935946793307,5.09032830309014,10.8846382344338,2.6186210330242,11.3816421698371,9.64658750802648,10.8523243172985,10.4843557445515,11.3050818625928,9.92462270618299,6.1604908560718,12.9614234898179,7.15512060503051,0.605906972748426,7.1800154702143,11.9220321150111,3.29530485080921,3.73699456401956,9.51298122899676,10.4730905984056
ANGPTL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26330548750524,0,0,0,0,0,0,0,0,0,0,0,0
ABCB10,0,0,0,0,5.20212244534138,0,0,0,2.27987178534254,0,4.89632305669343,3.55829057102996,3.79223785522667,0,0,0,0,5.8807458634218,0,0,0,0,0,0.485457433388496,0,0,0,0,0
ABCB9,0,0,0,0,0,0,0,0,0,2.1079756111508,0,0,0,0,6.34076875872631,1.3587073609411,0,0,0,0,1.11191956130249,0,0.334531230128682,4.30753023425964,0,0,0.470328647579054,0,2.312543333012
FOLH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10854125096693,0,0
ABCA6,1.26368182533138,2.96483714453295,0,0,0,0,1.37346791594545,0.642142248560006,0,0,0,0,0,0,7.33184133868637,0,9.26330548750524,5.30797402978471,5.86071766675293,8.2154309855022,10.9772141276006,4.75463551057796,8.21781322463075,7.2115080335687,9.66422513502563,0,1.54948443867215,0,9.95164907278267
ABCA5,0,2.46942978306514,0,0,4.88099490242049,0,0,1.08494163435955,0,0,0.689176506931713,0,1.83625290352412,0,0,0,9.26330548750524,0,0,0,0,0,0,0,0,0,0,2.66566917080501,0
HEY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.67775594354228,0,0,0,0,0,0,0,0,0,0,0,0
ICMT,1.26368182533138,0,6.87858034645263,0,7.67198186205904,0,0,2.45553334865756,0,3.29703865763337,8.53237477779679,1.34484369375117,1.83625290352412,0,7.91381571415406,0,0,0,6.84825049696208,2.51148001502746,0,0,0,6.86553017858311,1.91839285036296,7.40756961456542,7.72936867232801,0,0
GCAT,0,2.46942978306514,0,7.70585877354525,7.05778209024024,0,2.06414213445011,0.642142248560006,0,5.98537574722203,0,0,1.83625290352412,1.25737674937938,0,0,0,0,0,0,1.11191956130249,0,0.334531230128682,6.3399557994006,1.62527656915657,0,0,0,0
CBX6,0,0,7.45367757548521,2.3976684741859,5.16567869765762,0,0,5.5188997474841,0,7.10694360754973,5.58952215465038,0,0,8.22872454116462,0,0,0,0,0,0,5.79655943878369,0,1.03130377689581,3.82791860021482,0,0,0,1.87680482549574,10.82510528279
NPTXR,0,0,0,0,0,0,0,0,0,8.17514927924028,0,5.85750806068137,1.83625290352412,2.71422935309552,0,0,8.67951635713667,0,0,2.51148001502746,3.65687420637628,0,0,1.92607834906031,0,0,0,1.22422793839013,0
CBX5,0,1.70890420617023,8.56650060730369,6.14435865443752,6.97595676317893,0,0,1.4232739995641,0,5.64705788770743,8.58163166685443,0,0,1.25737674937938,9.13278553955454,0,0,6.86845130762122,5.86071766675293,0,1.11191956130249,1.54872100336129,3.34111285411925,5.90217890701311,0,0,0.470328647579054,0,0
PHF3,10.3656812751116,4.42102923139643,0,0,6.55067139725938,6.94541577333683,2.52926588695076,3.05109063630687,7.11419080108688,8.63572303348092,0,0,3.49611143387096,4.14464025045391,6.34076875872631,0,9.99933169779167,5.30797402978471,6.84825049696208,2.51148001502746,6.47995971825043,15.134074020148,0,6.77357506771533,0,0,0,5.96509113211157,0
TRAM1,0,0,0,0,7.08730842582919,5.95707420438286,1.37346791594545,8.81761622100917,5.39692591885585,9.7512486664871,4.56422132267696,6.44694264225108,4.87179199617592,11.2812318249957,0,0,7.68303075309593,0,0,0,6.36269992613836,0.972904584827748,2.37169320879582,5.62654408730025,5.31904858595447,4.01034313271887,11.4853365299325,8.6649808030259,5.56341560222345
CAPN7,0,0,1.93027608846896,0,6.1266038092734,7.93955103696275,0,0,0,1.68133222698939,0,2.49059073525872,3.49611143387096,0,0,0,0,5.30797402978471,0,0,0,0,0,3.29287793801317,0,0,0,0,12.4356031538706
ETHE1,0,0,4.71707490747949,0,8.26107639212,0,0,2.29998129864663,0,0,10.3270054072028,8.58092420345949,0,0,0,0,0,0,4.88533337994384,0,1.73233892820492,0.972904584827748,0,1.92607834906031,0,0,0,0,0
QPRT,0,0,3.77090998179136,0,0,0,0,0,0,0,9.43281956894406,4.99097913689573,0,0,0,1.3587073609411,0,0,0,0,0,0,0,6.94730483515476,0,0,0,0,0
BRD4,0,0,7.58621775680116,2.3976684741859,8.34495593456416,5.95707420438286,9.06916005948126,2.12560778923363,7.73538093341479,8.29658612452627,2.4023239106024,10.1080789780028,3.49611143387096,5.41677890345068,0,9.96686494535024,0,0,0,0,9.85938399407989,0,5.09351318118437,4.33638520405788,0,0,3.46218988838024,10.8794700446365,1.86594004333891
SEC11A,9.64062989294851,6.32947074124291,7.7075994363699,5.78346828983731,8.79313290430662,5.95707420438286,2.06414213445011,2.29998129864663,1.19247782045769,5.82611129134112,7.99855078975478,5.30380517832327,0,10.4625790682373,8.64838634399676,0,0,5.30797402978471,6.43738070309256,0,0,0.972904584827748,1.49915620935584,8.19289271209461,0.761288961885244,1.17606321257009,0.470328647579054,2.66566917080501,0
ISCU,0,1.70890420617023,5.90777774923736,6.9049014357229,6.04869505061959,7.52647109999157,4.72545864283624,5.44655424010655,8.10224188364799,6.94838836435034,2.22471251952953,7.24719290007999,2.6186210330242,9.85231538203732,0,0,9.99933169779167,4.3439398932939,0,2.51148001502746,3.19050614948235,5.11676359224504,0.605906972748426,5.426369382578,0,5.45372092177765,0,0,0
FOLR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43738070309256,0,0,0,0,0,0,0,0,0,0
SEC61G,0,0,7.30771769168439,7.79638276687161,8.89125651507197,7.52647109999157,0,4.2000640580105,0,5.09206350999519,0,4.28394555031973,0,2.99150517338206,6.34076875872631,0,0,0,0,0,0,0,1.35941193677649,5.39927567447204,1.25701585004217,10.5372772885313,0,0,8.52615668924198
PES1,0,0,0,0,5.16567869765762,0,0,0.642142248560006,0,0.633951882286905,0,10.4568722558124,0,0,0,0,0,0,0,0,0,0,0.605906972748426,7.00235873512446,0,0,0,0,0
TGDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35863365182419
LEPROTL1,1.92681716332862,0,7.0942817034503,0,8.39697379149673,5.95707420438286,0,7.12969431298624,1.19247782045769,0,2.4023239106024,0,0,0,0,0,0,4.3439398932939,4.88533337994384,2.51148001502746,0,0.972904584827748,0.834228102129192,5.41288612982424,0,0,3.6510805169051,0,0
CES3,1.26368182533138,0,0,0,1.50413050867315,0,2.52926588695076,0.642142248560006,0,0,1.50441128065414,2.02858807362061,0,4.6229486481641,0,0,7.68303075309593,0,0,0,0,0,0,0.485457433388496,0,0,0,5.1596251894019,0
CBX7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71422935309552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEY2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67951635713667,0,0,0,0,0,0,5.49195783491889,0,0,0,0,0
TNFRSF13B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAAO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43738070309256,0,0,0,0,0,0,0,0,0,0
MACF1,0,3.86935279501855,8.91837896207929,0.77533276569841,5.08990740323522,6.94541577333683,3.39856341087762,5.57087336610763,2.89282746884389,6.89587611253212,10.2950158021345,11.9587082629513,2.6186210330242,7.27944654396613,12.7660089626122,10.5833290530751,11.5833542025723,7.28039872706037,8.16264624674521,18.7399563522356,12.9849676343032,5.50106527959869,0.834228102129192,7.84182823311646,13.7512501945035,3.09719960275764,0.470328647579054,0,10.4377605026923
FOLR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAAM2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFYVE26,0,0,0,0,6.21842212118228,0,0,0,0,9.37683596831977,0,0,3.79223785522667,0,0,0,7.68303075309593,0,0,0,0,0,8.46050675167044,8.52758383469928,0,0,0.470328647579054,0,0
