symbol,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1,total
RPL10,9774,72,13996,6194,3776,15,27,22620,1393,17025,12832,9104,75,5183,28,3523,14,97,20,11,59,111,29421,18873,111,41609,20547,18,2581,219109
RPL3,4633,39,9838,9705,11640,21,38,11081,1106,25174,16522,16669,119,6309,18,142,13,75,20,20,113,40327,14948,15158,103,30905,362,36,921,216055
JUP,593,10289,49558,26863,10724,5,3,9648,691,14093,11175,10989,69,4258,15,2,1,146,2,0,1,32,41486,13211,22,6397,4556,18,1,214848
HSPA8,4559,69,9019,9630,28357,60,2,14947,1516,24400,21287,17201,106,3285,41,10,37,19,8,1,34,1,4221,19490,104,36145,17981,26,914,213470
EEF1G,19710,121,12376,11144,11469,25,358,22187,1413,13815,3957,6159,70,8168,35,4201,17,21,10,8,1682,8,19835,18557,74,29674,26234,36,10,211374
ACTB,8522,89,24275,11591,6833,36,7143,1794,2701,5949,3699,6538,73295,5095,39,16,20,52,396,20,7039,18,2392,9566,7702,10818,5599,32,3049,204318
NEAT1,4,21,613,53,943,68,74,4995,2830,2766,5340,45,27,1511,121,7329,35,57,35,235,36225,9844,1833,5150,31410,18,95,65537,25925,203139
UBC,5405,25,28015,21270,7061,12,7,35280,5246,7193,7898,3644,32,7235,5,756,6,22,3,1,4581,305,28439,12643,7,20,6,21532,2734,199383
RUFY1,1506,25,340,872,6,10,10,13,316,486,1,86,8,2,153,79,12,14,13,139,25395,50866,4,255,66582,0,2,17525,30741,195461
TPM4,1543,13,15863,14949,1598,11,3,1250,745,8293,1475,7462,30,3052,13,64,11,12,5,7,18381,911,7,1914,64256,614,3925,38016,8754,193177
GNB2L1,3537,33,6439,8296,5816,38,1444,4360,3865,23293,21500,11157,76,1952,41,2788,29,119,25,10,257,11,28777,18752,60,5101,44065,18,10,191869
