symbol,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_CL.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_CL.1,Patient.5_SC.1,Patient.5_SC.2,Patient.6_CL.1,Patient.6_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1,total
DCBLD1,0,0,1,0,1,1,0,16,0,0,0,877,0,0,0,0,0,0,0,0,0,0,278,3,0,0,0,0,0,1177
PIP5K1C,14,0,6,47,4,0,0,0,283,0,64,0,0,489,0,0,3,0,0,0,6,1,136,96,0,0,24,2,1,1176
SLC44A1,8,1,0,0,59,1,1,113,1,41,0,25,1,13,0,0,3,23,1,0,430,1,1,225,0,0,0,0,228,1176
SPTA1,0,0,0,0,376,1,0,0,247,1,0,2,1,545,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1176
TLCD1,0,0,0,0,43,0,0,45,1,1080,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1174
C8orf82,0,0,6,62,0,0,0,14,0,422,307,0,2,0,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,1174
SLC31A1,2,0,0,0,244,0,0,2,0,85,80,0,0,0,0,6,0,0,0,0,30,124,0,398,0,3,195,1,3,1173
CDCA8,0,0,1,205,204,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,494,0,0,1173
C6orf211,0,0,0,0,173,0,0,0,0,395,493,0,4,105,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1173
CCDC50,224,5,1,217,0,0,0,0,0,489,0,0,1,0,0,1,0,0,0,1,0,0,1,231,0,1,0,0,0,1172
RND2,0,0,0,0,0,0,0,0,0,47,0,1115,0,0,3,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1171
SOX13,0,0,0,2,2,0,0,177,7,302,120,0,1,0,1,0,0,0,0,0,0,0,1,556,0,0,1,0,1,1171
RRP8,0,0,0,0,133,0,0,409,3,81,0,0,0,0,0,27,0,19,1,0,0,0,1,495,0,0,0,0,0,1169
COA5,0,1,1,325,22,0,0,0,0,399,168,0,1,10,1,0,0,3,0,1,0,0,0,121,0,4,112,0,0,1169
PIAS1,0,0,1,0,114,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1047,1169
EPN1,4,0,63,57,22,0,0,73,17,60,129,37,0,6,0,0,0,0,0,0,3,0,4,693,0,0,0,0,0,1168
MARC2,0,0,0,0,0,1,0,0,0,9,1083,0,1,0,0,0,0,0,0,0,0,0,0,73,0,0,1,0,0,1168
DPP9,0,0,53,307,57,0,7,1,0,33,2,368,0,0,4,0,0,1,0,0,2,0,3,130,0,0,199,1,0,1168
SIVA1,71,0,2,4,0,3,0,1,4,7,136,0,0,54,1,0,3,0,0,0,10,0,4,865,1,0,0,1,0,1167
STON1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,1155,0,0,0,0,1167
C2orf47,0,0,15,322,110,0,0,0,0,0,103,616,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1167
RPUSD4,0,0,133,0,444,1,0,0,0,41,0,0,2,11,1,0,0,0,0,0,0,0,1,531,0,0,0,1,0,1166
MED25,0,0,16,98,23,1,1,15,5,10,127,135,0,156,0,0,0,0,0,0,0,0,0,24,75,0,0,461,18,1165
HEXDC,365,3,0,0,1,0,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,652,0,1,102,0,0,1164
REL,0,0,0,0,13,0,0,209,2,0,0,0,0,0,0,12,0,1,0,2,0,0,0,2,1,921,0,0,0,1163
PELP1,0,0,0,0,56,0,1,35,15,205,0,102,0,251,1,0,0,0,1,0,0,0,157,243,0,0,95,0,0,1162
RPP21,44,0,1,10,22,0,0,311,2,131,428,4,0,6,1,0,0,0,0,0,0,0,0,202,0,0,0,0,0,1162
ACTR6,0,0,0,0,316,6,0,0,249,2,533,0,2,1,0,1,1,1,0,1,0,0,1,26,5,13,3,0,0,1161
OASL,0,0,981,177,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1161
RANBP17,0,0,0,0,0,0,0,0,0,1154,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1159
EMD,973,5,14,2,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,16,0,0,15,1,124,0,0,0,1158
C10orf47,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,915,28,0,0,40,0,0,0,172,1158
EFTUD1,0,0,263,242,264,0,0,0,0,5,35,0,0,146,0,0,2,0,5,0,0,0,0,195,0,0,0,1,0,1158
DIRAS1,0,0,0,0,0,0,0,12,0,265,0,55,1,0,1,0,0,0,0,0,280,0,2,539,0,2,0,0,0,1157
OAT,194,0,257,58,462,0,0,111,9,0,2,1,0,29,2,1,0,5,0,1,0,1,0,6,5,12,0,1,0,1157
UBE2D4,0,0,0,0,163,0,0,9,0,9,9,292,0,0,0,443,0,0,0,0,0,0,23,202,0,6,0,0,0,1156
EPDR1,0,0,0,0,134,1,0,0,0,15,0,371,0,0,0,0,0,2,4,0,1,0,0,0,0,0,2,626,0,1156
VEZT,0,7,100,3,334,0,5,203,1,187,1,36,0,236,0,0,0,2,2,2,1,2,0,33,0,0,0,1,0,1156
NFKBIZ,0,0,1,16,220,0,0,1,0,1,0,0,1,0,2,33,0,0,0,0,1,2,0,0,0,0,0,0,878,1156
DPF3,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,758,0,0,0,0,0,0,0,394,1156
CRYBG3,0,0,0,0,79,6,0,160,0,62,0,1,3,143,2,0,5,0,0,1,0,0,1,10,0,1,681,0,0,1155
PGM2,0,0,5,202,60,0,0,0,0,3,0,2,0,79,0,802,0,1,0,0,0,0,0,1,0,0,0,0,0,1155
CDC23,0,0,0,0,325,1,0,0,0,614,34,0,2,0,2,0,5,0,0,0,0,0,0,172,0,0,0,0,0,1155
PI4KAP2,0,0,0,0,11,0,0,1,3,3,0,45,0,24,0,0,0,0,0,0,0,8,1029,13,0,0,0,0,16,1153
MRPL30,0,0,0,94,18,0,0,0,0,0,802,0,0,0,0,2,0,0,0,0,0,0,4,233,0,0,0,0,0,1153
BMPR2,0,0,444,0,300,2,0,3,0,160,6,84,1,0,1,5,1,0,0,0,2,0,0,129,3,9,0,3,0,1153
TMEM189,0,0,0,16,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,14,0,1074,26,0,0,0,0,0,1152
LY6G6D,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1147,0,0,0,0,1,0,0,0,0,0,0,0,0,1152
NIPA2,0,0,0,10,274,0,0,1,0,301,20,8,2,13,1,0,2,2,0,2,1,2,4,507,1,0,0,0,0,1151
VSTM2A,0,0,1,416,172,0,0,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1150
ZNF613,0,0,1142,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1150
TTLL4,139,0,631,0,345,0,0,31,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1150
ZNF79,0,0,0,0,153,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992,1148
DHFRL1,0,0,0,2,227,0,0,0,0,0,0,916,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1147
TRIM25,20,0,107,0,202,0,1,119,0,1,0,695,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1147
TMEM14B,0,3,1,55,261,1,54,0,0,462,0,32,1,25,0,0,1,1,1,4,1,0,190,53,0,1,0,0,0,1147
C9orf86,0,0,1,126,41,0,34,66,0,56,411,113,0,0,0,0,0,5,1,5,0,2,7,214,2,61,1,0,0,1146
LRRC61,0,0,0,0,0,0,0,16,33,359,49,0,3,334,0,0,0,4,1,0,0,0,181,160,2,0,2,2,0,1146
GALNTL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,22,0,0,1118,0,0,1145
AIP,15,0,0,0,15,1,1,0,0,35,0,180,0,357,0,0,0,0,0,0,86,0,211,107,0,3,131,3,0,1145
UCKL1,1,0,52,48,19,0,1,77,0,107,0,0,0,22,0,0,0,0,0,0,0,0,270,6,1,540,0,0,0,1144
ANAPC2,0,0,42,0,17,0,0,0,0,218,798,12,0,0,0,4,0,0,0,0,0,0,0,52,0,0,0,0,0,1143
GPN2,0,0,0,0,204,0,0,289,2,139,0,0,0,0,2,0,1,0,0,0,0,0,190,315,0,0,0,0,0,1142
POLR3B,0,0,0,0,35,1,0,0,0,0,1,3,1,0,0,1064,0,0,0,0,0,0,0,22,0,0,14,0,1,1142
SNX29,0,1,0,0,130,1,0,12,0,0,286,0,0,0,0,0,0,2,2,1,0,15,0,315,0,2,4,0,371,1142
MANEAL,8,0,1,0,1,0,0,2,0,497,17,42,3,111,0,0,0,0,1,0,0,0,25,429,1,0,1,1,0,1140
TMPRSS2,0,0,669,0,146,3,0,0,0,0,0,1,2,0,8,3,1,0,0,0,0,0,2,301,0,1,1,1,1,1140
WBP4,0,0,0,0,88,0,0,0,158,2,0,0,757,2,0,0,1,0,0,0,128,0,0,0,0,0,0,0,3,1139
ZNF320,1,0,7,0,2,1,0,1,1,0,1,0,0,23,0,1,1,12,1,0,1,0,0,101,0,2,983,0,0,1139
ARFRP1,0,0,0,0,0,0,1,857,1,2,241,21,0,1,2,2,0,0,0,0,0,0,0,9,0,0,0,1,0,1138
ZMYND11,0,0,3,190,82,2,1,2,2,389,100,0,3,68,0,0,0,5,0,1,1,0,0,245,0,43,0,1,0,1138
ZNF239,0,0,0,0,0,0,0,0,309,165,0,10,0,0,0,0,0,0,0,0,0,0,1,651,1,1,0,0,0,1138
ADSSL1,0,4,2,509,7,0,0,0,0,411,2,0,2,0,0,0,0,0,0,0,1,0,184,15,0,0,0,0,0,1137
ANAPC16,0,1,0,4,808,0,0,60,27,0,93,0,0,0,0,30,0,11,2,2,0,0,0,52,0,0,26,0,20,1136
ATP6V0E2,0,0,1,250,108,0,0,53,0,99,10,100,3,0,0,0,0,0,0,0,0,0,1,409,0,0,102,0,0,1136
NPPA,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1133,0,0,0,0,0,0,0,0,1136
PPAN,0,0,0,0,6,1,0,2,83,277,0,221,2,0,0,0,0,0,2,0,0,0,1,533,0,1,7,0,0,1136
FAM175A,0,0,0,0,12,0,0,10,1,167,333,578,0,5,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,1136
HSD17B11,1,2,1,307,156,0,2,2,0,0,0,0,0,645,3,0,0,1,4,0,1,3,0,0,0,0,3,4,0,1135
TMEM30A,0,0,179,448,76,0,0,1,0,213,11,0,2,0,1,0,0,0,0,0,0,0,0,199,0,2,2,0,1,1135
C1orf52,0,0,0,0,31,0,0,9,674,47,0,1,0,63,0,0,0,0,0,0,0,0,225,7,0,0,0,0,77,1134
GZF1,0,0,0,0,0,1,0,881,182,0,0,0,1,60,0,0,0,0,0,1,0,0,0,5,1,1,0,1,0,1134
SH3BP2,0,0,53,0,12,0,0,0,0,865,147,0,4,7,0,0,2,0,0,0,1,0,0,38,0,0,0,4,0,1133
ZNF711,0,0,0,0,0,2,0,0,0,186,0,879,1,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,1133
ULK2,0,0,0,0,0,4,0,6,0,1,3,1021,1,0,0,1,5,0,0,4,0,4,0,48,0,0,16,16,1,1131
LYSMD4,0,1,0,0,59,0,0,305,0,0,0,0,0,455,1,15,0,0,1,1,282,1,0,9,0,0,0,0,0,1130
SNRK,0,0,0,0,237,0,0,0,1,14,0,284,1,1,3,0,1,0,1,0,558,0,0,28,0,0,0,0,0,1129
CCP110,0,0,0,222,164,0,6,0,0,1,0,0,2,698,2,0,0,1,0,0,0,0,0,30,0,0,0,3,0,1129
GLCCI1,2,1,1,590,240,1,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,81,0,0,0,0,206,1128
ZNF131,0,0,0,0,241,0,2,1,1,636,0,1,3,64,0,1,1,4,3,6,156,2,1,1,0,3,0,1,0,1128
ADAM9,0,0,1,39,34,0,0,1,183,0,0,0,0,0,0,0,0,3,0,1,361,0,200,36,0,0,0,0,269,1128
TMEM222,0,1,0,0,16,0,0,346,2,5,0,135,0,0,1,0,0,1,0,0,1,0,0,619,0,0,0,0,0,1127
ZNF844,0,0,0,1,215,0,0,904,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1126
SNRPF,0,0,9,128,372,0,0,0,0,59,222,253,0,0,0,0,2,1,0,1,1,0,0,78,0,0,0,0,0,1126
ZNF211,0,0,0,0,186,0,0,2,0,0,0,0,0,835,0,5,0,0,0,0,0,0,0,92,0,0,0,5,0,1125
TBC1D22A,0,0,0,0,1,0,0,0,0,148,502,75,1,0,0,0,1,0,0,0,386,0,0,11,0,0,0,0,0,1125
ARNTL,0,0,0,0,0,1,0,0,1,14,0,0,0,68,0,1,1,1,0,1,0,1,1,16,0,1,0,2,1016,1125
CEP63,3,0,18,614,64,0,1,0,0,6,366,0,0,0,0,0,1,0,0,1,0,5,0,41,0,0,0,0,5,1125
POLI,0,0,0,27,142,0,0,0,0,236,571,1,2,0,0,135,1,0,0,0,0,0,0,7,0,2,0,0,0,1124
ECHDC1,0,0,0,0,21,0,5,0,0,336,635,113,2,7,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1124
SNTB1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,1114,0,0,1,0,0,0,0,0,1124
SPAG1,0,0,0,11,6,0,0,3,105,0,0,0,0,5,0,0,0,1,0,0,0,0,907,85,0,0,0,0,0,1123
MUS81,3,0,90,114,137,0,0,0,0,206,160,3,0,81,1,0,0,0,0,0,0,1,1,325,0,0,0,0,0,1122
RAI2,0,0,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1121
TTC31,1,0,504,274,111,0,0,2,0,128,0,0,1,0,3,0,0,3,0,0,2,4,0,71,1,12,4,0,0,1121
HOOK3,0,0,2,0,96,0,12,5,19,2,0,0,2,0,0,0,1,1,0,0,112,3,70,4,736,12,0,0,43,1120
UBE3C,0,0,6,112,35,1,0,267,31,237,0,48,2,4,0,0,0,0,0,0,2,1,0,82,1,1,289,1,0,1120
CDC5L,0,0,86,43,306,0,0,1,41,0,0,32,0,6,3,0,0,0,0,289,3,0,1,306,0,0,0,0,3,1120
DRG2,0,0,0,0,184,1,0,0,0,608,125,94,0,0,0,0,0,0,0,0,0,0,12,95,0,0,0,0,0,1119
TRMT1,0,0,1,36,11,0,0,0,0,224,0,2,0,0,0,223,0,0,0,0,0,0,1,549,1,69,0,0,2,1119
CTSZ,0,0,0,0,4,0,0,0,0,19,0,0,4,0,1,0,1,0,0,0,107,0,4,977,0,1,0,0,0,1118
AHI1,0,0,0,0,119,2,0,479,2,0,0,51,1,275,0,0,1,0,0,0,0,6,1,180,0,0,0,1,0,1118
RRAGC,13,0,0,0,576,0,0,389,0,0,0,2,0,42,1,0,1,0,0,0,1,1,0,91,0,1,0,0,0,1118
NPRL3,4,1,2,167,63,0,13,27,63,1,38,14,0,451,0,0,0,0,0,0,260,1,1,6,0,0,6,0,0,1118
SLC9A6,0,1,0,0,0,0,857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,0,1117
CRY1,1,1,3,466,163,0,2,418,0,0,0,0,0,0,3,0,0,1,3,0,1,1,30,23,1,0,0,0,0,1117
LEPREL4,0,0,91,0,131,0,0,85,0,291,0,0,4,451,0,0,0,0,0,1,0,1,0,57,0,0,0,1,3,1116
FAM122A,0,0,0,0,21,0,0,0,19,0,0,1076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116
DPY19L4,0,0,6,313,1,0,0,30,0,265,0,366,0,8,1,1,0,1,0,49,1,0,1,21,0,0,52,0,0,1116
HEMK1,1,0,518,0,115,0,0,0,0,413,0,0,1,0,1,0,0,0,0,1,0,0,0,66,0,0,0,0,0,1116
TMPRSS3,0,0,49,627,360,2,0,72,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1116
TCTA,10,1,0,1,368,1,1,54,2,293,0,0,3,4,2,0,0,0,1,1,0,0,5,353,3,8,5,0,0,1116
NACC1,0,0,9,5,26,0,0,2,0,47,0,256,0,94,0,0,0,0,0,0,0,0,4,407,0,0,265,0,0,1115
YPEL1,0,0,2,1,20,2,0,365,104,424,7,0,2,0,1,0,0,0,2,0,0,0,0,182,0,0,0,3,0,1115
CCDC73,0,0,143,56,107,1,0,42,0,289,25,166,0,2,1,0,4,0,1,0,1,0,15,98,1,0,163,0,0,1115
VPS37B,0,0,128,205,47,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,29,2,0,0,321,366,1115
CEBPB,1,0,1,102,5,0,0,432,149,0,174,227,0,0,1,2,1,1,0,0,0,2,0,16,0,0,0,0,0,1114
PHF13,0,0,0,0,233,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,696,0,0,2,0,0,0,153,0,1114
PKN3,17,0,13,1,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,72,0,0,999,0,0,1114
NSUN2,0,0,0,11,17,0,0,0,0,23,0,251,0,147,0,661,3,0,0,0,0,0,0,0,0,0,0,1,0,1114
DENND1A,0,0,0,0,3,0,0,1,0,0,0,0,0,873,0,0,0,0,0,0,0,0,1,231,1,1,0,3,0,1114
SDCBP,0,0,0,28,329,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,178,41,0,0,0,0,533,1114
TRNAU1AP,0,1,0,0,189,0,2,2,1,213,0,0,0,0,0,0,0,1,0,4,441,4,2,251,0,1,0,0,0,1112
DAPK1,0,0,0,16,4,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1000,85,1111
GM2A,0,0,6,0,165,0,0,0,0,0,338,7,0,0,0,0,2,0,0,0,0,1,2,572,0,0,3,0,15,1111
VPS18,0,0,2,59,11,0,0,3,0,831,133,0,2,0,3,0,2,0,0,0,0,0,0,64,0,1,0,0,0,1111
CDC42BPA,0,3,312,1,475,1,0,11,0,82,54,1,1,0,2,166,2,0,0,0,0,0,0,0,0,0,0,0,0,1111
FPGT,0,0,1,0,85,2,5,0,0,0,0,0,0,994,0,0,0,0,0,0,0,0,0,20,0,0,0,4,0,1111
DPY19L1,109,0,1,100,0,0,0,0,0,119,0,0,0,0,0,0,5,1,1,0,614,0,0,1,159,0,0,0,0,1110
RRAS,10,0,0,372,137,0,0,14,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,566,0,0,0,0,0,1110
LMBR1,0,0,0,0,0,1,0,1,437,0,128,187,0,0,0,0,1,4,1,2,0,0,1,337,9,0,0,1,0,1110
RNASEH2B,0,0,0,0,8,0,0,2,5,455,0,3,2,0,0,0,0,19,1,0,0,0,2,613,0,0,0,0,0,1110
SHMT1,0,1,268,380,10,0,0,0,2,13,0,6,1,0,4,1,0,14,1,0,3,0,0,41,0,0,364,0,0,1109
NUP188,13,0,69,216,129,0,21,0,2,79,367,0,1,0,2,0,0,0,0,0,1,0,0,191,0,0,17,0,0,1108
LRRC27,20,0,4,1031,0,0,34,0,0,0,0,0,0,0,0,4,0,0,3,2,2,1,4,3,0,0,0,0,0,1108
SLC30A7,0,2,0,0,97,0,1,1,1,188,0,590,1,0,0,0,0,4,0,0,1,2,5,91,0,0,45,0,78,1107
ID1,0,0,0,207,80,0,0,724,2,33,0,0,0,3,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,1107
PFDN2,193,4,0,0,195,2,2,237,48,6,4,236,0,18,3,0,1,2,1,0,2,1,0,142,0,8,1,1,0,1107
RBP1,0,3,1041,0,54,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,2,0,0,0,0,0,0,0,0,1107
C14orf43,0,2,134,6,254,0,0,81,1,89,1,2,1,5,1,0,0,0,2,0,1,1,0,24,0,0,0,473,28,1106
STK19,0,0,16,0,0,0,0,9,0,24,818,0,2,0,0,0,0,0,0,0,0,0,222,10,0,0,4,0,0,1105
CEBPZ,0,0,0,0,32,0,0,0,12,295,73,0,2,81,1,0,0,0,1,0,0,0,3,296,1,307,0,0,0,1104
NAB2,0,0,5,460,233,0,0,68,13,3,12,0,0,94,0,0,0,1,0,0,72,0,133,7,0,0,0,0,0,1101
CWC27,0,0,0,0,251,2,0,0,0,31,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1100
NMD3,0,6,82,0,341,1,0,0,0,564,0,59,5,1,0,0,0,0,0,1,1,0,0,35,0,0,0,1,3,1100
SKIL,0,1,1,311,47,0,0,1,5,73,0,2,0,0,0,642,0,0,0,0,0,0,3,13,0,0,0,0,1,1100
GYS1,0,0,0,0,10,0,0,0,0,408,414,0,6,0,0,0,0,0,0,0,0,0,63,165,1,11,20,0,0,1098
CHURC1,13,0,370,2,29,1,0,52,0,32,0,6,0,2,0,0,1,0,0,0,0,0,3,583,1,1,0,0,2,1098
SPECC1L,0,0,0,0,7,0,0,4,195,167,226,103,2,0,0,0,4,0,0,0,0,0,2,386,1,0,0,0,0,1097
TXNDC16,0,0,0,0,0,2,1,0,10,4,69,1,0,0,3,0,2,0,0,0,0,0,24,148,0,0,38,0,795,1097
SAP30L,0,0,0,0,0,2,2,369,1,321,0,206,2,48,0,8,0,40,10,0,0,1,42,32,0,0,11,1,1,1097
CYB561D2,0,0,226,140,31,0,0,0,1,289,359,0,1,1,0,0,0,5,0,2,0,1,0,36,1,1,0,2,0,1096
HLA-DPA1,0,0,73,416,267,3,0,1,0,0,1,0,0,0,0,0,3,92,3,0,0,0,2,229,1,0,1,0,4,1096
NELL2,0,0,131,190,548,0,0,0,0,213,0,0,1,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1096
SLC35B2,0,0,0,73,138,0,1,0,37,44,0,58,0,3,1,0,1,0,0,0,0,0,2,78,0,0,0,0,659,1095
CXorf56,0,0,0,0,0,0,0,6,21,0,0,1053,0,0,1,0,0,0,1,0,4,0,0,7,0,0,1,0,0,1094
TRMT1L,0,1,488,530,25,6,1,2,1,0,0,0,0,1,1,1,1,8,0,0,0,1,3,24,0,0,0,0,0,1094
TMX1,0,0,24,153,38,0,1,0,1,176,0,0,1,0,0,3,0,0,0,0,0,0,0,115,2,579,0,0,0,1093
IGFBP5,0,0,62,584,218,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,1,0,0,0,1092
HSPA13,0,0,0,0,13,0,0,358,1,126,0,490,1,1,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,1092
RCAN3,0,0,187,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,903,0,0,0,1091
ARHGAP27,0,0,16,0,0,0,1,6,1,0,0,1064,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1091
ODF2L,0,0,1,1,76,1,1,0,3,653,0,0,3,5,0,17,0,0,0,0,11,2,0,1,313,0,0,3,0,1091
GHDC,0,0,4,39,28,0,0,569,0,218,56,0,2,2,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,1091
ACE,0,0,0,0,0,1,0,0,1,0,3,0,1,0,1,2,6,0,0,3,0,2,7,1054,0,6,2,0,0,1089
MIER1,410,4,496,0,68,0,0,0,0,3,0,93,4,0,3,1,0,0,0,0,5,0,0,2,0,0,0,0,0,1089
TMEM43,2,0,3,0,102,0,0,141,2,36,0,5,1,0,0,787,0,1,0,0,0,0,0,9,0,0,0,0,0,1089
IDH1,0,0,337,0,512,6,3,0,0,1,15,2,1,1,2,0,5,1,0,0,1,0,0,156,2,5,35,2,1,1088
SOX6,0,0,0,0,0,0,118,25,941,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1087
CTTNBP2NL,43,0,0,0,78,0,0,928,0,4,1,0,5,0,0,0,1,0,0,0,0,1,0,11,1,0,14,0,0,1087
USP46,0,0,167,0,0,0,2,725,0,185,0,0,3,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1086
ZNF90,96,2,44,47,29,0,8,139,1,60,3,16,0,15,1,0,0,0,1,0,0,0,65,156,0,184,219,0,0,1086
FBXL16,370,0,69,0,18,0,0,0,0,27,143,3,0,1,0,0,0,5,0,0,1,0,392,55,0,1,0,0,0,1085
AMOTL1,0,0,350,650,9,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,70,1,1085
SGSM3,0,0,1,13,102,0,0,0,0,325,0,0,0,1,0,0,0,0,0,0,0,10,461,144,0,26,0,0,0,1083
MAP3K1,0,0,1,77,0,0,0,690,5,291,1,0,0,0,2,0,0,0,4,0,0,1,0,11,0,0,0,0,0,1083
PLA2G7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,2,1073,0,0,0,1,0,0,0,0,1081
TCF12,0,3,118,1,102,2,0,1,1,1,0,401,0,0,0,0,0,2,0,2,1,0,0,8,0,1,3,433,0,1080
FAM160A2,0,0,0,0,51,0,0,5,0,765,1,0,0,0,0,0,0,0,0,0,0,0,5,250,0,0,1,0,0,1078
OSR2,0,0,0,167,287,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,604,2,10,0,0,0,1076
CCDC11,0,0,0,0,0,1,0,0,0,0,1074,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076
HEXB,0,0,0,6,267,0,0,231,0,9,322,2,0,0,0,0,1,0,0,0,0,0,13,177,0,3,45,0,0,1076
ASRGL1,0,0,1,32,38,4,0,0,1,0,607,0,1,0,1,0,3,1,0,0,113,0,4,268,0,0,0,2,0,1076
JMJD7-PLA2G4B,0,0,320,7,19,0,17,0,0,167,7,0,0,0,0,2,2,3,0,0,0,27,1,503,0,0,1,0,0,1076
C11orf46,0,0,2,0,29,0,0,311,0,281,438,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1075
NUP160,0,0,87,0,213,0,0,761,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,2,0,0,1075
CCDC170,0,0,0,6,2,0,0,0,0,802,0,252,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1075
UQCRHL,0,0,35,23,11,1,0,4,0,4,9,2,0,4,0,3,0,1,0,0,7,0,175,97,268,212,211,0,7,1074
C9orf85,0,0,56,0,114,2,0,1,0,325,0,0,2,515,0,3,2,0,19,3,2,0,22,3,0,0,0,3,1,1073
EFHA1,0,0,354,0,607,0,0,0,0,0,27,0,1,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,67,1073
SECISBP2,0,0,1,2,18,1,1,0,13,45,0,0,0,893,0,0,0,1,0,0,0,0,0,92,1,3,0,2,0,1073
UNC119B,0,0,0,0,182,8,0,0,0,0,0,328,5,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,545,1073
ABCB7,0,0,0,0,1,0,0,0,0,235,0,0,0,0,0,0,1,0,2,0,0,0,0,794,0,39,0,0,0,1072
