,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
USP54,0,0,0,0,0.257070778305026,0,1.21160069347397,0.00434614965851562,0,0,1.14639278538905,0,0,0,0,0,0,0.00161464761948753,0,0,0,0,0,0
USP9X,0,0.0070835120258505,7.36165629231157,5.20483646650989,4.5681059291381,0.00150993797254872,3.4356952742691,1.58472601287075,3.19334327364591,0.957363696166425,6.59081243196615,0,1.30032365940584,0,0,1.52819746584713,0.00101165612605247,0.00686183038260385,4.75113818843983,6.39590355001815,3.2431380619918,0,0.00274600282281945,6.48374804055259
UST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00404827520083486,0,0,0,0,0,0,0,0,0
UTP14A,0,0,1.37240866646353,0,16.1778394730839,0,0,0,1.59393849766559,0,1.35164405058524,0,0.574028350278632,0,0,0,0,0,0.804732996408353,0,0,0,0,0
UTP14C,0,0,0,0,3.96522215399039,0,0,0,33.0828809014574,0.268889122571223,0,0.0469837438163332,0,3.63711637860406,0,3.78721500719676,0,0,0.376827557759044,0,0,0,0,0
UTP15,0,0,0.0311855295019137,0,12.0736324671518,0,0,0,0,33.2011792259896,0,0,0.0270192304028123,0,0,0,0,0,0.0831839019797766,0,0,0,0,0
UTP6,0,0,0.0137088237103182,0,0.621083300447267,0,0,0,0.771655166487066,0,0.110652847766911,0,0,0.00678730797654821,0,1.9507224482816,0.00374707472195898,0,0,0,0,0,0.00508546209469654,0
UTRN,0,0.000629001254709838,0,0,0.335700730402078,0,0.00242771341562916,0.000328019581994045,0.00090982554506148,0,0.000612186764859038,0.00073779979951759,0,0,15.7984979194666,0.0266144391469855,0.00188649251618309,0,0.000657492887691732,0,0.00197700665462239,0,1.2044446456709,0.000395518742926528
UVRAG,0,0,0,0,0.693218529226169,0,0.60977653540405,0.00226241811807633,0.00784406598884519,0,0,0,0,0,0,0.000566559345409705,0,0,0.00453486286573923,0,0,0,0,0.445341695213149
UXS1,0,0.00353344458366715,0,0,0.12926956859436,0,0.995559110747549,0.116087936898794,0,0,0,0.00414462560434597,0,0,0,1.08347070599888,0.0015139231130357,0,0.00738699538488437,0.0939319465548888,0,0,14.0005151728927,1.01093966825656
VAMP1,0,0.0422811811419783,0,0,0,0.405573990894273,0,0.0220493286150981,54.7364668342354,0.0567661894072756,0,0.198378281355314,0,0,0,0,0,0,1.81205141120443,0,0,0,0,0
VAMP2,0.573499857464984,0.0811583281415275,0,0.242413296861529,7.68484057052545,10.3799393014864,1.56620643078137,0.0846469563390619,0.117392325666674,0.108962164793588,45.339571234956,0.190392619358523,0.0551107500267506,988.879745371538,0.151895483883042,38.0282484839701,0.0347727170695507,0.0943421308205094,19.3422720125634,0,0.0850292711990664,0,8.06998644492871,89.1541479898444
VAMP3,0.870745467290585,0,7.83654574387996,0,11.2890739450327,0.0450282094599798,4.57476701717124,0.0183599381917352,0.509248279357108,34.1273671139825,0,0,20.6557004970033,0.0546466682468574,0,0.0183909322163962,0,0.0818512922687016,31.6858713616685,0.559399513827724,931.032576911384,224.142032344978,0.0614168889044981,31.9672815422438
VAMP5,0,0,0,0,0,0,0,0.124409805132988,0,0,0,0,0,0,0,0,0,34.8496993103294,122.067090849461,0.0121492896339357,0.541544085906388,151.095645526064,0,0
VANGL1,0,0,0.00994373453755867,2.50111364794715,0.559717775032004,0,0.138742565855438,0.00330814401662864,3.0738846792296,0,0.722361240134558,0.0148817212521674,0.361841741047397,0,0,3.44959147779986,0,0,0.311654609188364,26.1774008007264,0,0,0,0.0678110746733124
VANGL2,0,0,0,0,1.85801203174413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VAPB,11.9538468698462,0.0749788465686879,0.687103827957117,8.45002046354118,4.39387561562748,0,1.26144690645717,0,10.5784313251983,0.991169668678367,12.3663725072844,0.0338261389368141,2.33815320042944,0.00447616554620949,0,3.8022051501339,0,0.0100567869767693,1.52530070711407,14.6503826678303,25.6814592742234,21.2236336389371,0.0100614427517454,0.0253868606940967
VASH1,0,0,0,10.6356626098543,0.356411607485965,0.0105909391350619,0.511373995536879,0,0.167690091042584,0,0,0.0582788564987765,0,0,0,20.7545720044552,0,0.00962598851853575,4.24139165781497,0,0,0,0,0.0104140174957412
VASH2,0,0,0,0,0,0,0,0,0,0,1.1377187784767,0,0,0,0,0,0,0,0,0,0,0,0,0
VASP,0,0,1.59006767669074,0.679111275333359,1.91952384939965,0,0.0225008484484928,0.264496847276583,0,0,0,0,0.0356285975104326,0,0,2.32053833523474,0.149868297348377,0.640408939441289,0.859234384693306,1.4215157129767,8.68536249701665,0,12.5395202813023,1.22071077645862
VAT1,0,0,40.6924452878477,38.0603052962822,6.64552760071803,0,84.478190207569,0.141571953983589,77.3573898998888,164.926400886517,168.900963986287,0.159215737413356,49.7271592486049,0,0,0,0,0.0394467810210897,27.3839332839076,0,0.0355528438058477,0,0.197325214256369,0
VAV2,0,0,0,0.0184801918651145,0,0,0,0,0,0.807821431296393,0,0,0.334005399774192,0,0,0,0,0,0.126112254220968,0,0,0,0.00089942869971825,0
VAX2,0,0,0,0,0,0,0,0,1.09134443980465,0,0,0,0,0,0,0,0,0,0.477806769350178,0,0,0,0,0
VCL,0.0139904510683322,0.0678804474290173,20.6955834636661,25.4117534202332,7.82750793830476,0.0633043020845781,3.44594296758869,1.65196079521914,4.70067361729304,7.94777042549235,2.29028329411102,0.0398108748824328,4.32710940481694,6.38978723166473,0.127044674829275,74.5228268400219,31.1935213668374,0.0723317086691857,4.25139921619359,47.3502867721289,1.39272918734468,17.4616410884624,102.669764401575,36.8252090759382
VCP,0,0.0190423249113285,72.175473297233,53.4936358567387,42.3320583586691,0,103.727873955179,0.546173871031404,11.5409247302944,11.7603550562864,17.3842209780134,0.11168040919416,1.25428126377585,0.0147785119890647,0,43.8671428094546,0.032635141292383,2.00327762028864,53.1659289573887,119.507469670644,0.0798022850506499,2.25224388067784,0.0332188679795087,70.6699417319266
VCPIP1,0,0,0,0.0137555655882219,0,0,11.7668170700198,0.0144096892559953,0,0,0.00896432360798505,0,0.00625443856771687,0.100074602659793,0,0.00962267648902498,0,0,0.269576903486444,0.565687971489243,0.0192996957186813,0,0,0.00579162799351476
VDAC1,0.220905894529158,0.01077975981266,0,1.06254264704884,30.5523030264035,0,6.58760189336477,0.0449725310564107,17.1829328680496,13.5030961156168,9.27456979274744,814.826445957564,5.94385687253835,0.0418301889008992,0,0,0,3.9346972466887,23.3811965575033,0.00658771595363541,0.0338817398618561,50.2299492873649,0.125366841053648,15.1903051350843
VDAC3,0.0176181015389753,0.0997284060192263,10.2784589969777,73.7254491467296,67.1757167256209,0.015943755015942,37.8499705063086,8.33422411659506,102.023084210197,4.45197952445015,0.218390539007193,0.204712304591489,20.9087983173698,0.0773979779710958,0.139988355194663,79.3283230745743,139.457314360728,0.23185766741719,166.94959436685,85.3547651436512,503.121738343412,493.374983850168,547.973832264904,251.403020313776
VDR,0.00993657386203872,0,0.0110209699968639,4.23160229254916,1.27096861649675,0,6.22328280637992,0.0128328391462993,0.696632341973007,0,0.472158662940496,0,0,0.00272826900212857,0.00657942925036435,2.91797211074886,0,0,0.198431108672478,0.00107416806518085,0.00368308563074243,0,0.00204418432792503,11.0702219619896
VEGFB,0,2110.7712435431,0,6.60488177835558,0,0,2.74679588222336,0.516934259753965,10.1470113564072,69.101919028472,2.003733195391,0,0.20711279304925,0,0,0,0.0326700078963278,340.677286157807,146.656418571192,0.0931964739013447,109.525822689916,8.70761427254109,0,0
VEGFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472059034574285,0,0,0,0,0,0,2.15884579339806,0.098467418261129
VEPH1,0,0,0,0,0.00841209839435231,0,0,0,0,0,0,0.0091700618962464,0,0,0.00243862917526384,0.0517283202307963,0,0,0,0,0,0,0,0
