pval,qval
3.99604461057271e-24,1.74166067411577e-22
5.63752212390393e-24,2.41986366318482e-22
1.26349554273128e-23,5.34251175008613e-22
1.99542990173233e-23,8.31331310530542e-22
5.0424343820393e-23,2.07032124700251e-21
2.07594033594156e-22,8.40162710246064e-21
1.41706978033331e-21,5.65430801082292e-20
3.71526935150532e-21,1.46185528789091e-19
5.47380860550679e-20,2.1242876410138e-18
5.96615605451461e-19,2.2840702841135e-17
7.89768524292269e-19,2.98321897242667e-17
3.67036275382295e-18,1.36817601073427e-16
4.08526254209826e-18,1.50305828334602e-16
4.9360496976261e-18,1.79279856325317e-16
8.12605361400926e-18,2.91406454284661e-16
8.53018856595072e-18,3.0207530259173e-16
1.3445525882145e-17,4.70261417581689e-16
1.3922972190221e-16,4.81021709937757e-15
2.99648877493069e-16,1.02277743366008e-14
5.4936466623019e-16,1.85279773741682e-14
3.80217517232733e-15,1.26724261920039e-13
8.35126739723829e-15,2.75106285306698e-13
6.32084574362363e-14,2.05827080364204e-12
6.40752630673207e-14,2.06278659397409e-12
1.7717009214313e-13,5.63958282069087e-12
1.91947640586712e-13,6.04208517535729e-12
6.55980363419026e-13,2.04218941710560e-11
7.27875722140785e-13,2.2413825226357e-11
2.80693762280782e-12,8.55059600582211e-11
7.98037228318397e-12,2.40514837002768e-10
9.19776098797376e-12,2.74286914515049e-10
1.04600464535289e-11,3.08680329196327e-10
2.39194521387548e-11,6.98595957825695e-10
6.8242976317458e-11,1.9727791010955e-09
1.49358096382251e-10,4.27405542475675e-09
7.21932658962252e-10,2.04523522284006e-08
4.48525223498297e-09,1.25809104769374e-07
4.56650682338629e-09,1.26832488535817e-07
5.49420590466803e-09,1.51117333280821e-07
1.38553919272959e-08,3.77426205096436e-07
1.87932251875523e-08,5.07059113869864e-07
1.93586844107947e-08,5.17388235243221e-07
8.24055870581946e-08,2.18182269285855e-06
1.18395247539372e-07,3.10568274332446e-06
1.55483382753021e-07,4.04114149852577e-06
2.257292241419e-07,5.81355356358185e-06
2.7334080914305e-07,6.97634695767802e-06
6.37840169321731e-07,1.61339392829327e-05
8.27787910605998e-07,2.07533022189982e-05
1.03922881698278e-06,2.58257477062474e-05
1.22993790639867e-06,3.02992529463254e-05
1.59775338773383e-06,3.90209943745685e-05
1.63594674884187e-06,3.96122832433248e-05
1.98411304896884e-06,4.76355276926164e-05
2.58331762732661e-06,6.15003263715654e-05
2.58331762732661e-06,6.15003263715654e-05
2.64873234111014e-06,6.25321560197085e-05
4.08282416690899e-06,9.55920732632494e-05
5.14642170406256e-06,0.000119506661373846
5.33064471728379e-06,0.000122778182797276
6.48584280179408e-06,0.00014818058594744
7.03375086105184e-06,0.000159412929514879
7.98178197329227e-06,0.000179463399447119
9.86929013943499e-06,0.000220155109960782
1.0360042246455e-05,0.000229296872532867
1.40923308976687e-05,0.000309485065372833
1.52219701545973e-05,0.000331721857292109
1.52219701545973e-05,0.000331721857292109
1.88676397068553e-05,0.000408030712133748
2.00666792257907e-05,0.000430673501868675
2.6706432187922e-05,0.00056886708562694
2.9769516583884e-05,0.000629380899120473
3.97238316289009e-05,0.000833611962997603
4.25899194847809e-05,0.000887185602208708
4.46905853906635e-05,0.000924149112494524
5.0274233295539e-05,0.00103207900671204
6.29879872459573e-05,0.00128377674725034
7.14007504234782e-05,0.0014448451853551
7.93528624791646e-05,0.00159437347094662
8.34932298394545e-05,0.0016657487333463
0.000103797190056473,0.00205634573027964
0.000123186047153566,0.00242351438601425
0.000134997577846848,0.00263757336579393
0.000138792673693033,0.00269314825049563
0.000168128885739569,0.00324019818571563
0.000171792277782775,0.00328842920917974
0.000197437213809338,0.00375395722632117
0.000220342033111509,0.0041615265320327
0.000224808855953993,0.00421777144978585
0.000278607402584699,0.00519272876001612
0.00028134982839398,0.00520956904470682
0.000311416437744177,0.00572884914369646
0.000318880707862892,0.00582831642177789
0.000330883526431919,0.0060089296819335
0.000374994835724676,0.00676662655801279
0.000416157537786399,0.00746186268701816
0.000463507121572177,0.00825858915354702
0.000469142139046507,0.00830674799949222
0.000469142139046507,0.00830674799949222
0.000475674329419259,0.00837009549841466
0.000491445204434748,0.00859422385286199
