symbol,BRx.111.1..10.08.15,BRx.111.1..10.19.15,BRx.111.2..10.08.15,BRx.111.3..10.08.15,BRx.129_2_111814,BRx.129.2..9.29,BRx.131.1..09.15.15,BRx.132.1..06.09.15,BRx.136_1_123014,BRx.136_2_123014,BRx.139.1,BRx.146.1..08.06.15,BRx.146.1..4.16.15,BRx.16_1_102214,BRx.16_1_120314,BRx.16_2_102214,BRx.16_2_120314,BRx.16_3_120314,BRx.16.3..09.09.15,BRx.16.4..09.09.15,BRx.170.1,BRx.170.2,BRx.172_1_111114,BRx.172_1_120114,BRx.172_2_111114,BRx.172.1..02.01.15,BRx.172.1..06.25.15,BRx.172.1..08.18.15,BRx.172.1..08.25.15,BRx.172.1..09.09.15,BRx.172.1..4.16.15,BRx.172.1..9.30,BRx.172.1.08.04.15,BRx.172.2..07.07.15,BRx.172.2..08.25.15,BRx.172.3..07.07.15,BRx.172.5..11.11.14,BRx.180.1..06.12.15,BRx.180.1..07.02.15,BRx.183_1_031015,BRx.183_2_031015,BRx.183_4_031015,BRx.183_5_031015,BRx.183_6_031015,BRx.183.3..3.10.15,BRx.183.7..3.10.15,BRx.213.2..08.26.15,BRx.213.3..08.26.15,BRx.245.2..09.04.15,BRx.42_1_110314,BRx.42_2_110314,BRx.42.1..10.20,BRx.42.1..9.14,BRx.42.1..9.22,BRx.42.1..9.29,BRx.42.2..9.14,BRx.42.2..9.29,BRx.42.3..9.29,BRx.82_1_012015,BRx.82_1_030915,BRx.82_2_030915,BRx.82_3_030915,BRx.82_5_030915,BRx.82_6_030915,BRx.82_7_030915,BRx.82.1..1.12.15,BRx.82.1..11.13.14,BRx.82.1..9.15,BRx.82.1..9.29,BRx.82.2..11.13.14,BRx.82.2..9.15,BRx.82.2..9.29,BRx.82.3..9.15,BRx.82.8..3.9.15,total
LOC100270746,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,0,0,60,108,0,64,144,134,0,0,0,0,0,0,0,0,573
SDCCAG3,0,0,0,0,0,0,0,103,0,11,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,38,2,44,14,17,1,0,0,0,0,0,0,9,19,72,0,32,0,8,0,25,31,1,0,0,0,0,0,0,0,0,0,0,573
AJUBA,0,0,0,0,0,0,1,48,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,80,0,37,0,0,0,0,1,0,1,0,189,0,0,0,1,0,0,0,573
LAMA3,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,1,0,9,161,0,123,55,115,3,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,58,0,5,0,0,0,573
IL7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,167,81,0,55,0,1,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,572
C1orf109,0,24,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,98,0,53,0,0,0,27,0,572
C1orf53,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51,70,0,31,0,49,0,0,0,0,0,24,0,0,35,0,11,53,0,6,18,0,28,0,0,141,0,0,39,0,0,0,0,0,572
CES3,0,0,0,0,0,0,33,24,0,0,0,31,0,9,21,1,0,0,37,5,0,2,0,6,2,0,0,0,1,0,5,4,0,0,0,1,9,56,4,0,89,21,0,72,22,2,5,28,4,7,2,0,15,0,0,0,2,2,2,0,2,0,12,12,0,0,0,6,3,0,13,0,0,0,572
ANKRD22,0,0,17,0,0,0,235,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,63,0,0,120,17,0,1,0,0,21,16,5,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,2,31,27,0,0,0,0,0,571
C8orf37,1,0,0,0,0,0,6,0,0,12,0,3,0,15,2,0,0,0,2,0,0,2,0,0,3,0,3,14,0,0,0,4,7,0,1,0,0,37,1,0,231,0,0,33,0,3,6,2,3,0,0,0,0,7,24,0,126,20,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,571
ANGPT2,0,2,0,0,0,0,21,0,0,1,5,4,0,1,1,1,0,0,6,3,0,2,0,0,1,0,0,0,0,0,0,0,29,0,21,0,35,92,0,0,15,4,0,62,2,34,6,11,9,1,0,0,3,0,5,45,52,84,0,0,0,0,6,1,1,0,0,0,0,0,5,0,0,0,571
PRSS50,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,570
LEPRE1,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,31,0,0,3,0,7,0,0,0,22,0,4,0,99,95,0,0,0,0,0,0,0,0,0,0,0,0,50,0,15,0,570
STAG3L2,0,0,0,1,0,0,6,6,0,32,0,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,5,0,5,17,2,0,42,46,0,4,65,30,2,0,0,0,0,0,10,0,9,2,2,10,0,0,19,16,63,24,0,0,75,0,19,45,1,0,0,0,570
SH2D3A,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,65,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,10,0,98,35,9,0,17,0,0,56,0,0,0,0,570
C2orf54,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,60,0,0,157,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,109,0,0,0,0,0,0,0,0,0,0,0,569
PAN2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,23,0,0,8,1,0,0,1,21,3,2,1,3,0,0,101,11,68,54,12,109,7,2,0,0,14,40,0,0,0,0,0,19,1,0,7,47,569
TMEM53,0,0,0,0,0,0,9,99,1,3,0,0,0,1,1,0,0,1,4,1,0,1,0,1,3,0,12,1,1,3,0,0,2,0,6,0,1,34,3,0,57,1,0,0,3,68,1,9,1,4,0,25,4,0,10,0,0,51,0,0,2,0,106,3,27,0,0,0,9,0,0,0,0,0,569
MYBBP1A,0,56,0,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,135,0,74,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,20,0,31,0,0,0,17,0,0,0,0,0,569
MEX3B,0,0,0,0,0,0,0,0,0,0,0,0,0,7,74,0,0,0,0,0,0,0,0,0,10,0,0,0,1,302,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,568
ANKRD36BP1,0,0,0,0,0,0,11,1,0,21,1,0,0,2,1,0,0,0,12,1,0,0,0,2,12,0,154,6,1,4,0,0,3,0,6,0,1,83,1,0,8,1,0,0,12,8,5,5,1,0,0,0,3,0,0,2,29,17,0,2,0,0,24,0,12,0,114,0,0,0,2,0,0,0,568
LOC100506714,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,5,0,0,0,0,0,50,0,0,1,1,0,0,0,0,0,0,4,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,568
MCF2L,0,3,0,0,0,0,0,0,0,0,0,0,0,44,0,14,32,0,0,0,15,20,0,0,0,0,0,10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,39,65,10,0,0,0,7,4,8,0,0,64,0,0,0,77,1,0,33,568
RAD51B,0,0,0,0,0,0,8,0,0,19,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,36,40,19,255,0,8,1,32,7,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,51,0,0,0,14,0,0,0,0,41,568
PGS1,0,0,0,0,0,0,0,5,0,77,0,178,0,56,1,0,0,0,0,0,0,0,0,28,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,55,0,20,0,20,0,0,0,0,0,0,0,0,22,0,0,20,31,0,0,0,567
EBLN2,0,0,0,0,0,0,0,0,0,31,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,193,0,0,190,0,0,0,24,2,0,0,12,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,567
DFNB31,0,0,0,0,0,0,0,155,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,56,17,31,18,0,0,2,0,51,120,0,49,9,0,21,0,0,0,0,10,566
NACC2,0,32,0,0,0,0,0,113,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,7,0,11,52,0,0,0,11,0,17,0,0,2,0,0,0,0,0,19,0,8,36,42,31,0,20,0,0,4,0,0,0,0,0,1,0,2,0,0,0,566
LRAT,8,3,1,0,0,0,53,0,0,0,1,3,0,0,19,0,0,0,5,16,0,0,2,4,0,1,3,7,0,5,0,0,7,0,1,2,1,134,4,0,78,0,0,103,2,2,5,64,8,2,0,0,1,0,0,1,12,1,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,566
MOG,0,0,0,1,0,0,22,1,0,2,3,5,0,4,7,0,0,0,34,2,0,2,2,1,1,1,0,9,1,1,0,0,195,0,16,0,0,123,3,0,6,3,1,2,13,5,14,7,7,0,0,0,3,0,6,6,6,3,1,3,4,2,14,5,2,0,0,2,4,2,8,0,1,0,566
TMCC3,0,0,0,0,0,0,0,137,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,44,0,0,6,0,4,0,2,0,0,0,0,0,0,78,0,3,70,0,45,0,22,0,0,11,0,0,0,45,0,0,0,0,0,566
LAIR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,566
RANBP3L,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,183,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565
RADIL,0,0,0,0,0,0,296,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,64,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,21,121,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,565
NEURL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,7,62,0,147,0,0,0,0,0,0,0,53,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,565
LOC150776,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,49,0,95,0,106,0,0,0,14,0,0,0,0,3,0,19,17,0,0,0,0,98,98,4,2,0,0,19,0,0,0,0,0,565
SNAPC5,0,0,0,0,0,0,0,48,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,66,52,11,122,4,74,0,0,0,0,0,0,1,0,13,0,23,9,0,0,19,8,4,12,0,0,0,0,27,13,0,0,0,34,565
C1orf50,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,17,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,75,4,39,0,0,27,0,0,66,0,0,0,0,0,12,0,69,31,38,0,0,0,0,113,0,0,0,0,8,2,10,0,10,0,565
C19orf66,0,0,0,0,0,63,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,45,0,19,14,60,1,0,0,0,0,0,0,0,1,0,8,112,0,0,0,76,0,0,0,0,0,0,0,0,0,0,1,0,43,0,7,6,0,0,14,0,43,1,25,0,0,0,0,0,2,0,0,0,563
CD3E,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563
DNAJC18,2,0,0,0,1,0,20,0,0,0,0,5,0,4,9,0,0,1,6,6,0,1,1,2,1,0,1,6,0,0,0,0,12,0,6,0,5,143,1,0,6,5,0,0,4,16,11,8,3,5,0,0,4,0,0,59,1,18,0,1,2,0,25,4,102,0,4,0,50,0,2,0,0,0,563
PRR7,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,12,0,0,0,0,0,15,0,106,0,4,0,0,0,0,0,20,0,16,0,0,70,0,2,0,3,39,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,12,31,0,16,23,0,46,0,0,16,0,0,0,13,0,5,0,563
COX10,1,0,0,0,0,0,0,32,0,54,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,20,1,34,0,12,0,98,0,0,0,0,0,0,0,0,22,37,6,0,0,0,0,2,21,0,0,0,0,0,21,171,0,0,0,0,563
HACE1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,234,0,0,0,11,1,0,0,0,0,0,0,13,4,0,27,95,0,0,5,0,0,0,27,0,0,0,19,0,0,46,563
LOC284276,0,6,4,0,5,0,14,2,0,3,0,5,0,2,13,7,0,0,12,4,0,1,1,6,9,3,8,7,0,5,0,0,25,1,26,0,4,236,1,0,6,5,0,3,6,9,22,13,3,7,0,0,11,0,2,2,1,1,0,0,2,0,22,16,7,2,1,1,3,1,2,0,2,3,563
TMEM130,0,0,0,4,0,0,46,0,1,4,0,0,0,4,7,0,0,1,18,6,0,0,0,5,9,0,7,2,1,13,0,0,29,1,19,2,11,236,6,0,7,6,0,2,12,22,10,17,4,4,0,0,2,0,4,2,0,2,0,1,0,0,18,1,1,3,0,0,2,0,10,0,0,1,563
SIGLEC15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,31,0,87,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,179,139,0,0,41,0,13,0,0,0,0,0,562
LRRC61,0,0,0,0,0,0,0,40,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,113,2,0,0,0,129,0,0,0,4,69,0,24,0,0,0,0,0,562
GSK3A,0,0,1,50,0,0,1,7,0,6,0,7,0,18,6,5,0,0,0,0,0,0,0,7,0,0,0,0,2,57,0,2,2,0,0,0,16,0,0,0,56,19,0,2,0,58,0,0,72,9,0,0,0,3,2,7,5,39,4,0,0,3,34,0,5,22,0,0,25,0,2,0,0,7,561
FAM109A,0,0,0,0,0,0,0,7,0,12,0,0,0,114,0,0,0,50,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,72,18,1,0,0,0,0,0,0,0,15,0,0,2,0,0,0,85,62,0,7,0,0,0,0,2,71,0,13,0,561
LRRK1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,84,0,0,7,0,297,0,0,0,0,0,0,0,0,11,15,0,0,3,7,34,0,0,0,0,0,0,0,57,0,14,0,0,0,561
SLC43A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,484,0,43,0,0,0,0,0,0,0,0,0,18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561
LOC90784,3,0,0,0,2,0,30,2,0,7,1,1,0,2,2,0,0,0,15,0,0,2,1,2,3,0,4,2,0,1,0,0,11,0,21,0,1,144,2,0,149,4,0,6,7,10,8,8,4,0,0,0,3,0,2,1,48,22,0,0,0,2,8,8,3,0,0,0,3,2,3,0,0,0,560
SCML2,0,0,0,0,0,0,12,44,0,17,0,1,0,0,4,1,0,1,3,2,0,1,0,1,5,4,6,0,1,0,0,0,2,0,2,0,2,92,0,0,0,91,0,0,9,13,8,16,1,4,0,0,4,0,0,0,0,6,0,1,2,0,7,6,0,0,175,0,5,0,8,0,0,3,560
LOC100505678,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,108,0,0,109,0,0,61,76,0,0,0,0,0,0,0,0,0,9,0,0,25,0,0,0,0,4,142,0,0,6,0,1,2,4,0,0,0,560
RTN2,0,0,0,0,0,0,0,0,0,29,0,0,0,49,0,0,47,0,1,0,3,18,14,110,0,30,0,0,12,0,0,0,0,0,0,0,32,0,0,0,27,0,0,14,0,2,24,0,0,0,0,0,0,11,0,0,0,13,0,0,0,0,24,0,0,0,0,19,10,0,49,0,14,8,560
SRR,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,48,19,130,0,47,0,0,0,0,0,0,0,0,34,0,41,1,0,0,0,0,4,82,0,0,0,8,29,0,0,0,0,0,560
GUSBP2,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,10,16,6,1,1,0,1,0,0,0,0,38,8,0,14,0,3,40,73,36,15,73,103,15,0,54,26,0,0,0,0,559
RRP8,0,0,0,0,0,0,0,8,0,53,0,0,0,7,52,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,36,0,0,25,0,31,0,0,0,0,0,0,25,0,2,14,0,32,0,0,0,0,120,0,0,2,0,0,0,0,85,0,0,0,559
AKR1B15,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,229,0,106,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,11,0,1,0,0,0,0,0,0,0,0,0,559
KDM2B,0,0,0,0,0,0,0,1,4,20,0,57,0,0,1,0,0,0,0,0,0,36,11,45,0,0,0,1,0,0,0,0,0,0,0,0,0,59,0,0,65,18,0,13,0,0,0,1,0,0,0,0,0,0,8,14,13,48,0,0,1,0,74,0,0,0,59,0,3,0,7,0,0,0,559
NANOG,5,4,0,0,0,0,104,0,0,5,0,1,0,6,3,0,0,0,17,2,0,3,0,2,8,0,3,3,0,9,0,0,4,0,3,1,1,187,3,0,8,4,0,2,56,8,9,13,8,3,1,0,11,0,4,2,0,9,0,2,0,0,24,5,1,0,0,0,3,7,3,1,0,0,558
BHMT2,9,4,0,0,2,0,24,1,0,0,1,3,4,3,5,0,1,0,21,7,0,5,1,4,2,0,7,12,0,9,0,0,18,3,20,0,5,236,3,0,3,2,0,1,14,15,15,23,1,2,0,0,5,0,3,3,2,3,0,0,6,4,16,6,3,0,2,0,10,2,4,0,0,3,558
RBP1,0,0,1,1,0,56,15,120,0,64,0,1,0,1,3,1,0,0,21,1,0,10,1,5,2,0,0,10,0,0,1,0,2,0,12,0,1,120,0,0,2,3,0,0,3,3,5,8,3,1,0,0,1,0,1,0,1,51,0,1,4,0,8,6,5,0,0,1,0,1,1,0,0,0,558
TMEM150A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,57,0,36,23,0,82,0,0,0,0,0,0,144,9,0,0,0,558
NKIRAS1,0,0,0,0,0,0,5,0,0,72,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,1,0,6,0,0,100,2,26,2,0,0,0,0,0,0,0,45,0,33,75,0,0,0,0,0,0,0,1,112,0,16,0,1,0,0,22,558
C2orf91,0,1,0,2,4,0,63,0,0,3,0,0,0,7,15,2,0,0,18,8,0,0,0,4,13,0,0,2,0,9,0,0,26,0,0,0,6,182,0,0,4,9,0,0,24,11,4,19,3,0,0,2,2,0,1,2,0,13,0,6,0,3,27,15,8,8,4,0,3,13,6,5,1,0,558
CBX6,0,0,0,0,0,0,0,15,0,19,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,14,0,0,0,93,5,0,107,16,6,29,0,1,5,0,0,0,15,6,9,2,20,0,0,2,0,41,0,2,0,36,0,21,0,26,0,1,21,558
LOC100289211,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,139,2,3,44,137,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558
KCNN3,4,0,0,0,0,0,26,0,1,2,1,1,0,7,6,0,0,0,19,1,0,2,0,3,3,0,3,3,2,0,0,0,14,0,18,1,1,184,7,0,116,2,3,19,3,24,13,8,1,2,0,0,4,0,2,0,1,4,0,0,3,0,21,10,2,0,2,0,2,0,5,0,1,1,558
CHST15,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,172,168,0,0,0,0,0,0,30,557
POFUT2,0,0,0,0,0,0,1,0,0,52,0,0,0,44,0,0,0,25,0,0,0,0,0,11,0,0,0,7,0,0,0,0,4,0,0,0,0,2,0,0,67,13,0,51,18,40,0,0,0,0,0,0,5,0,29,6,0,26,0,0,0,0,31,0,0,96,0,0,29,0,0,0,0,0,557
CKLF,0,0,0,0,0,0,0,23,6,26,0,0,0,14,20,8,0,0,0,0,1,0,3,22,0,68,1,0,0,0,0,0,0,0,1,0,10,0,0,0,23,42,4,54,0,25,0,0,0,0,0,0,0,0,8,8,8,12,6,10,8,19,8,26,4,4,66,4,10,0,5,0,0,0,557
LOC100506472,5,0,0,2,0,0,36,1,0,7,0,4,0,8,4,0,1,0,9,4,0,4,0,5,8,5,11,0,1,6,0,0,11,0,22,0,0,200,2,0,7,7,0,3,13,10,12,25,5,1,1,0,6,0,3,5,5,4,0,0,2,3,48,13,7,0,1,3,2,5,5,0,2,2,556
MFSD9,0,0,0,0,0,0,0,0,0,92,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,215,0,0,0,0,0,0,0,1,0,0,212,556
IDI2-AS1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,0,207,0,0,0,0,0,36,0,0,0,0,0,0,0,93,0,0,43,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,4,0,0,42,0,0,0,0,0,0,0,556
LIN28A,0,0,0,0,2,0,12,0,0,2,0,6,0,2,5,4,0,0,11,2,0,1,0,3,6,1,5,2,6,6,0,0,29,0,1,8,1,174,1,0,5,5,1,1,15,6,17,17,3,0,2,0,5,16,1,5,118,4,1,2,0,0,13,4,5,4,0,0,3,6,6,1,0,0,556
SDR39U1,0,0,0,0,0,3,0,18,0,8,0,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,0,0,0,0,0,9,0,0,53,0,0,0,31,29,11,0,24,0,20,0,0,0,0,0,0,0,5,14,0,8,11,0,9,27,39,6,13,27,30,50,0,30,0,5,0,1,0,556
TRANK1,0,0,0,0,387,0,0,0,0,0,0,0,0,0,32,0,0,0,7,0,0,10,0,3,0,0,33,0,0,0,0,0,0,0,0,0,3,1,0,0,61,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,556
MEFV,3,0,3,0,3,0,25,0,0,3,1,3,4,1,5,0,0,0,12,5,2,4,0,3,10,0,6,8,1,4,0,1,35,0,7,4,2,182,3,0,15,8,1,0,18,11,16,24,7,4,0,0,11,0,1,11,5,3,0,0,5,1,22,13,12,0,4,4,6,5,6,0,0,2,555
FLJ42709,0,0,0,0,0,0,7,1,0,0,2,3,1,0,4,0,0,0,2,2,0,0,0,2,2,3,5,1,0,6,0,0,7,0,21,0,1,56,3,0,37,2,1,0,4,33,4,6,5,2,0,0,1,0,3,0,2,35,0,0,123,41,96,4,5,0,4,1,5,9,3,0,0,0,555
PRORSD1P,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,1,1,0,1,0,1,0,6,1,0,0,0,4,0,0,0,7,0,0,14,132,100,4,0,0,26,0,0,0,216,1,0,0,0,554
CLCN5,13,0,0,0,0,0,7,0,0,80,0,0,0,0,5,0,0,0,18,0,0,0,0,4,0,0,1,1,0,7,0,0,4,0,10,0,2,62,0,0,0,141,0,61,0,1,13,0,0,1,0,0,61,0,21,0,0,15,0,0,1,0,9,10,0,1,0,0,5,0,0,0,0,0,554
