symbol,BRx.111.1..10.08.15,BRx.111.1..10.19.15,BRx.111.2..10.08.15,BRx.111.3..10.08.15,BRx.129_2_111814,BRx.129.2..9.29,BRx.131.1..09.15.15,BRx.132.1..06.09.15,BRx.136_1_123014,BRx.136_2_123014,BRx.139.1,BRx.146.1..08.06.15,BRx.146.1..4.16.15,BRx.16_1_102214,BRx.16_1_120314,BRx.16_2_102214,BRx.16_2_120314,BRx.16_3_120314,BRx.16.3..09.09.15,BRx.16.4..09.09.15,BRx.170.1,BRx.170.2,BRx.172_1_111114,BRx.172_1_120114,BRx.172_2_111114,BRx.172.1..02.01.15,BRx.172.1..06.25.15,BRx.172.1..08.18.15,BRx.172.1..08.25.15,BRx.172.1..09.09.15,BRx.172.1..4.16.15,BRx.172.1..9.30,BRx.172.1.08.04.15,BRx.172.2..07.07.15,BRx.172.2..08.25.15,BRx.172.3..07.07.15,BRx.172.5..11.11.14,BRx.180.1..06.12.15,BRx.180.1..07.02.15,BRx.183_1_031015,BRx.183_2_031015,BRx.183_4_031015,BRx.183_5_031015,BRx.183_6_031015,BRx.183.3..3.10.15,BRx.183.7..3.10.15,BRx.213.2..08.26.15,BRx.213.3..08.26.15,BRx.245.2..09.04.15,BRx.42_1_110314,BRx.42_2_110314,BRx.42.1..10.20,BRx.42.1..9.14,BRx.42.1..9.22,BRx.42.1..9.29,BRx.42.2..9.14,BRx.42.2..9.29,BRx.42.3..9.29,BRx.82_1_012015,BRx.82_1_030915,BRx.82_2_030915,BRx.82_3_030915,BRx.82_5_030915,BRx.82_6_030915,BRx.82_7_030915,BRx.82.1..1.12.15,BRx.82.1..11.13.14,BRx.82.1..9.15,BRx.82.1..9.29,BRx.82.2..11.13.14,BRx.82.2..9.15,BRx.82.2..9.29,BRx.82.3..9.15,BRx.82.8..3.9.15,total
NCOA4,1481,4,278,44,382,0,3,3749,0,623,1178,14301,3738,4804,1697,12232,8892,8,39,42,383,1024,2142,21852,1104,17858,1,24,119,2320,226,1572,4,7656,504,7891,3115,617,333,883,1696,21,536,1570,49,841,2,20,892,6,1539,70,254,601,862,70,223,1960,9721,14,2086,104,2322,694,384,354,129,3016,75,2,5718,1257,989,34,161234
PIP,0,0,0,0,1,0,0,0,2,10,0,0,0,0,2,0,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4318,28653,8362,8342,29388,1293,49463,0,0,0,0,0,0,0,0,17,28,0,0,1,528,584,4,21151,442,767,1307,1,0,202,1,0,0,0,22,154897
OAZ1,51,780,878,1,961,437,177,1984,144,781,806,4783,250,7689,2139,11853,6676,197,8,18,1088,2649,1607,9243,2632,15560,0,230,505,10103,1645,792,826,4594,596,3351,4831,195,356,1873,1478,1118,294,1820,42,2536,322,200,525,1,1942,282,371,297,1019,24,924,1524,8296,188,2177,815,1787,692,1122,3890,740,4454,621,340,6975,942,1296,259,152602
HLA-E,1,3,61,0,1056,67,8,119,301,587,1176,1854,68,15012,1217,5906,4992,453,348,36,611,3100,1694,18721,2061,12241,1959,200,629,1636,1665,1330,1668,17413,727,14815,9360,2190,1,1208,1063,355,142,688,53,337,112,58,3,110,1388,0,98,1,746,48,120,284,1590,13,244,99,114,2,515,546,271,1923,17,8,11979,99,1208,2,150730
F13A1,1,1,86,0,172,0,0,0,223,1,2008,0,0,12024,316,2270,2906,74,969,70,712,2102,1485,20004,3003,10866,1,234,451,146,595,1943,2,28674,550,23076,6921,22,1,487,363,0,26,511,0,656,441,116,0,47,1019,0,1,3,2,0,0,137,3417,0,2,0,0,0,254,0,0,2292,3,0,16292,460,986,1,149425
RPL41,525,4079,1,2,283,2265,2,4860,141,2409,105,1537,243,260,610,1515,204,14,3,0,41,91,87,381,180,336,1644,192,0,752,19,20,4849,108,1,0,106,1321,388,1504,20382,10827,4918,20388,234,13942,3,26,39,214,24,369,339,470,2634,617,3261,3001,766,778,2464,3282,3506,4529,2789,8401,2738,857,2943,1507,103,30,185,1750,149394
CA1,64625,9,7638,2189,1,0,1,6753,0,0,0,6058,5665,849,1377,4487,0,0,0,0,0,0,306,33,398,3,1,1,1,0,258,0,92,1,1,1,70,271,599,1975,0,96,866,835,61,134,0,0,1641,200,375,250,444,834,391,0,0,1457,14248,234,5301,468,2974,717,395,1,129,5843,116,0,1,1567,1340,0,144581
CCL5,183,9,203,3,452,1,60,3,30,15,1121,452,3,9777,1335,16946,6658,271,58,14,453,1430,1548,14205,1380,23567,14,44,237,9,392,2235,24,8116,200,15748,11903,507,3,599,111,90,36,405,8,282,19,35,5,102,627,0,64,0,9,16,59,76,3852,3,54,3,32,16,396,1,8,3681,5,14,5147,52,1372,2,136790
PF4,1,0,446,0,437,0,130,1,22,2,666,1,0,9218,637,20802,4852,402,636,120,394,675,1664,13497,1555,25653,0,101,138,67,340,2182,1,9083,43,10279,9785,18,0,668,84,39,67,80,0,420,0,6,10,0,909,0,0,0,0,57,45,171,3081,0,21,0,1,0,135,1,1,3476,2,0,9761,115,2231,1,135230
CLU,0,499,677,0,395,558,1,61,238,94,1641,0,0,7508,261,10394,6811,274,35,0,287,425,1318,13192,1015,11624,0,17,75,0,107,1249,1,5149,0,5251,4739,3,0,721,1218,179,13,1170,255,4897,0,292,1,0,648,41,0,41,649,22,281,161,3167,111,2543,4600,5768,1208,2301,12592,1176,1857,3354,521,6637,198,1295,575,132391
SH3BGRL3,562,5,427,0,1080,1,0,2772,145,1181,1453,563,297,7666,1383,18443,8595,235,193,0,590,920,1171,13809,767,19444,1118,32,60,0,306,1188,3,7465,2,7434,7281,684,189,2284,468,236,250,651,201,731,0,197,48,164,1796,0,0,123,166,168,290,369,3347,121,301,271,233,303,527,631,156,2328,57,188,5324,386,1140,125,131044
HSP90AA1,0,1246,0,0,81,285,4,8002,76,10664,0,1579,0,80,225,217,0,0,0,2,0,1,0,150,0,388,73,0,0,6,0,21,363,0,628,0,278,123,1,127,5767,4425,721,13011,1087,6398,42,0,1,8,0,470,64,1546,7458,2810,3871,5145,86,1368,5810,6250,4586,7262,3226,8749,5824,113,4125,1507,151,18,55,2739,129313
RPLP0,1367,232,0,113,14,912,0,3170,223,2410,174,1506,0,0,31,152,1,1,0,0,0,0,0,42,0,0,2004,0,0,0,1,0,52,0,1,0,4,55,45,1316,25157,10200,5078,22407,375,10588,18,3,1,0,27,327,2,948,2517,380,5702,4127,0,1207,897,2944,1903,2475,3150,2748,1816,153,2229,282,0,0,76,1296,122859
RPL3,297,1261,8,0,370,1107,1,4559,121,3036,145,2346,0,174,151,1046,154,2,4,1,24,23,62,56,104,187,2397,255,1,296,0,21,770,3,1,5,50,2574,6,1523,32006,7870,3493,18950,187,7224,4,8,0,150,0,259,0,397,2133,82,2750,3005,217,451,2218,2465,2560,1298,2374,5246,1034,197,1274,390,120,67,183,861,122614
SAT1,273,232,1,0,369,85,28,604,126,787,103,253,1,6107,194,5259,1434,227,107,17,314,972,1089,8473,2370,13662,653,331,258,94,1079,396,1,5507,839,3690,5035,24,0,404,19495,7249,369,2886,2273,766,34,127,100,50,793,145,0,51,1339,1788,589,1197,2447,226,155,92,139,496,1849,374,660,1622,579,8,6984,296,787,156,117519
AZGP1,0,7849,0,0,1,0,5,3295,30,2162,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1721,12836,5218,2096,6508,581,12673,16,6,7,0,0,158,0,26,4100,93,1189,1837,1,1843,2165,10557,11530,2921,1530,12738,1518,0,3484,2785,0,0,0,2705,116189
HSP90AB1,0,1710,34,0,3,393,1,1493,124,7491,0,1080,0,0,346,332,1,2,0,0,2,1,5,2,42,0,765,0,0,0,61,0,349,1,367,2,54,46,0,418,14078,2271,813,12960,353,7211,0,34,55,76,0,538,0,1083,4237,1193,6408,4572,250,668,5541,4149,5014,6025,4027,8980,1840,72,2842,971,25,217,5,2206,113839
RPL7,2,512,0,0,86,1058,2,11344,210,3495,95,1316,374,6,429,305,1,4,0,0,35,0,12,25,63,1,1017,16,0,0,1,34,307,0,3,1,63,58,0,1429,21472,8131,4969,16457,233,9235,6,3,1,216,52,95,21,528,2302,1506,3625,3597,574,703,1793,1638,1611,1407,1596,3661,972,185,1036,553,106,49,173,1786,112596
HSPA8,0,820,0,109,86,305,1,1713,94,8867,0,1427,1,89,64,530,1,2,99,0,0,170,1,99,0,0,0,2,23,0,5,0,233,0,0,4,424,201,0,544,15170,5743,2564,25326,223,7742,1,3,1,99,0,264,0,250,2013,992,629,3209,27,945,3647,2649,4865,4791,3443,7132,900,311,2362,233,194,3,36,838,112519
GPX1,1327,0,1613,71,647,151,0,1423,190,151,478,2276,41,7843,2050,13867,4801,156,0,0,933,1683,944,9172,2265,14447,0,43,192,462,426,1050,1,9208,0,5602,6280,195,149,893,630,233,72,639,37,1029,6,183,0,53,440,68,180,187,306,38,172,657,2580,28,479,1,269,66,254,1,1,3379,49,0,7336,293,1560,10,112266
MYL6,612,1910,0,0,378,750,0,2780,282,2429,156,2063,0,3717,507,7894,3909,46,126,0,82,112,390,7701,460,9040,20,5,15,160,12,1523,1,7886,2,7232,2456,325,108,446,2293,4427,359,3352,343,3175,0,1,209,68,562,245,27,383,1570,254,550,1454,2406,785,1573,1294,2059,2273,1450,4026,2115,1797,1136,780,2964,266,855,1159,111745
RPS18,1,9574,0,33,56,1141,0,8162,274,2944,82,1396,148,47,529,645,2,2,1,1,15,2,0,63,45,0,705,4,8,762,1,0,316,1,2,1,25,1116,2,844,16290,3646,2262,13441,205,8150,88,0,9,74,0,570,72,885,3844,511,5461,3564,65,871,1820,1591,2016,2188,2364,4142,1071,223,1466,238,23,27,115,1093,107335
TSC22D1,0,0,102,0,159,0,33,220,0,1402,230,1,677,15500,217,3532,530,708,64,88,1382,3929,1350,6628,5732,5807,0,12,1119,6415,1508,137,2,1569,440,10077,3328,9,0,505,3934,507,295,905,285,2524,1134,1,1,1,2309,57,0,2,424,92,84,374,3412,202,574,778,510,749,755,633,548,1454,263,639,7650,18,650,1048,106224
TAGLN2,0,35,304,0,476,1357,2,6293,720,4957,449,1005,0,6487,1132,5228,3808,149,5,64,786,2028,900,10244,1990,14122,5,79,496,5195,610,1029,4,3798,147,5319,4868,495,0,887,164,521,106,373,0,260,15,2,3,9,719,80,47,182,468,167,242,593,1848,564,163,164,464,909,1038,1152,1958,1128,433,177,5437,8,803,85,105755
PTMA,153,977,101,24,332,120,1053,5763,449,3971,265,980,0,1840,421,2487,404,2,43,38,152,329,392,997,976,3173,1363,123,104,2460,224,108,195,1377,1264,1891,734,322,0,294,2788,5243,584,9952,47,3644,300,138,37,124,369,219,1,330,546,394,646,1017,792,1330,1431,2121,2288,10476,2537,5297,8883,620,4058,450,772,33,188,1493,105049
RAP1B,0,2,0,0,227,0,77,400,0,764,0,699,0,13808,382,10058,1614,628,222,0,911,1954,2674,12397,4843,9186,501,547,730,2884,580,368,1,1318,627,3761,6047,1027,1,92,581,311,127,792,0,971,180,8,124,87,1900,128,22,20,470,272,533,411,1709,175,43,0,188,438,712,1,355,1007,268,195,12164,10,1066,11,104609
RPS3A,1,198,0,0,292,1313,145,2177,164,1525,0,1701,0,41,642,504,1,0,8,0,46,0,23,131,0,0,2268,42,5,296,0,37,1018,0,2,2,19,970,1,1257,23991,9123,5176,15466,47,8806,2,0,2,99,0,181,93,159,1301,277,1518,1223,247,606,1699,1809,1458,1525,2389,3691,882,459,1159,337,22,48,209,1102,99935
SNCA,7727,3,2426,415,237,0,0,3839,0,4,204,11867,7611,2706,3136,6301,652,32,0,0,92,192,590,2077,1007,1130,1,72,36,822,144,64,2,2545,6,1565,576,15,1120,978,0,0,862,790,0,240,1,0,299,580,852,644,206,186,731,106,45,985,14348,86,2623,166,2727,574,1077,795,228,5208,1,2,1545,2559,767,0,99427
MYL12A,0,571,0,0,219,88,278,2702,13,2526,290,1638,0,5594,667,9657,2765,223,360,0,482,741,946,7750,2017,10542,207,12,285,1322,301,867,461,6188,100,8481,3484,1,0,314,1259,2529,234,928,107,996,12,0,2,72,1020,256,2,210,939,396,611,956,1705,365,457,361,586,593,566,478,1902,1112,359,332,5631,126,717,230,98141
TPM4,2,2,79,0,490,232,386,1074,263,1392,201,427,0,9627,78,4005,2430,493,1,7,778,1999,1077,10064,1846,9399,0,227,340,1013,394,822,0,9205,443,5818,5280,92,1,282,306,2452,9,1138,306,1723,190,52,43,44,979,0,1,103,207,226,55,187,1325,636,407,627,432,1358,672,319,1897,728,419,88,9791,14,697,396,98096
CD24,0,7982,1,0,1,104,23,4113,329,7682,0,1480,0,1,4,0,1,1,10,2,0,21,0,4,2,0,0,33,0,8,0,0,5,0,14,0,3,115,0,54,2464,798,283,1539,81,591,13,11,5,0,0,541,1,501,5296,849,2247,5827,0,1518,3969,7137,9718,4337,3840,16016,1918,1,2028,1837,3,0,0,977,96339
LIMS1,638,23,0,21,286,1,75,35,0,75,2,97,3,9771,206,2067,1315,641,39,94,375,3035,631,10134,2323,5742,107,185,683,3016,1061,477,14,5269,1514,17551,3923,442,6,365,1067,400,1,790,18,643,445,36,18,6,479,0,118,35,30,8,131,180,2012,3,15,48,135,474,206,2,4,1679,143,9,11845,120,792,3,94137
