,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
TRAPPC3,10.9267913532943,3.96867819654524,4.87053474703738,0,1.99749686712053,0,2.39614355693672,0,9.02125276494123,0,0,6.07510471425364,4.82966368575443,3.47320460983135,0,0,0,1.2736307651878,7.4571381684618,8.76963680963437,1.23605484403774,4.04388034198475,0,14.9448502506836
EI24,0,0,4.43411981305685,9.37242671618172,8.44375432653385,0,8.1291986430847,6.07515160998626,8.87969312186078,2.66051921537072,5.86923137472178,19.476433825296,5.75160570909396,4.40674300237995,0,0,2.85173750034454,6.07356339361323,10.5566177355847,7.5317838930188,11.8726588395452,7.34926063535367,6.29794728735765,5.13623391282999
PRKAG2,0,0,0,0,0.998331727399385,0,0,0,0,0,0,0,0,0,0,7.55862805141701,9.63842253386892,0,0,5.01896552307051,0,0,0,5.13623391282999
GPC4,3.32906903637853,0,0,0,7.39756073676379,0,0,0,8.43601387144797,0,0,0,0.583848766442788,0,0,0,0,0,7.66914460375923,0,0,0,0,0
CDK5RAP1,15.1273594908333,7.96669782010913,4.79317976921874,4.34541268110006,5.92745365246238,0,8.65255701521726,0,10.1273937385526,0,0,6.07510471425364,4.48865808819663,0,0,3.08764676387688,0,0.360126571079381,7.01363247920525,3.31876909190812,1.23605484403774,0.504630698863175,0,0
LOC100131434,0,0,0,0,0,0,0,9.30380543893062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAT,13.0093394316994,6.69480521881274,5.04751574270373,5.19234974171118,9.83271553532713,12.8472127014597,2.21872144910573,10.3026636340902,5.9009750712813,1.58302658652735,6.04850349557229,0,8.51433473674193,0,0,0,0,0,2.73338977441487,2.45656008374938,0,0.504630698863175,5.46454507197229,0
SPIRE1,3.32906903637853,0,0,0,0.998331727399385,0,6.69117965665839,9.30380543893062,0,0,1.68247064766758,0,5.85469492680312,0,0,0,2.85173750034454,0,5.58315254025188,0,0.928798629156702,0.504630698863175,4.19081171184153,13.572494366319
COQ7,0,0,6.59172183685447,0,1.99749686712053,0,8.55545913438495,9.51499823241349,0,8.28712329059146,0,0,0.583848766442788,0,0,0,2.85173750034454,0,8.03458658387943,0,0,1.41956075653212,0,0
VPS37A,0,0,6.76379056312327,6.76108520564184,6.82958085610258,0,0.686284966381428,0,6.0389154666329,0,0,0,0,0,4.971347266693,0,0,0,4.56075489250992,0,0,0,0,11.805827123309
IGFBP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.41706462889244,7.0281174511783,0,0,0,0,0
MRPS26,0,0,5.29205780470566,9.84830505161983,5.61143957701311,0,2.39614355693672,13.0481171917609,8.75510810018414,9.34361335346355,8.16851100209262,5.66718251371805,4.69722468317837,0,0,0,0,10.6536795286439,8.86165347630527,6.57395520008575,11.9811226650225,0.877760165335303,3.2677224296125,0
TCEAL3,0,0,2.97681455625026,3.12619513402463,6.61140547268932,0,4.73246736430892,0,0.677653057474106,4.08472903024563,2.82311181191324,0,0.998329075997963,0,0,0,0,0,5.98075187367463,0,0,0,0,13.8209355234683
TTC39B,0,0,0,5.03114358479442,0,3.49516589389416,1.14943439400826,0,0,0,0,4.13791331447149,0,0,4.971347266693,12.4484537948863,2.85173750034454,0,0,0,0,0,0,0
CBWD6,12.5487854066302,3.96867819654524,0,0.826297654785786,3.69735832192847,0,0,3.21766096289394,0.677653057474106,0,5.90956649095369,0,0,0,0,0,0,0,3.27687760767886,0,0,0,0,0
MTM1,0,0,7.61826297426361,6.92609615255027,0,3.49516589389416,0.686284966381428,5.40986167000988,6.55348354393589,0,0,0,0,0,0,11.2870548631862,0,0,0,0,0,0,6.44811561927846,0
ATP6AP1,13.4633871574385,16.6086036154508,9.4817434433721,0,8.93330628353717,3.49516589389416,11.0236182760258,7.96626443164522,9.46730478217168,10.6538197417814,9.18803198369154,7.23309234163059,5.24467182165579,3.47320460983135,0,3.08764676387688,0,11.1192711689093,11.0740647550253,6.09457296093592,11.9883605122018,11.2834488693294,4.19081171184153,7.56170571568205
UBE4B,0,5.89785743310662,0,0,0,0,0,8.30608634117626,4.74308560020749,0,0,0,10.0231828666586,4.96885338267809,0,3.08764676387688,0,0.888005180667002,6.34706624803982,12.1723517124984,0.537887479196465,0,6.44811561927846,0
CLVS1,0,0,0,0,0,0,10.134739616746,5.66722917873644,0,2.11324323956861,0,0,0,0,0,0,0,0,5.40223288970034,0,0,0,0,0
FAM199X,0,0,0,0,7.06277565653884,0,4.59377880732564,3.21766096289394,0,0,0,4.13791331447149,6.06279536921331,3.47320460983135,0,0,0,0.360126571079381,0,3.85471293754161,1.48922444106289,0.504630698863175,5.15076206981284,15.050310095968
STRN4,5.53132218181115,0,7.9698146570802,6.57473370238744,5.80407612895014,3.49516589389416,2.94494839199857,11.9698324982223,6.98074429789838,5.07043050261214,3.12667567327395,4.13791331447149,1.80496729491802,9.95323705655769,0,12.358584884507,12.2143436758701,7.82281367344703,8.50227670502102,12.906383109788,0.537887479196465,0,0,14.0691161974366
SAMM50,0,0,0,0,7.52024164429027,0,4.91831269164753,5.88556014465517,9.66564076954694,0,9.71925701163677,6.87325952617192,0.583848766442788,0,0,0,0,0.888005180667002,8.8630007811643,5.52012792999004,11.2433197663449,0,0,3.25433087032954
SH3PXD2A,0,6.21493820535335,3.95498976623601,0,7.27280749205556,0,0.686284966381428,9.82337099013056,2.80639737728569,9.38583435705891,0,0,0,0,0,10.6827640581321,2.85173750034454,0.888005180667002,7.57691823159952,0,0,0,0,0
CACTIN,0,0,0,0,3.99687040471234,0,0,8.70092063446231,0,1.22073322541004,1.68247064766758,0,3.1669531306056,0,11.5100669905655,4.95439803073298,0,0,2.73338977441487,0,0,1.62938025195365,7.9733020500245,10.3149192289037
