,theta_1,theta_2,mu_1,mu_2,size_1,size_2,prob_1,prob_2,total_mean_1,total_mean_2,foldChange,norm_total_mean_1,norm_total_mean_2,norm_foldChange,chi2LR1,pvalue_LR2,pvalue_LR3,FDR_LR2,FDR_LR3,pvalue,pvalue.adj.FDR,Remark,Type,State
CDC25B,6.57915315667791e-09,1.31230516016912e-09,178.727271588129,142534.077878319,0.371737471630945,0.0871183763505826,0.00207559759030776,6.11210486640889e-07,355.727272727273,13604.0769230769,0.026148578454731,178.727272727273,142534.076923077,0.00125392661590483,21.2393615877737,0,8.06610334080915e-12,0,2.09985334905362e-10,9.38878050865677e-05,0.0271818608269197,NA,DEg,down
PIGC,0,3.36622869454106e-09,341.090909090909,111839.924618485,0.347588489654137,0.0641421328957123,0.00101801200543334,5.73516982668892e-07,261.090909090909,10784.3846153846,0.0242100887906433,341.090909090909,111839.923076923,0.00304981351655891,21.0997920891505,0,0,0,0,0.000100369984822879,0.0282513626725065,NA,DEg,down
AKAP9,0.0848110286297775,0,330.284492802483,34093.5384615385,0.838111976970034,0.175429624248751,0.00253112280730053,5.14551230202652e-06,639.818181818182,8105,0.0789411698726936,302.272727272727,34093.5384615385,0.0088659828493228,20.9615982848421,1.98729921407903e-14,0,2.33581810610035e-13,0,0.000107227171910473,0.0293657549451034,NA,DEg,down
MBP,0.267464961873249,0,74.2130178605337,7305.46153846155,1.18960661371461,0.258747932508024,0.0157767268978931,3.54171693364592e-05,104.727272727273,2038.46153846154,0.0513756432246998,54.3636363636364,7305.46153846154,0.00744150606740239,20.8652835942901,5.50165468737873e-11,0,3.75926513345835e-10,0,0.000112280263892872,0.0299404187901704,NA,DEg,down
RPL39L,8.60214530439423e-10,0.502400416390113,13.7272727359583,1983.8322567852,0.372842040692448,0.0598734200183557,0.0264424826746701,3.01797759599773e-05,40.5454545454545,100.615384615385,0.402974701139839,13.7272727272727,987.153846153846,0.0139059101889305,20.6434641028899,2.55818944294717e-06,1.24944421232565e-05,1.0478929447703e-05,5.98138186751639e-05,0.000124837966014479,0.0313036301449401,NA,DEg,down
SCYL1,0.176468509568604,0.769230769519552,94.9348273802156,28.6666666884307,1.13469145136685,10399.8656223802,0.0118111495213799,0.997251131233637,160.454545454545,11.8461538461538,13.5448642266824,78.1818181818182,6.61538461538461,11.8181818181818,20.6187472121175,2.46539320044592e-05,0.00269534948621575,9.20140827180646e-05,0.00615688968932531,0.00012632109859001,0.0313036301449401,NA,DEg,up
ATRIP,0.415409428349564,0.923076831512852,1.7106000418832,8114.99986267686,0.358411169025647,11335.3945027857,0.173228239236175,0.582784816071061,2.90909090909091,294.230769230769,0.00988710635769459,1,624.230769230769,0.00160197165742452,20.485318505461,0.000483576315826961,4.10905420800134e-10,0.00150223411721393,8.05282476503935e-09,0.000134635711071529,0.0313036301449401,NA,DEg,down
FANCE,0.705066077303179,0.962167670589263,10.7882410788881,33617.2662104568,1.07845633752631,10000.067426343,0.0908809165416617,0.229268196667253,10.1818181818182,637.692307692308,0.0159666630112951,3.18181818181818,2585.84615384615,0.00123047466574359,20.4101815693296,0.000825847897487186,2.30937380329976e-10,0.00244264871087759,4.81756786781077e-09,0.000139555390307744,0.0313036301449401,NA,DEg,down
LY75,0.636327526592111,1.87830737005398e-09,9.24910547228427,3922.15386106152,13234.1926285065,0.0703947699646746,0.999301608625758,1.79476657562384e-05,8.18181818181818,612.384615384615,0.0133605874090738,3.36363636363636,3922.15384615385,0.000857599292525157,20.3512189163473,0.000928336880585801,1.50173618740368e-06,0.00270514447164225,9.34875294529959e-06,0.000143541029241634,0.0313036301449401,NA,DEg,down
MSN,0,4.25971793357352e-09,38.3636363636364,13454.8462145854,0.386483398796149,0.106866051109048,0.00997373430496689,7.94250641147481e-06,48.3636363636364,3187.76923076923,0.0151716240613709,38.3636363636364,13454.8461538462,0.00285128762714763,20.3029025291474,2.22044604925031e-16,0,3.56857400772372e-15,0,0.000146891348198563,0.0313036301449401,NA,DEg,down
