"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000168078","PBK","1","positive","More details"
"ENSG00000168298","HIST1H1E","1","positive","More details"
"ENSG00000168393","DTYMK","1","positive","More details"
"ENSG00000168476","REEP4","1","positive","More details"
"ENSG00000168496","FEN1","1","positive","More details"
"ENSG00000169067","ACTBL2","1","positive","More details"
"ENSG00000169083","AR","1","positive","More details"
"ENSG00000169964","TMEM42","1","positive","More details"
"ENSG00000170315","UBB","1","positive","More details"
"ENSG00000170348","TMED10","1","positive","More details"
"ENSG00000170540","ARL6IP1","1","positive","More details"
"ENSG00000170681","CAVIN4","1","positive","More details"
"ENSG00000170759","KIF5B","1","positive","More details"
"ENSG00000170860","LSM3","1","positive","More details"
"ENSG00000170889","RPS9","1","positive","More details"
"ENSG00000171241","SHCBP1","1","positive","More details"
"ENSG00000171320","ESCO2","1","positive","More details"
"ENSG00000171766","GATM","1","positive","More details"
"ENSG00000171792","RHNO1","1","positive","More details"
"ENSG00000171848","RRM2","1","positive","More details"
"ENSG00000172270","BSG","1","positive","More details"
"ENSG00000172922","RNASEH2C","1","positive","More details"
"ENSG00000175216","CKAP5","1","positive","More details"
"ENSG00000175334","BANF1","1","positive","More details"
"ENSG00000175592","FOSL1","1","positive","More details"
"ENSG00000176170","SPHK1","1","positive","More details"
"ENSG00000176340","COX8A","1","positive","More details"
"ENSG00000176402","GJC3","1","positive","More details"
"ENSG00000176971","FIBIN","1","positive","More details"
"ENSG00000177807","KCNJ10","1","positive","More details"
"ENSG00000178966","RMI1","1","positive","More details"
"ENSG00000178999","AURKB","1","positive","More details"
"ENSG00000179051","RCC2","1","positive","More details"
"ENSG00000179750","APOBEC3B","1","positive","More details"
"ENSG00000180138","CSNK1A1L","1","positive","More details"
"ENSG00000181218","HIST3H2A","1","positive","More details"
"ENSG00000181617","FDCSP","1","positive","More details"
"ENSG00000182010","RTKN2","1","positive","More details"
"ENSG00000182240","BACE2","1","positive","More details"
"ENSG00000182481","KPNA2","1","positive","More details"
"ENSG00000182759","MAFA","1","positive","More details"
"ENSG00000182872","RBM10","1","positive","More details"
"ENSG00000184661","CDCA2","1","positive","More details"
"ENSG00000184831","APOO","1","positive","More details"
"ENSG00000185238","PRMT3","1","positive","More details"
"ENSG00000185480","PARPBP","1","positive","More details"
"ENSG00000186185","KIF18B","1","positive","More details"
"ENSG00000186288","PABPC1L2A","1","positive","More details"
"ENSG00000186871","ERCC6L","1","positive","More details"
"ENSG00000187193","MT1X","1","positive","More details"
"ENSG00000188486","H2AFX","1","positive","More details"
"ENSG00000188610","FAM72B","1","positive","More details"
"ENSG00000196230","TUBB","1","positive","More details"
"ENSG00000196550","FAM72A","1","positive","More details"
"ENSG00000196747","HIST1H2AI","1","positive","More details"
"ENSG00000196943","NOP9","1","positive","More details"
"ENSG00000197061","HIST1H4C","1","positive","More details"
"ENSG00000197275","RAD54B","1","positive","More details"
