"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000229453","SPINK8","1","positive","More details"
"ENSG00000233087","RAB6D","1","positive","More details"
"ENSG00000237765","FAM200B","1","positive","More details"
"ENSG00000239388","ASB14","1","positive","More details"
"ENSG00000241343","RPL36A","1","positive","More details"
"ENSG00000241837","ATP5PO","1","positive","More details"
"ENSG00000243910","TUBA4B","1","positive","More details"
"ENSG00000254726","MEX3A","1","positive","More details"
"ENSG00000259494","MRPL46","1","positive","More details"
"ENSG00000261857","MIA","1","positive","More details"
"ENSG00000266964","FXYD1","1","positive","More details"
"ENSG00000268104","SLC6A14","1","positive","More details"
"ENSG00000269028","MTRNR2L12","1","positive","More details"
"ENSG00000276950","GSTT4","1","positive","More details"
"ENSG00000277150","F8A3","1","positive","More details"
"ENSG00000003056","M6PR","1","negative","More details"
"ENSG00000003402","CFLAR","1","negative","More details"
"ENSG00000003756","RBM5","1","negative","More details"
"ENSG00000004534","RBM6","1","negative","More details"
"ENSG00000005007","UPF1","1","negative","More details"
"ENSG00000005483","KMT2E","1","negative","More details"
"ENSG00000006062","MAP3K14","1","negative","More details"
"ENSG00000006071","ABCC8","1","negative","More details"
"ENSG00000006283","CACNA1G","1","negative","More details"
"ENSG00000006747","SCIN","1","negative","More details"
"ENSG00000007174","DNAH9","1","negative","More details"
"ENSG00000008086","CDKL5","1","negative","More details"
"ENSG00000009413","REV3L","1","negative","More details"
"ENSG00000009950","MLXIPL","1","negative","More details"
"ENSG00000010310","GIPR","1","negative","More details"
"ENSG00000010704","HFE","1","negative","More details"
"ENSG00000011478","QPCTL","1","negative","More details"
"ENSG00000012124","CD22","1","negative","More details"
"ENSG00000012171","SEMA3B","1","negative","More details"
"ENSG00000012817","KDM5D","1","negative","More details"
"ENSG00000012822","CALCOCO1","1","negative","More details"
"ENSG00000013293","SLC7A14","1","negative","More details"
"ENSG00000013297","CLDN11","1","negative","More details"
"ENSG00000013364","MVP","1","negative","More details"
"ENSG00000015133","CCDC88C","1","negative","More details"
"ENSG00000015568","RGPD5","1","negative","More details"
"ENSG00000019144","PHLDB1","1","negative","More details"
"ENSG00000021574","SPAST","1","negative","More details"
"ENSG00000022840","RNF10","1","negative","More details"
"ENSG00000024048","UBR2","1","negative","More details"
"ENSG00000029363","BCLAF1","1","negative","More details"
"ENSG00000033170","FUT8","1","negative","More details"
"ENSG00000036530","CYP46A1","1","negative","More details"
"ENSG00000036549","AC118549.1","1","negative","More details"
"ENSG00000038219","BOD1L1","1","negative","More details"
"ENSG00000038945","MSR1","1","negative","More details"
"ENSG00000040487","PQLC2","1","negative","More details"
"ENSG00000042062","RIPOR3","1","negative","More details"
"ENSG00000042304","C2orf83","1","negative","More details"
"ENSG00000042429","MED17","1","negative","More details"
"ENSG00000047648","ARHGAP6","1","negative","More details"
"ENSG00000048649","RSF1","1","negative","More details"
"ENSG00000048740","CELF2","1","negative","More details"
"ENSG00000048991","R3HDM1","1","negative","More details"
"ENSG00000049249","TNFRSF9","1","negative","More details"
"ENSG00000049540","ELN","1","negative","More details"
"ENSG00000052749","RRP12","1","negative","More details"
"ENSG00000053254","FOXN3","1","negative","More details"
"ENSG00000054267","ARID4B","1","negative","More details"
"ENSG00000057019","DCBLD2","1","negative","More details"
"ENSG00000058272","PPP1R12A","1","negative","More details"
"ENSG00000058673","ZC3H11A","1","negative","More details"
"ENSG00000064726","BTBD1","1","negative","More details"
"ENSG00000064989","CALCRL","1","negative","More details"
"ENSG00000065457","ADAT1","1","negative","More details"
"ENSG00000065526","SPEN","1","negative","More details"
"ENSG00000065802","ASB1","1","negative","More details"
"ENSG00000065809","FAM107B","1","negative","More details"
"ENSG00000065883","CDK13","1","negative","More details"
"ENSG00000066044","ELAVL1","1","negative","More details"
"ENSG00000066056","TIE1","1","negative","More details"
"ENSG00000067798","NAV3","1","negative","More details"
"ENSG00000068878","PSME4","1","negative","More details"
"ENSG00000068903","SIRT2","1","negative","More details"
"ENSG00000069764","PLA2G10","1","negative","More details"
"ENSG00000069812","HES2","1","negative","More details"
"ENSG00000069869","NEDD4","1","negative","More details"
"ENSG00000069956","MAPK6","1","negative","More details"
"ENSG00000070388","FGF22","1","negative","More details"
"ENSG00000070601","FRMPD1","1","negative","More details"
"ENSG00000070729","CNGB1","1","negative","More details"
"ENSG00000072609","CHFR","1","negative","More details"
"ENSG00000072786","STK10","1","negative","More details"
"ENSG00000072858","SIDT1","1","negative","More details"
"ENSG00000072952","MRVI1","1","negative","More details"
"ENSG00000073605","GSDMB","1","negative","More details"
"ENSG00000074054","CLASP1","1","negative","More details"
"ENSG00000074657","ZNF532","1","negative","More details"
"ENSG00000075407","ZNF37A","1","negative","More details"
"ENSG00000075856","SART3","1","negative","More details"
"ENSG00000075945","KIFAP3","1","negative","More details"
"ENSG00000076555","ACACB","1","negative","More details"
"ENSG00000076706","MCAM","1","negative","More details"
"ENSG00000077044","DGKD","1","negative","More details"
"ENSG00000077254","USP33","1","negative","More details"
"ENSG00000078043","PIAS2","1","negative","More details"
"ENSG00000078269","SYNJ2","1","negative","More details"
"ENSG00000079277","MKNK1","1","negative","More details"
"ENSG00000079385","CEACAM1","1","negative","More details"
"ENSG00000079482","OPHN1","1","negative","More details"
"ENSG00000079691","CARMIL1","1","negative","More details"
"ENSG00000081665","ZNF506","1","negative","More details"
"ENSG00000081760","AACS","1","negative","More details"
"ENSG00000082482","KCNK2","1","negative","More details"
"ENSG00000083223","ZCCHC6","1","negative","More details"
"ENSG00000085832","EPS15","1","negative","More details"
"ENSG00000086730","LAT2","1","negative","More details"
"ENSG00000087206","UIMC1","1","negative","More details"
"ENSG00000087266","SH3BP2","1","negative","More details"
"ENSG00000087299","L2HGDH","1","negative","More details"
"ENSG00000088280","ASAP3","1","negative","More details"
"ENSG00000088888","MAVS","1","negative","More details"
"ENSG00000089094","KDM2B","1","negative","More details"
"ENSG00000089916","GPATCH2L","1","negative","More details"
"ENSG00000090447","TFAP4","1","negative","More details"
"ENSG00000090487","SPG21","1","negative","More details"
"ENSG00000090905","TNRC6A","1","negative","More details"
"ENSG00000091181","IL5RA","1","negative","More details"
"ENSG00000091651","ORC6","1","negative","More details"
"ENSG00000093072","ADA2","1","negative","More details"
"ENSG00000094631","HDAC6","1","negative","More details"
"ENSG00000094661","OR1I1","1","negative","More details"
"ENSG00000095066","HOOK2","1","negative","More details"
"ENSG00000096093","EFHC1","1","negative","More details"
"ENSG00000096996","IL12RB1","1","negative","More details"
"ENSG00000099139","PCSK5","1","negative","More details"
"ENSG00000099998","GGT5","1","negative","More details"
"ENSG00000100024","UPB1","1","negative","More details"
"ENSG00000100055","CYTH4","1","negative","More details"
"ENSG00000100083","GGA1","1","negative","More details"
"ENSG00000100150","DEPDC5","1","negative","More details"
"ENSG00000100154","TTC28","1","negative","More details"
"ENSG00000100201","DDX17","1","negative","More details"
"ENSG00000100478","AP4S1","1","negative","More details"
"ENSG00000100490","CDKL1","1","negative","More details"
"ENSG00000100626","GALNT16","1","negative","More details"
"ENSG00000100731","PCNX1","1","negative","More details"
"ENSG00000100784","RPS6KA5","1","negative","More details"
"ENSG00000100888","CHD8","1","negative","More details"
"ENSG00000100934","SEC23A","1","negative","More details"
"ENSG00000101000","PROCR","1","negative","More details"
"ENSG00000101040","ZMYND8","1","negative","More details"
"ENSG00000101109","STK4","1","negative","More details"
"ENSG00000101280","ANGPT4","1","negative","More details"
