"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000163820","FYCO1","1","positive","More details"
"ENSG00000164096","C4orf3","1","positive","More details"
"ENSG00000164111","ANXA5","1","positive","More details"
"ENSG00000164176","EDIL3","1","positive","More details"
"ENSG00000164756","SLC30A8","1","positive","More details"
"ENSG00000164830","OXR1","1","positive","More details"
"ENSG00000164889","SLC4A2","1","positive","More details"
"ENSG00000165264","NDUFB6","1","positive","More details"
"ENSG00000165527","ARF6","1","positive","More details"
"ENSG00000165821","SALL2","1","positive","More details"
"ENSG00000165863","C10orf82","1","positive","More details"
"ENSG00000166033","HTRA1","1","positive","More details"
"ENSG00000166106","ADAMTS15","1","positive","More details"
"ENSG00000166165","CKB","1","positive","More details"
"ENSG00000166263","STXBP4","1","positive","More details"
"ENSG00000166478","ZNF143","1","positive","More details"
"ENSG00000166987","MBD6","1","positive","More details"
"ENSG00000167131","CCDC103","1","positive","More details"
"ENSG00000167191","GPRC5B","1","positive","More details"
"ENSG00000167363","FN3K","1","positive","More details"
"ENSG00000167552","TUBA1A","1","positive","More details"
"ENSG00000167642","SPINT2","1","positive","More details"
"ENSG00000167815","PRDX2","1","positive","More details"
"ENSG00000168016","TRANK1","1","positive","More details"
"ENSG00000168036","CTNNB1","1","positive","More details"
"ENSG00000168214","RBPJ","1","positive","More details"
"ENSG00000168298","HIST1H1E","1","positive","More details"
"ENSG00000168653","NDUFS5","1","positive","More details"
"ENSG00000168672","FAM84B","1","positive","More details"
"ENSG00000168781","PPIP5K1","1","positive","More details"
"ENSG00000168874","ATOH8","1","positive","More details"
"ENSG00000168884","TNIP2","1","positive","More details"
"ENSG00000169340","PDILT","1","positive","More details"
"ENSG00000169592","INO80E","1","positive","More details"
"ENSG00000169689","CENPX","1","positive","More details"
"ENSG00000170044","ZPLD1","1","positive","More details"
"ENSG00000170270","GON7","1","positive","More details"
"ENSG00000170412","GPRC5C","1","positive","More details"
"ENSG00000170961","HAS2","1","positive","More details"
"ENSG00000171345","KRT19","1","positive","More details"
"ENSG00000171490","RSL1D1","1","positive","More details"
"ENSG00000171940","ZNF217","1","positive","More details"
"ENSG00000172037","LAMB2","1","positive","More details"
"ENSG00000172057","ORMDL3","1","positive","More details"
"ENSG00000173578","XCR1","1","positive","More details"
"ENSG00000173621","LRFN4","1","positive","More details"
"ENSG00000173801","JUP","1","positive","More details"
"ENSG00000173905","GOLIM4","1","positive","More details"
"ENSG00000174448","STARD6","1","positive","More details"
"ENSG00000174485","DENND4A","1","positive","More details"
"ENSG00000174501","ANKRD36C","1","positive","More details"
"ENSG00000175130","MARCKSL1","1","positive","More details"
