"Ensemble ID","Symbol","No. dataset","Direction","More details"
"ENSG00000113407","TARS","1","positive","More details"
"ENSG00000113558","SKP1","1","positive","More details"
"ENSG00000113575","PPP2CA","1","positive","More details"
"ENSG00000113648","H2AFY","1","positive","More details"
"ENSG00000113732","ATP6V0E1","1","positive","More details"
"ENSG00000114125","RNF7","1","positive","More details"
"ENSG00000114391","RPL24","1","positive","More details"
"ENSG00000114850","SSR3","1","positive","More details"
"ENSG00000114942","EEF1B2","1","positive","More details"
"ENSG00000115042","FAHD2A","1","positive","More details"
"ENSG00000115112","TFCP2L1","1","positive","More details"
"ENSG00000115233","PSMD14","1","positive","More details"
"ENSG00000115268","RPS15","1","positive","More details"
"ENSG00000115286","NDUFS7","1","positive","More details"
"ENSG00000115364","MRPL19","1","positive","More details"
"ENSG00000115414","FN1","1","positive","More details"
"ENSG00000115457","IGFBP2","1","positive","More details"
"ENSG00000115468","EFHD1","1","positive","More details"
"ENSG00000115541","HSPE1","1","positive","More details"
"ENSG00000115944","COX7A2L","1","positive","More details"
"ENSG00000116120","FARSB","1","positive","More details"
"ENSG00000116133","DHCR24","1","positive","More details"
"ENSG00000116209","TMEM59","1","positive","More details"
"ENSG00000116221","MRPL37","1","positive","More details"
"ENSG00000116251","RPL22","1","positive","More details"
"ENSG00000116288","PARK7","1","positive","More details"
"ENSG00000116661","FBXO2","1","positive","More details"
"ENSG00000116667","C1orf21","1","positive","More details"
"ENSG00000116898","MRPS15","1","positive","More details"
"ENSG00000117122","MFAP2","1","positive","More details"
"ENSG00000117395","EBNA1BP2","1","positive","More details"
"ENSG00000117448","AKR1A1","1","positive","More details"
"ENSG00000117450","PRDX1","1","positive","More details"
"ENSG00000117519","CNN3","1","positive","More details"
"ENSG00000117533","VAMP4","1","positive","More details"
"ENSG00000117592","PRDX6","1","positive","More details"
"ENSG00000117632","STMN1","1","positive","More details"
"ENSG00000118523","CTGF","1","positive","More details"
"ENSG00000118680","MYL12B","1","positive","More details"
"ENSG00000118939","UCHL3","1","positive","More details"
"ENSG00000119333","WDR34","1","positive","More details"
"ENSG00000119411","BSPRY","1","positive","More details"
"ENSG00000119421","NDUFA8","1","positive","More details"
"ENSG00000119446","RBM18","1","positive","More details"
"ENSG00000119705","SLIRP","1","positive","More details"
"ENSG00000120333","MRPS14","1","positive","More details"
"ENSG00000120533","ENY2","1","positive","More details"
"ENSG00000120656","TAF12","1","positive","More details"
"ENSG00000120675","DNAJC15","1","positive","More details"
"ENSG00000120860","WASHC3","1","positive","More details"
"ENSG00000120875","DUSP4","1","positive","More details"
"ENSG00000120963","ZNF706","1","positive","More details"
"ENSG00000121022","COPS5","1","positive","More details"
"ENSG00000121073","SLC35B1","1","positive","More details"
"ENSG00000122406","RPL5","1","positive","More details"
"ENSG00000122545","SEPT7","1","positive","More details"
"ENSG00000122565","CBX3","1","positive","More details"
"ENSG00000122644","ARL4A","1","positive","More details"
"ENSG00000122705","CLTA","1","positive","More details"
"ENSG00000122861","PLAU","1","positive","More details"
"ENSG00000122884","P4HA1","1","positive","More details"
"ENSG00000123131","PRDX4","1","positive","More details"
"ENSG00000123159","GIPC1","1","positive","More details"
"ENSG00000123297","TSFM","1","positive","More details"
"ENSG00000123349","PFDN5","1","positive","More details"
"ENSG00000123353","ORMDL2","1","positive","More details"
"ENSG00000123415","SMUG1","1","positive","More details"
"ENSG00000123416","TUBA1B","1","positive","More details"
"ENSG00000123472","ATPAF1","1","positive","More details"
"ENSG00000123562","MORF4L2","1","positive","More details"
"ENSG00000123610","TNFAIP6","1","positive","More details"
"ENSG00000123737","EXOSC9","1","positive","More details"
"ENSG00000124067","SLC12A4","1","positive","More details"
"ENSG00000124207","CSE1L","1","positive","More details"
"ENSG00000124215","CDH26","1","positive","More details"
"ENSG00000124614","RPS10","1","positive","More details"
"ENSG00000125611","CHCHD5","1","positive","More details"
"ENSG00000125691","RPL23","1","positive","More details"
"ENSG00000125821","DTD1","1","positive","More details"
"ENSG00000125844","RRBP1","1","positive","More details"
"ENSG00000125868","DSTN","1","positive","More details"
"ENSG00000125977","EIF2S2","1","positive","More details"
"ENSG00000125991","ERGIC3","1","positive","More details"
"ENSG00000125995","ROMO1","1","positive","More details"
"ENSG00000126067","PSMB2","1","positive","More details"
"ENSG00000126247","CAPNS1","1","positive","More details"
"ENSG00000126457","PRMT1","1","positive","More details"
"ENSG00000126787","DLGAP5","1","positive","More details"
"ENSG00000127125","PPCS","1","positive","More details"
"ENSG00000127184","COX7C","1","positive","More details"
"ENSG00000127445","PIN1","1","positive","More details"
"ENSG00000127540","UQCR11","1","positive","More details"
"ENSG00000127564","PKMYT1","1","positive","More details"
"ENSG00000127922","SEM1","1","positive","More details"
"ENSG00000127952","STYXL1","1","positive","More details"
"ENSG00000127990","SGCE","1","positive","More details"
"ENSG00000128422","KRT17","1","positive","More details"
"ENSG00000128609","NDUFA5","1","positive","More details"
"ENSG00000128626","MRPS12","1","positive","More details"
"ENSG00000128654","MTX2","1","positive","More details"
"ENSG00000128789","PSMG2","1","positive","More details"
"ENSG00000128944","KNSTRN","1","positive","More details"
"ENSG00000128989","ARPP19","1","positive","More details"
"ENSG00000129128","SPCS3","1","positive","More details"
"ENSG00000129354","AP1M2","1","positive","More details"
"ENSG00000129559","NEDD8","1","positive","More details"
"ENSG00000129562","DAD1","1","positive","More details"
"ENSG00000129625","REEP5","1","positive","More details"
"ENSG00000130005","GAMT","1","positive","More details"
"ENSG00000130255","RPL36","1","positive","More details"
"ENSG00000130305","NSUN5","1","positive","More details"
"ENSG00000130311","DDA1","1","positive","More details"
"ENSG00000130312","MRPL34","1","positive","More details"
"ENSG00000130313","PGLS","1","positive","More details"
"ENSG00000130402","ACTN4","1","positive","More details"
"ENSG00000130513","GDF15","1","positive","More details"
"ENSG00000130520","LSM4","1","positive","More details"
"ENSG00000130545","CRB3","1","positive","More details"
"ENSG00000130635","COL5A1","1","positive","More details"
"ENSG00000130741","EIF2S3","1","positive","More details"
"ENSG00000131174","COX7B","1","positive","More details"
"ENSG00000131469","RPL27","1","positive","More details"
"ENSG00000131495","NDUFA2","1","positive","More details"
"ENSG00000131669","NINJ1","1","positive","More details"
"ENSG00000131724","IL13RA1","1","positive","More details"
"ENSG00000131747","TOP2A","1","positive","More details"
"ENSG00000131981","LGALS3","1","positive","More details"
"ENSG00000132329","RAMP1","1","positive","More details"
"ENSG00000132341","RAN","1","positive","More details"
"ENSG00000132432","SEC61G","1","positive","More details"
"ENSG00000132436","FIGNL1","1","positive","More details"
"ENSG00000132581","SDF2","1","positive","More details"
"ENSG00000133110","POSTN","1","positive","More details"
"ENSG00000133112","TPT1","1","positive","More details"
"ENSG00000133641","C12orf29","1","positive","More details"
"ENSG00000133678","TMEM254","1","positive","More details"
"ENSG00000133703","KRAS","1","positive","More details"
"ENSG00000133935","ERG28","1","positive","More details"
"ENSG00000134001","EIF2S1","1","positive","More details"
"ENSG00000134201","GSTM5","1","positive","More details"
"ENSG00000134248","LAMTOR5","1","positive","More details"
"ENSG00000134419","RPS15A","1","positive","More details"
"ENSG00000134463","ECHDC3","1","positive","More details"
"ENSG00000134480","CCNH","1","positive","More details"
"ENSG00000134717","BTF3L4","1","positive","More details"
"ENSG00000134802","SLC43A3","1","positive","More details"
"ENSG00000134825","TMEM258","1","positive","More details"
"ENSG00000134873","CLDN10","1","positive","More details"
"ENSG00000134987","WDR36","1","positive","More details"
"ENSG00000135074","ADAM19","1","positive","More details"
"ENSG00000135363","LMO2","1","positive","More details"
"ENSG00000135390","ATP5MC2","1","positive","More details"
"ENSG00000135446","CDK4","1","positive","More details"
"ENSG00000135480","KRT7","1","positive","More details"
"ENSG00000135535","CD164","1","positive","More details"
"ENSG00000135624","CCT7","1","positive","More details"
"ENSG00000135778","NTPCR","1","positive","More details"
"ENSG00000135940","COX5B","1","positive","More details"
"ENSG00000136235","GPNMB","1","positive","More details"
"ENSG00000136238","RAC1","1","positive","More details"
"ENSG00000136521","NDUFB5","1","positive","More details"
"ENSG00000136810","TXN","1","positive","More details"
"ENSG00000136824","SMC2","1","positive","More details"
"ENSG00000136928","GABBR2","1","positive","More details"
"ENSG00000136942","RPL35","1","positive","More details"
"ENSG00000137038","DMAC1","1","positive","More details"
"ENSG00000137073","UBAP2","1","positive","More details"
"ENSG00000137100","DCTN3","1","positive","More details"
"ENSG00000137106","GRHPR","1","positive","More details"
"ENSG00000137154","RPS6","1","positive","More details"
"ENSG00000137309","HMGA1","1","positive","More details"
