,mean,total,tech,bio,p.value,FDR
LOC100289511,5.20736513825646,3.6241912402023,5.76640331040304,-2.14221207020074,0.94133866794271,0.999903837598123
C15orf37,2.59939497243406,4.08719265209409,6.23073985000565,-2.14354719791156,0.926512858627985,0.999903837598123
TMEM249,1.91293662864094,3.22751459403675,5.37144686766186,-2.14393227362511,0.953775206020656,0.999903837598123
CDC26,2.90322752728141,4.29442671495218,6.44017225750046,-2.14574554254828,0.919926564795866,0.999903837598123
SEPT7P2,3.1222187227007,4.38785270395355,6.53400529688259,-2.14615259292903,0.916923247186603,0.999903837598123
LOC102723563,1.12776343857132,1.47523986364344,3.62198351287444,-2.146743649231,0.993765958289968,0.999903837598123
E2F6,3.38332493087991,4.44149850461676,6.58911402586592,-2.14761552124916,0.915283005964419,0.999903837598123
OLA1,5.14175923404377,3.66800977149416,5.81657318916754,-2.14856341767338,0.940289193897912,0.999903837598123
MIR3198-2,1.86965568894208,3.14880436663331,5.29827870001148,-2.14947433337816,0.956391236402691,0.999903837598123
CSNK1A1L,0.891770379149448,0.787884932297876,2.93768954221713,-2.14980460991925,0.998982311668933,0.999903837598123
FUBP3,4.28101236950565,4.227617474395,6.37815484398717,-2.15053736959217,0.92240006998153,0.999903837598123
SPATA21,3.78746347773826,4.4070653494697,6.56071497626859,-2.1536496267989,0.916797764896333,0.999903837598123
POLR2J2,2.00162673506377,3.35804664127618,5.51298551378717,-2.154938872511,0.950306513345677,0.999903837598123
VDAC2,5.92741285587856,3.04462481759796,5.20001981734926,-2.1553949997513,0.959714126975842,0.999903837598123
DTX3,1.94985567987098,3.27083848797812,5.4317031712066,-2.16086468322849,0.95323764450444,0.999903837598123
PDXDC2P,3.28785524360504,4.41494574671091,6.57581493003037,-2.16086918331946,0.917019679487991,0.999903837598123
SLC5A3,4.30849859853327,4.20138377002462,6.3640774714198,-2.16269370139519,0.924013751880144,0.999903837598123
PAIP1,4.71885160979205,3.95291033376346,6.11826124032669,-2.16535090656323,0.932148852144744,0.999903837598123
LOC102724121,1.47921123432833,2.34464638951344,4.51316358561252,-2.16851719609907,0.97859546883301,0.999903837598123
STX4,3.60940886379165,4.41977904339053,6.58885291024514,-2.16907386685461,0.917402337618458,0.999903837598123
TMA7,4.98592670887438,3.76150775023695,5.93162847402549,-2.17012072378854,0.938502298020153,0.999903837598123
GSK3B,5.34115164262091,3.48870780242299,5.66228620110831,-2.17357839868532,0.947196811223499,0.999903837598123
MMP24,2.29798199572079,3.74693442320777,5.92244132335482,-2.17550690014704,0.939254828187389,0.999903837598123
USP3-AS1,2.59549361851216,4.04854194277275,6.22741718675486,-2.1788752439821,0.929892559097116,0.999903837598123
VPS4B,4.19550129390546,4.23964258529371,6.41956261899864,-2.17992003370493,0.923860682581866,0.999903837598123
ARIH1,4.28097265209199,4.19574438367409,6.3781750585286,-2.18243067485452,0.925416156963121,0.999903837598123
RSBN1L-AS1,3.25575538055845,4.3853245940838,6.56962958715104,-2.18430499306725,0.919489078622852,0.999903837598123
MBNL1-AS1,2.95378269759125,4.27820744028442,6.46588184208489,-2.18767440180048,0.923113426614676,0.999903837598123
SLC2A4RG,3.4776618231103,4.40472679412344,6.59400423727688,-2.18927744315344,0.919189565646133,0.999903837598123
ATF5,3.5325828500274,4.40374084899796,6.5935607657594,-2.18981991676144,0.919255604230162,0.999903837598123
B3GNTL1,3.70641167540967,4.38627377481782,6.57667090213846,-2.19039712732065,0.919847650257163,0.999903837598123
SAMD4B,4.01814896071452,4.30148072942609,6.4925005215527,-2.19101979212661,0.922581794314763,0.999903837598123
KHSRP,4.81326014892761,3.86188117915746,6.05358677579173,-2.19170559663428,0.936530051794623,0.999903837598123
PAM16,3.5297028382368,4.40101593821961,6.59363626187174,-2.19262032365212,0.919520922610856,0.999903837598123
MIR6834,0.973909556800725,0.98559653520293,3.18280576060675,-2.19720922540382,0.998194147744531,0.999903837598123
FLJ13197,2.35630347687781,3.79230193418236,5.9905911663428,-2.19828923216044,0.939064036382007,0.999903837598123
SMN1,1.29243186078769,1.86002546561153,4.06007422806473,-2.2000487624532,0.988824629989816,0.999903837598123
EIF4H,6.00807236373397,2.93667708112314,5.13789078012562,-2.20121369900247,0.964548835127631,0.999903837598123
PHF14,3.48997533934645,4.39276689838412,6.59419287334556,-2.20142597496145,0.920340768270613,0.999903837598123
ZNF428,3.28418085634255,4.37275288493889,6.57516371618475,-2.20241083124586,0.921035608185346,0.999903837598123
DLEU2,2.44282882212453,3.88126945800179,6.08398684271277,-2.20271738471098,0.936530519348229,0.999903837598123
LOC102724685,1.1779270178727,1.55601531215245,3.75909654578702,-2.20308123363457,0.993256705094455,0.999903837598123
PAFAH1B1,4.72186371328374,3.91064335879362,6.11624825261188,-2.20560489381826,0.935772692891803,0.999903837598123
NDUFAF2,2.86070768020495,4.2089088646253,6.41661025640605,-2.20770139178075,0.926532050692443,0.999903837598123
KIF27,2.0448263203023,3.36998259616317,5.5781417725441,-2.20815917638093,0.952422095487823,0.999903837598123
ACTG1P4,0.958559598954235,0.928321452542215,3.13753477497066,-2.20921332242845,0.998502952522449,0.999903837598123
FAM120A,6.2930657454125,2.7166988426535,4.9286459299284,-2.21194708727491,0.970751908449316,0.999903837598123
NMT1,3.92644257045675,4.30895124157331,6.52319582491288,-2.21424458333956,0.923780452472422,0.999903837598123
PSMD5-AS1,2.74969353356055,4.13135611006731,6.34631540745458,-2.21495929738728,0.929398624031731,0.999903837598123
METTL15,2.57692163794412,3.99569285840644,6.21137146410809,-2.21567860570165,0.933680994550793,0.999903837598123
SNHG5,4.38795418897866,4.10452948816117,6.32132442520278,-2.21679493704161,0.93034532132577,0.999903837598123
CDC73,5.43821822794424,3.36888278054213,5.58597511682073,-2.2170923362786,0.952856786887769,0.999903837598123
MIR762,1.05335103688383,1.19510441132946,3.4129782810583,-2.21787386972884,0.996923191310472,0.999903837598123
DPM3,4.34607905005192,4.12183708698017,6.34419775597762,-2.22236066899745,0.930126801846275,0.999903837598123
PRNCR1,1.2208259816702,1.64994979607222,3.87384657857641,-2.2238967825042,0.992242350338279,0.999903837598123
API5,5.20309316887985,3.54404632912662,5.76970365548328,-2.22565732635666,0.948044805719685,0.999903837598123
