,mean,total,tech,bio,p.value,FDR
COX20,4.85913055337727,13.8528895299341,16.3738885428508,-2.52099901291672,0.734285674277764,0.999932012950346
ADD1,5.59072946591621,14.1418826988701,16.6685759644177,-2.52669326554769,0.731102601297848,0.999932012950346
MRPL15,4.26640401923412,13.1750964101459,15.703052184943,-2.5279557747971,0.743560953172538,0.999932012950346
NDUFV1,4.81986595798169,13.812576223714,16.3407846534768,-2.52820842976274,0.735288745079106,0.999932012950346
PACS2,3.16280246293423,10.8969598312644,13.4256241639849,-2.52866433272055,0.778036520808926,0.999932012950346
PCMTD2,2.8524752139147,9.99915345372016,12.5309170784326,-2.53176362471244,0.794247048346952,0.999932012950346
GATC,1.61303009720998,5.370697857889,7.90610257955297,-2.53540472166398,0.903801536026341,0.999932012950346
ARL5A,2.71280340725672,9.55432278646179,12.0915853069814,-2.53726252051958,0.803152013843974,0.999932012950346
ATP5H,2.44884772192586,8.66590801582046,11.203413932279,-2.53750591645857,0.821380820207068,0.999932012950346
DHX29,4.36412857003259,13.3001415644612,15.8377193362521,-2.53757777179085,0.742563338709987,0.999932012950346
SHFM1,2.86906158823557,10.0436691025623,12.5815089748572,-2.53783987229482,0.79386548859754,0.999932012950346
COX6B1,4.68374413311002,13.6695422821038,16.2115424854619,-2.54200020335807,0.738054641177745,0.999932012950346
TIMM21,2.30797836702822,8.15319086225432,10.7017348317057,-2.54854396945143,0.833475473688204,0.999932012950346
ANKRD36,1.96236115948685,6.82641937442544,9.37500444087098,-2.54858506644554,0.865419422297817,0.999932012950346
SEC31A,5.3473951242984,14.0807437711026,16.6349586722518,-2.55421490114917,0.733725993815665,0.999932012950346
POP7,2.0516394962512,7.17690639442365,9.73341802882566,-2.556511634402,0.857153412003253,0.999932012950346
CRYZL1,2.5432227012948,8.97185555398684,11.5296832421573,-2.55782768817046,0.81640568816036,0.999932012950346
DSC2,1.48094906780161,4.76871169581135,7.3269909480924,-2.55827925228105,0.922085307361938,0.999932012950346
