HGNC.approved.symbol,mean,total,tech,bio,p.value,FDR
PRKAB1,2.66123624946252,15.5730692181376,11.9239432914735,3.64912592666413,0.106759388847267,0.912202864274492
JMJD1C,3.12119885800814,16.9353112058228,13.3116759229908,3.62363528283197,0.134258647041455,0.982579683631867
ATXN7L3,1.83079466034443,12.4412661181946,8.83328553178923,3.60798058640539,0.0484314546908898,0.661187387468219
HJURP,1.89807684712947,12.7098053660245,9.11222219568589,3.59758317033856,0.0542693882577735,0.690899440872057
BRE,1.34313617465213,10.2889535820084,6.70974020859195,3.5792133734164,0.0150687466515127,0.420287545067794
TET2,2.91573970726051,16.2319461252081,12.7224730424519,3.50947308275619,0.131090112559802,0.978224554038092
CHD9,3.69807698798731,18.1729546890762,14.712405887414,3.46054880166224,0.169515768777825,0.999932012950346
TLE4,1.78704133193723,12.0066953687263,8.64987326732749,3.35682210139886,0.0573476024683449,0.710576695853209
ARID1A,7.42442652789251,18.5950596899178,15.3248252971793,3.27023439273852,0.192863006893303,0.999932012950346
ARID2,2.77148260121518,15.5324695124514,12.2789649774308,3.25350453502061,0.140736167749872,0.990308496762977
ACTR3B,2.82729511578177,15.6885684906459,12.4533940411166,3.23517444952927,0.145495626656411,0.993582801595916
SMARCA2,2.49330822363723,14.5413465345367,11.3585363599553,3.18281017458139,0.12735275493152,0.967583256275844
KDM3A,4.48277911852587,19.1474004422643,15.9884125326153,3.15898790964899,0.210955156873855,0.999932012950346
KDM5A,3.58649550556301,17.626042096069,14.4724894060669,3.15355269000209,0.187887728779546,0.999932012950346
TP53BP1,3.25592200223218,16.8066059133352,13.6740176270707,3.13258828626452,0.175876488139105,0.999932012950346
WHSC1,4.35309197900372,18.7662454363293,15.8231161626139,2.94312927371541,0.224809604038464,0.999932012950346
SHPRH,1.32082946429609,9.54289518113832,6.60859476179716,2.93430041934115,0.0355531297762534,0.597379999923542
APOBEC3G,1.63071766444116,10.9055407994483,7.98272267266321,2.92281812678508,0.0683388451175521,0.764357980209753
RYBP,5.69557413193812,19.552944807732,16.6653839289234,2.88756087880861,0.240627353613369,0.999932012950346
ASH2L,3.10680771174296,16.1288998283661,13.2717514108167,2.85714841754938,0.190770665244075,0.999932012950346
DR1,2.2999798345201,13.4947065525497,10.6726582222785,2.82204833027124,0.141233584860146,0.990308496762977
RNF40,3.59147228918847,17.2627733291202,14.4835078597173,2.779265469403,0.217698146506923,0.999932012950346
BRD8,4.58472125550352,18.8462735753558,16.1068823130094,2.73939126234638,0.244683900715405,0.999932012950346
MBD1,2.97681725208832,15.6061486042878,12.9019653102939,2.70418329399391,0.197121273726276,0.999932012950346
EZH1,2.10067495896302,12.6224417414644,9.92691420086213,2.69552754060228,0.134855214175896,0.982579683631867
MGEA5,9.08080314937846,15.7209694183127,13.0369507141773,2.68401870413536,0.201341098510885,0.999932012950346
CUL1,4.27669134026224,18.3782230724786,15.7176539905658,2.66056908191279,0.245710636606285,0.999932012950346
CUL3,6.52534455490969,18.9583531402513,16.3268411810943,2.63151195915703,0.256187708485576,0.999932012950346
SUV39H1,2.38429378941866,13.6054513729034,10.9759785792062,2.6294727936972,0.165084125581055,0.999932012950346
DPY30,2.29654703297395,13.25101233683,10.6601640858938,2.59084825093619,0.161601755845208,0.999932012950346
ESR1,4.94049417875086,18.9818271979217,16.4368019497704,2.54502524815133,0.264552506403505,0.999932012950346
TAF9B,2.24210258519462,12.9852835917854,10.4604687388252,2.52481485296021,0.163272650781845,0.999932012950346
NAP1L1,9.46313961478829,14.871942175125,12.3760290944054,2.49591308071956,0.206179365403729,0.999932012950346
KAT7,3.39926551732792,16.4855587158015,14.0365318678678,2.44902684793366,0.239101094236176,0.999932012950346
TAF12,1.46791810254803,9.7054511843178,7.26919249474082,2.43625868957698,0.0865527614506849,0.829798957646997
SETD7,2.08820052691388,12.284937439016,9.87784635985921,2.40709107915679,0.160959890584545,0.999932012950346
PHF19,1.7600092620732,10.9400362612036,8.53585997178107,2.40417628942253,0.126133659208037,0.964727879955595
KANSL3,4.34994549622498,18.1892179998492,15.8188668106369,2.37035118921228,0.271237476429032,0.999932012950346
GATAD1,4.14277766719519,17.8534312706574,15.5184934031976,2.3349378674598,0.270405179260565,0.999932012950346
ASF1B,2.02119642714586,11.9216169521745,9.61203469118048,2.30958226099404,0.164364347388902,0.999932012950346
USP11,2.1270033959823,12.3358437214184,10.0278321472178,2.30801157420059,0.174754057039793,0.999932012950346
CHAF1B,1.93199744906494,11.5393865877296,9.25146212813096,2.28792445959866,0.157393574343349,0.999932012950346
APOBEC3B,3.01516955345103,15.293256124802,13.0131325165739,2.28012360822805,0.238166521286602,0.999932012950346
JAK2,3.21086761492091,15.8279280100925,13.5547737555777,2.27315425451482,0.247725975493881,0.999932012950346
NEK6,1.58126480015642,10.039159230913,7.76796290707132,2.2711963238417,0.117328178618134,0.946869465935552
FOXO1,2.93323097250864,15.0340930204346,12.7741791374229,2.25991388301164,0.236038223096155,0.999932012950346
PRKDC,1.99035397135562,11.6893616174518,9.48833251658638,2.20102910086542,0.172864107037914,0.999932012950346
ZNF592,2.92988410138885,14.9626176437669,12.7643042231111,2.19831342065582,0.24194974591257,0.999932012950346
PCDH10,0.983649234820529,7.22795101028137,5.03791694913541,2.19003406114596,0.038615299255809,0.597379999923542
SUPT3H,0.624326572089509,5.45996039339908,3.27719664098918,2.1827637524099,0.00339157929025872,0.209986452150784
SPEN,1.51901346008957,9.64774232215045,7.49514353589443,2.15259878625602,0.121526251193087,0.95564921911006
L3MBTL1,1.98603081386258,11.5949298358991,9.47087633882806,2.12405349707107,0.180987354449238,0.999932012950346
CHAF1A,1.59686749457273,9.93487666372726,7.83591012379402,2.09896653993324,0.138120402988077,0.988518446083285
HDAC7,3.17249275198586,15.4975185553378,13.4518174924818,2.04570106285602,0.268237981271877,0.999932012950346
TRIM28,5.49512590768168,18.7047749219168,16.6604982454286,2.04427667648824,0.308976954627376,0.999932012950346
