HGNC.approved.symbol,mean,total,tech,bio,p.value,FDR
YWHAZ,10.0507415700841,16.441961904246,13.6998237159434,2.74213818830264,0.25439670188007,0.999076559929022
HDAC1,3.6917490654255,15.0123667635207,12.2719285397781,2.7404382237426,0.230519243117181,0.999076559929022
TRIM24,3.79430612561617,15.2254396465205,12.5107264149625,2.71471323155802,0.236909157000516,0.999076559929022
UBE2N,3.34647916875456,14.1187316426556,11.4383146376598,2.68041700499582,0.219601907531729,0.999076559929022
EZH1,1.63717602958271,8.92633952068752,6.32958590242408,2.59675361826344,0.0878292349587784,0.927091612858808
ASH2L,3.0390752216324,13.2222513107644,10.647541550837,2.5747097599274,0.212372547128462,0.999076559929022
YWHAB,5.70807417406186,18.2856369418815,15.7284995110923,2.55713743078918,0.295747361386689,0.999076559929022
SIN3B,2.29209862459362,10.976215608879,8.51610091736193,2.4601146915171,0.170148713995481,0.999076559929022
NAP1L1,8.80491452529354,17.9472976686438,15.506218594555,2.44107907408875,0.301651033731478,0.999076559929022
PPM1G,2.90192809216841,12.6691529209363,10.2785610677341,2.39059185320214,0.221320573274242,0.999076559929022
EP300,4.8044694232108,16.9131864573119,14.5347746267152,2.37841183059671,0.294544255610149,0.999076559929022
LAS1L,2.21338046686183,10.5786628312319,8.27336621907087,2.30529661216103,0.1788426781282,0.999076559929022
BRD1,2.06903931095846,10.1195166230357,7.81882025466207,2.30069636837359,0.165695981728704,0.999076559929022
TDRD7,1.19556653382718,6.99264164535573,4.71249994254616,2.28014170280956,0.0551135464423985,0.767391860866355
PHIP,5.59013875286422,17.8746324770611,15.6095673910393,2.26506508602182,0.315970940667261,0.999076559929022
DPF3,0.88508680830194,5.80012980787571,3.535424091861,2.26470571601471,0.0172354369050864,0.436305312581851
PRKAG1,1.67539764863424,8.71866135280016,6.46623367272896,2.2524276800712,0.125102926635325,0.999076559929022
SMARCC1,3.46528655602939,13.9635949883324,11.7311067805162,2.23248820781619,0.264939400960439,0.999076559929022
BUB1,1.79100498439787,9.07694667093056,6.87562010786573,2.20132656306483,0.145289581888264,0.999076559929022
MAP3K7,2.38987769808241,10.9798395994513,8.81260338221285,2.16723621723843,0.208456136617405,0.999076559929022
CUL1,3.37182004078814,13.653779114758,11.5013369970106,2.15244211774739,0.268364471360257,0.999076559929022
HDAC9,1.93007953575396,9.51022402300306,7.35789581565802,2.15232820734504,0.167122657750862,0.999076559929022
RUVBL2,2.28573006250601,10.6451660706915,8.49658533241446,2.14858073827699,0.201933367842992,0.999076559929022
HLTF,4.2027607730598,15.5460027504868,13.4100394082321,2.13596334225463,0.299520019554985,0.999076559929022
PRDM1,0.731558211482998,5.05258357000685,2.94115392637477,2.11142964363209,0.00890033704797234,0.307272796081492
CDC73,3.19991024106402,13.1639437042246,11.0674310349343,2.09651266929026,0.265885300899757,0.999076559929022
CDK2,1.93960566445297,9.47038228947207,7.39033177568904,2.08005051378303,0.176424709950783,0.999076559929022
FOXA1,2.36397805249022,10.7908421824013,8.73460226914216,2.05623991325912,0.218552372445332,0.999076559929022
FBRS,3.00059967783313,12.5532418604294,10.5450182881579,2.0082235722715,0.26479036412998,0.999076559929022
TAF9,4.39237908720565,15.7846837600696,13.7934479542421,1.99123580582752,0.316847968687926,0.999076559929022
KEAP1,2.03698062903639,9.69675817031347,7.71542729426258,1.98133087605088,0.198304495628015,0.999076559929022
HMG20B,4.82986912027203,16.5166969031747,14.5769033227166,1.93979358045808,0.330232863206567,0.999076559929022
MSL2,2.32003974968862,10.5326999374706,8.6013957224527,1.93130421501787,0.229292352265952,0.999076559929022
PRKAB2,1.69288217770987,8.45439222009318,6.52851466971002,1.92587755038315,0.165085685010677,0.999076559929022
UIMC1,5.03577384262106,16.8210572626775,14.9004370549271,1.92062020775038,0.335241654948342,0.999076559929022
ASF1A,1.87691733766155,9.0585829733361,7.17527383645891,1.88330913687718,0.193132010483954,0.999076559929022
RNF8,4.13246691552141,15.1411960076484,13.2619103745112,1.87928563313721,0.319976121639969,0.999076559929022
TLE4,2.72148531833567,11.6558557812994,9.77813523424546,1.87772054705393,0.263075083037098,0.999076559929022
PRPF31,2.16418297248858,9.96967087053112,8.11992488611371,1.8497459844174,0.226033969099907,0.999076559929022
UHRF2,2.75213064513533,11.6977039719893,9.86433300019329,1.83337097179598,0.269768405482853,0.999076559929022
BARD1,2.00682320436577,9.4409265098028,7.61590829008265,1.82501821972015,0.214466381564996,0.999076559929022
L3MBTL2,1.77674725036186,8.63636893443207,6.82551918187253,1.81084975255955,0.190578521539961,0.999076559929022
